2015——gwr_FID,Cond,LocalR2,Predicted,Intercept,C1_2015_ci,C2_2015_ci,C3_2015_ci,StdError,StdErr_Int,StdErrC1_2,StdErrC2_2,StdErrC3_2,Source_ID,FID,省,省代码,市,市代码,市类型,省类型,公众号,搜一搜,微博,备注,备注2,数量,ʡ,stock,GDP,DMSP_sum,baidu_index,scale,city,year,location_x,location_y
10,11.024712867000000,0.872119626048000,42.003423026299998,-11.687243369300001,0.007583445826230,0.000280136488653,0.412517224681000,3.074918246340000,6.313041113400000,0.004117805559910,0.000209712145517,0.174435503461000,258,258,山东省,370000,日照市,371100,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,45.261299999999999,1670.000000000000000,53680,63,2,日照市,2015,20238.799999999999000,3969.320000000000200
11,12.768530575200000,0.889405664783000,71.973402630899997,-16.344287624200000,0.011202303904400,0.000436306867165,0.288358964531000,4.714437347440000,6.812080591640000,0.004818138635360,0.000216623055175,0.196353731792000,259,259,山东省,370000,泰安市,370900,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,56.129199999999997,3160.000000000000000,57179,97,2,泰安市,2015,20043.599999999999000,4002.630000000000100
12,13.346611986199999,0.937413476836000,58.440515845699998,-5.930911672470000,0.008797250247540,0.000235694596468,0.305362820739000,5.149009752420000,7.297453687880000,0.005125473551370,0.000265198454825,0.223696538967000,260,260,山东省,370000,威海市,371000,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,56.590699999999998,3000.000000000000000,58788,79,2,威海市,2015,20478.799999999999000,4166.659999999999900
13,11.250151123800000,0.888112104815000,131.148449443000000,-13.686592066499999,0.006300865155220,0.000328663866532,0.443982331942000,16.637506824599999,6.346569299150000,0.004191851400270,0.000202695290618,0.168146502130000,261,261,山东省,370000,潍坊市,370700,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,176.688300000000000,5170.000000000000000,179459,120,2,潍坊市,2015,20223.599999999999000,4077.099999999999900
14,12.192222099600000,0.925852185039000,118.832771443000000,-8.347867378929999,0.007491028254750,0.000242494678637,0.389198721542000,11.197321082800000,6.690304889690000,0.004724506190110,0.000241086970076,0.180020015157000,262,262,山东省,370000,烟台市,370600,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,125.825300000000000,6450.000000000000000,137435,117,2,烟台市,2015,20370.700000000001000,4168.970000000000300
15,13.225319828800000,0.872486378123000,54.821096247600003,-12.521580441199999,0.012850200821200,0.000341226823147,0.255956495929000,3.703469315050000,6.295508269050000,0.004803459651780,0.000206476684289,0.197450538136000,263,263,山东省,370000,枣庄市,370400,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,45.670600000000000,2030.000000000000000,56398,86,2,枣庄市,2015,20084.700000000001000,3883.960000000000000
16,11.320486961700000,0.885722467845000,91.528784686899996,-16.573184805499999,0.006991196741280,0.000409771038729,0.413060221152000,4.601246629220000,6.667119723730000,0.004227108731820,0.000209018663204,0.175919100020000,264,264,山东省,370000,淄博市,370300,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,79.172200000000004,4130.000000000000000,88513,104,2,淄博市,2015,20131.599999999999000,4076.050000000000200
17,11.325460890200000,0.848070333914000,27.961765841700000,9.325698067130000,0.028837519976300,0.000055616944652,-0.171780494328000,4.365352334580000,5.712679063350000,0.003763748489840,0.000201757479965,0.187869705629000,276,276,陕西省,610000,安康市,610900,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,11.157999999999999,772.458999999999950,11773,25,2,安康市,2015,19305.799999999999000,3627.599999999999900
18,9.186987546030000,0.885943292922000,53.974246669499998,9.278397991200000,0.029888874579200,0.000026418511459,-0.166140093489000,5.307587861530000,7.374241539520000,0.006828428083390,0.000308175079881,0.221274558626000,277,277,陕西省,610000,宝鸡市,610300,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,23.932600000000001,1790.000000000000000,31451,58,2,宝鸡市,2015,19150.500000000000000,3812.159999999999900
19,8.629519741830000,0.865691278765000,35.885008385900001,11.393495020100000,0.030313003687000,-0.000035448624077,-0.162279310860000,4.186425449570000,6.850284796620000,0.005448078373040,0.000269585566574,0.218381623724000,278,278,陕西省,610000,汉中市,610700,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,19.899300000000000,1060.000000000000000,27838,41,2,汉中市,2015,19136.099999999999000,3669.599999999999900
