2015——gwr_FID,Cond,LocalR2,Predicted,Intercept,C1_2015_ci,C2_2015_ci,C3_2015_ci,StdError,StdErr_Int,StdErrC1_2,StdErrC2_2,StdErrC3_2,Source_ID,FID,省,省代码,市,市代码,市类型,省类型,公众号,搜一搜,微博,备注,备注2,数量,ʡ,stock,GDP,DMSP_sum,baidu_index,scale,city,year,location_x,location_y
30,6.626866541740000,0.818851594282000,49.859326942400003,13.320107587800001,0.031371533458400,-0.000194717583364,-0.077833906534100,5.051568776970000,8.013439525890000,0.007276303965770,0.000303040609317,0.266418226268000,291,291,四川省,510000,德阳市,510600,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,36.000000000000000,1610.000000000000000,46157,64,2,德阳市,2015,18873.299999999999000,3464.010000000000200
31,8.555560964940000,0.778499320026000,39.068333192899999,16.557049613400000,0.023242100826300,-0.000390444584908,0.217720032750000,3.565347679250000,5.664022849840000,0.003645123295200,0.000193408180542,0.176911854620000,293,293,四川省,510000,广安市,511600,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,14.100000000000000,1010.000000000000000,23099,37,2,广安市,2015,19083.200000000001000,3375.389999999999900
32,7.206563185050000,0.847253531439000,26.354859190199999,13.032228626700000,0.030270027748400,-0.000113823647261,-0.113861162329000,5.338389724720000,7.543343556880000,0.006582228632270,0.000291334426668,0.246568595045000,294,294,四川省,510000,广元市,510800,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,16.000000000000000,605.429999999999950,17952,26,2,广元市,2015,19008.000000000000000,3582.889999999999900
33,7.300180600350000,0.784633994652000,47.619717915300001,11.838845577400001,0.031534587680000,-0.000517170901145,0.144647788580000,5.510863709700000,6.650097540040000,0.006658925499630,0.000292974327201,0.242949767346000,295,295,四川省,510000,乐山市,511100,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,25.500000000000000,1300.000000000000000,26304,58,2,乐山市,2015,18776.299999999999000,3256.090000000000100
34,7.992222402130000,0.777471560400000,57.920264054900002,13.807133009399999,0.016223972867500,-0.000648730133011,0.655784145599000,4.666847374830000,5.360702972650000,0.002908169098270,0.000214248563809,0.179955103499000,297,297,四川省,510000,泸州市,510500,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,24.100000000000001,1350.000000000000000,19339,53,2,泸州市,2015,18977.099999999999000,3158.639999999999900
35,6.838008495890000,0.789208743516000,39.180680619299999,12.946091183400000,0.032172058745500,-0.000379772085668,0.024497611636800,5.403232068960000,7.443392932920000,0.007097070020940,0.000285819511385,0.257999143336000,298,298,四川省,510000,眉山市,511400,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,21.600000000000001,1030.000000000000000,21143,46,2,眉山市,2015,18799.099999999999000,3334.210000000000000
36,6.795803466680000,0.837311343597000,50.300256020100001,12.817729955100001,0.030874121406400,-0.000125548537023,-0.104084464132000,8.986610920370000,8.221371202140000,0.007689323661280,0.000315786889245,0.267864972442000,299,299,四川省,510000,绵阳市,510700,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,42.700000000000003,1700.000000000000000,44061,91,2,绵阳市,2015,18903.700000000001000,3542.290000000000000
37,7.641259238200000,0.804286578859000,49.340466774699998,15.304802991800001,0.027402592070800,-0.000245988927805,0.013441768398900,4.604338945990000,6.429319506150000,0.004820739446830,0.000240640032341,0.213357491385000,300,300,四川省,510000,南充市,511300,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,32.700000000000003,1520.000000000000000,34623,67,2,南充市,2015,19042.599999999999000,3462.550000000000200
38,7.260262701950000,0.762983159766000,48.289873163599999,14.699241726000000,0.025186100931300,-0.000485055000820,0.243852515191000,5.193841778630000,5.913841753240000,0.004627409921040,0.000234916226693,0.203110907080000,301,301,四川省,510000,内江市,511000,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,15.600000000000000,1200.000000000000000,17189,48,2,内江市,2015,18909.799999999999000,3295.840000000000100
39,12.284424197700000,0.850901963819000,28.660321734600000,3.279629236650000,0.033898797625500,-0.000653177891400,0.328084946596000,5.879814765350000,8.065729628550001,0.014779822974700,0.000566527296828,0.326872167603000,302,302,四川省,510000,攀枝花市,510400,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,13.699999999999999,925.183899999999990,19204,20,2,攀枝花市,2015,18575.900000000001000,3000.150000000000100
40,7.132788816070000,0.786321584927000,35.348150510200000,15.364031193600001,0.027180731631500,-0.000319510572490,0.067736916486000,4.221303616090000,6.531886496090000,0.005076886584570,0.000244041496452,0.219171405478000,303,303,四川省,510000,遂宁市,510900,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,15.500000000000000,915.811199999999990,22358,33,2,遂宁市,2015,18969.599999999999000,3403.170000000000100
41,7.248747194120000,0.789108405126000,23.718689937099999,12.076280089200001,0.033688225843900,-0.000330258799335,-0.026335000550800,7.426534940510000,8.537942750359999,0.008718976430490,0.000328556994402,0.282868986518000,304,304,四川省,510000,雅安市,511800,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,13.100000000000000,502.578800000000000,13382,33,2,雅安市,2015,18693.299999999999000,3339.590000000000100
42,7.387571043200000,0.769097015289000,57.895849004299997,12.639334353900001,0.019499561483600,-0.000584115532331,0.518809564030000,4.812084849210000,5.559329207040000,0.003529418341990,0.000259580408489,0.198144649141000,305,305,四川省,510000,宜宾市,511500,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,22.199999999999999,1530.000000000000000,21560,54,2,宜宾市,2015,18876.599999999999000,3178.579999999999900
43,7.122319660940000,0.771052668888000,49.733611526799997,15.210609125900000,0.026361078957700,-0.000407729608060,0.150179399311000,5.516677471770000,6.258219859240000,0.004908799498650,0.000236688626289,0.212089374026000,306,306,四川省,510000,资阳市,512000,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,15.000000000000000,1270.000000000000000,10330,35,2,资阳市,2015,18932.299999999999000,3345.920000000000100
44,7.325087401640000,0.760607131052000,47.583532867700001,13.948898850300001,0.024307236531800,-0.000536080019590,0.316278354287000,5.199813576030000,5.756775897290000,0.004484169971620,0.000246211919798,0.201393637349000,307,307,四川省,510000,自贡市,510300,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,16.000000000000000,1140.000000000000000,13728,42,2,自贡市,2015,18885.500000000000000,3257.699999999999800
45,16.345097809999999,0.993638207043000,11.137637324800000,-4.357671532050000,0.027129931906300,-0.000228358120683,0.293978576823000,9.154554870260000,11.947504566199999,0.033447986936000,0.001076311069590,0.501359906328000,343,343,云南省,530000,保山市,530500,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,云南省,70.359999999999999,551.958099999999940,13168,12,2,保山市,2015,18279.700000000001000,2818.040000000000000
46,8.993147900520000,0.860886064920000,99.881455724199995,6.813516246060000,0.013408971138100,-0.000455251249372,0.690210659038000,17.591161919000001,7.710551303080000,0.006268239202360,0.000478154056938,0.294424560782000,349,349,云南省,530000,昆明市,530100,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,云南省,217.509999999999990,3970.000000000000000,115659,134,2,昆明市,2015,18680.400000000001000,2833.739999999999800
47,12.728598131800000,0.860745281109000,9.585984327300000,2.928925690260000,0.037121961309100,-0.000655385264016,0.246279516660000,7.414130199440000,8.085817372190000,0.018101731608000,0.000708075755037,0.314826565140000,350,350,云南省,530000,丽江市,530700,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,云南省,28.620000000000001,289.611699999999980,12259,16,2,丽江市,2015,18456.200000000001000,3024.579999999999900
48,17.455239438300001,0.959384037011000,9.097927833340000,-2.924940227750000,0.025322610769700,-0.000256105232513,0.332095275307000,9.736123965070000,12.888621577000000,0.035552760509500,0.000997109969424,0.586008310584000,351,351,云南省,530000,临沧市,530900,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,云南省,77.390000000000001,502.122300000000000,10483,6,2,临沧市,2015,18341.500000000000000,2695.250000000000000
49,17.364814590100000,0.931437812000000,7.338563363230000,-0.378590220464000,0.021607184604600,-0.000299320034443,0.428392171500000,9.892233664140001,12.638504854000001,0.032204208057600,0.000903379674060,0.575935143941000,353,353,云南省,530000,普洱市,530800,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,云南省,94.510000000000005,514.012100000000030,11323,0,2,普洱市,2015,18443.099999999999000,2602.510000000000200
50,7.587646592780000,0.848031193827000,39.713996201500002,8.645062084350000,0.011627191488300,-0.000522115443137,0.769455942065000,6.890578924540000,6.873145832360000,0.003725030350000,0.000356108230142,0.259864078592000,354,354,云南省,530000,曲靖市,530300,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,云南省,108.360000000000000,1650.000000000000000,50925,50,2,曲靖市,2015,18790.200000000001000,2862.760000000000200
51,13.906750400100000,0.901719888228000,28.380329076799999,2.200385074820000,0.023257555080700,-0.000477580642710,0.490432090036000,6.958284028110000,9.429875008720000,0.017132867690200,0.000616328424113,0.399544673914000,357,357,云南省,530000,玉溪市,530400,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,云南省,83.769999999999996,1240.000000000000000,34322,28,2,玉溪市,2015,18603.200000000001000,2698.980000000000000
52,7.814612776170000,0.790880587653000,25.200980824900000,10.489015448400000,0.018121869428900,-0.000619171223155,0.622536967715000,4.696894709030000,6.093396043500000,0.004159352719180,0.000332560845683,0.226122220915000,358,358,云南省,530000,昭通市,530600,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,云南省,72.329999999999998,708.376099999999950,20097,23,2,昭通市,2015,18808.099999999999000,3079.619999999999900
53,11.932013171600000,0.859761459700000,200.894616716000000,0.125558435780000,0.015929889242500,-0.000005193870935,0.173387969739000,16.283626559100000,6.255820676130000,0.002887669267650,0.000186776171093,0.170423384820000,359,359,浙江省,330000,杭州市,330100,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,224.476699999999990,10100.000000000000000,200695,236,2,杭州市,2015,20319.500000000000000,3339.400000000000100
54,13.561152731000000,0.859087584723000,47.923771439100001,-0.465453619801000,0.015828851424700,0.000017879604698,0.168072423309000,9.294880037150000,6.446260778610000,0.003810248656930,0.000203284582972,0.181479391777000,360,360,浙江省,330000,湖州市,330500,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,55.309199999999997,2080.000000000000000,94145,82,2,湖州市,2015,20350.900000000001000,3436.520000000000000
55,14.215494439700000,0.868332353980000,73.372238149799998,-0.178290051612000,0.015246079017500,0.000002478415286,0.178943145795000,18.733357967200000,6.775798985020000,0.004298724268400,0.000215968913955,0.192412969001000,361,361,浙江省,330000,嘉兴市,330400,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,91.602400000000003,3520.000000000000000,153133,109,2,嘉兴市,2015,20439.799999999999000,3430.150000000000100
56,11.047282359400000,0.868722554645000,71.768206781900005,0.384609601022000,0.015143790574300,-0.000028743808690,0.198828639225000,11.865579831400000,6.353274323870000,0.002571570063330,0.000180735719032,0.170491676895000,362,362,浙江省,330000,金华市,330700,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,129.379400000000000,3400.000000000000000,131016,119,2,金华市,2015,20373.200000000001000,3255.630000000000100
57,9.906873135310001,0.871005469809000,26.527832383000000,0.526496747259000,0.014142358877200,-0.000062642793681,0.253893594788000,2.969570289270000,6.075071796820000,0.002167632500710,0.000151707676568,0.163469130838000,363,363,浙江省,330000,丽水市,331100,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,28.173500000000001,1100.000000000000000,39970,51,2,丽水市,2015,20337.400000000001000,3150.059999999999900
58,13.417422336200000,0.880200069618000,144.606042709000010,0.313881782426000,0.015199758743300,-0.000019505999601,0.176655032469000,33.333663301199998,6.951005590890000,0.003862911649970,0.000215762862338,0.193413419392000,364,364,浙江省,330000,宁波市,330200,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,180.365199999999990,8000.000000000000000,249364,156,2,宁波市,2015,20516.799999999999000,3336.540000000000000
59,10.322487276700000,0.857003321955000,29.447831243700001,0.739130056857000,0.014995080829900,-0.000049420181877,0.230720509472000,3.061748085790000,5.881143175080000,0.002232268797760,0.000155171013986,0.160263584493000,365,365,浙江省,330000,衢州市,330800,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,28.175400000000000,1150.000000000000000,34130,57,2,衢州市,2015,20249.500000000000000,3226.340000000000100
60,12.600978810100001,0.872102190141000,88.176690311200005,0.226076484824000,0.015464665720200,-0.000014355061233,0.175605184006000,10.597042528499999,6.658983503380000,0.003316172234980,0.000202584907226,0.181875880019000,366,366,浙江省,330000,绍兴市,330600,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,97.011399999999995,4470.000000000000000,119975,117,2,绍兴市,2015,20434.599999999999000,3329.880000000000100
61,11.264394892400000,0.881888113174000,71.286494765200004,0.359020007561000,0.014714414570400,-0.000033308777867,0.200525524955000,14.715024460500000,6.705408344210000,0.002759708131860,0.000193237506736,0.179500505731000,367,367,浙江省,330000,台州市,331000,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,116.075800000000000,3550.000000000000000,143211,117,2,台州市,2015,20492.900000000001000,3224.869999999999900
62,9.905883170199999,0.881746757215000,92.544361371600004,0.282606984367000,0.013913057771300,-0.000056650981664,0.248078470399000,11.377661418100001,6.338997087900000,0.002237009994290,0.000160715750549,0.168722819209000,368,368,浙江省,330000,温州市,330300,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,157.244300000000010,4620.000000000000000,149761,147,2,温州市,2015,20434.200000000001000,3123.179999999999800
63,14.832774074600000,0.885109674934000,20.690181881000001,0.297602298267000,0.014749146259000,-0.000020195242390,0.185463877186000,6.432403011840000,7.230578151740000,0.004853672939220,0.000231211676265,0.210137132572000,369,369,浙江省,330000,舟山市,330900,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,浙江省,12.182399999999999,1090.000000000000000,43425,28,2,舟山市,2015,20581.000000000000000,3386.500000000000000
