省,省类型,市,市类型,register,stock,person_density,PGDP,autobus,taxi,passenger_volume,POP,Built_area,Construction_land_area,wage_average,P_road_area,city,year,P_baidu_index,baidu_index,scale,all_area,downtown_area,Built_area_all,Built_area_downtown,Construction_land_area_all,Construction_land_area_downtown,road_area_all,road_area_downtown,DMSP_mean,DMSP_sum,VNL_mean,VNL_sum,location_x,location_y
安徽省,省,芜湖市,地级市,,0.102842602,638.9,67592.0,38329.60976,101662.7642,11.78738537,1.057265272,4533.609756,4368.75122,57372.0,23.48,芜湖市,2015,2280.543089,83.0,2,6026.0,1491.0,0.75234148,3.040650407,0.724983608,2.9300813010000004,0.568536343,2.29778672,12.32806521,74104.0,1.750177116,57314.80018,20181.1,3470.98
安徽省,省,宣城市,地级市,,0.096593269,227.4,37610.0,9485.186631,38676.33242,26.77145533,1.083827754,2013.182469,1974.467421,56767.0,4.66,宣城市,2015,1432.456756,37.0,2,12313.0,2621.0,0.163500566,0.768097088,0.160356324,0.75332599,0.03281085,0.154139641,2.788508359,34360.0,0.48385664,32321.623560000004,20253.4,3422.55
澳门特别行政区,特别行政区,澳门特别行政区,特别行政区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,直辖市,北京市,直辖市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,省,福州市,地级市,,,534.91,75259.0,56805.81459,86400.54591,17.04576176,0.908410947,3481.733096,3200.516192,62478.0,14.17,福州市,2015,1955.127046,146.0,2,12675.0,1786.0,0.274692946,1.94945862,0.252506208,1.792002347,0.223589744,1.586786114,13.39308767,163918.0,2.074161059,131997.5356,20322.6,2908.07
福建省,省,龙岩市,地级市,,,162.09,66865.0,11413.16379,23594.8908,8.050699713,1.188890443,2228.833333,2113.548851,55430.0,5.81,龙岩市,2015,1882.979885,49.0,2,19063.0,4901.0,0.116919338,0.454771135,0.110871786,0.43124849,0.031002466,0.120587635,2.083758347,39631.0,0.373015816,36659.99444,20078.6,2810.91
福建省,省,南平市,地级市,,,121.77,50929.0,16190.86119,23070.07687,8.087829253999999,1.215682831,1558.275373,1444.255224,56381.0,4.52,南平市,2015,1368.241791,36.0,2,26280.0,6039.0,0.059295105999999986,0.25803533300000003,0.054956439,0.239154698,0.014764079,0.064249048,1.243522922,32686.0,0.249447397,34431.97257,20207.9,3045.49
福建省,省,宁德市,地级市,,,259.44,52006.0,8586.225503,23350.34497,24.05190242,1.217847887,1047.100671,977.2939597,56625.0,8.68,宁德市,2015,2268.718121,65.0,2,13452.0,1537.0,0.077839776,0.6812626359999999,0.072650458,0.6358451270000001,0.031073446,0.27195836,3.5261287930000003,47638.0,0.572095691,40538.12859,20344.8,3012.97
福建省,省,莆田市,地级市,,,832.73,57888.0,32117.378310000004,42474.44819,9.471313735,1.200513427,3033.889157,4289.291566,52149.0,3.73,莆田市,2015,2371.315663,68.0,2,4131.0,2290.0,0.7344200329999999,1.324842426,1.038317978,1.873053086,0.208182038,0.375545852,17.540221399999997,71301.0,2.691358962,56497.00732999999,20296.4,2838.85
福建省,省,泉州市,地级市,,,655.47,72421.0,14731.89397,24156.05993,8.393287231,0.852126245,2559.504397,2170.27101,54044.0,21.92,泉州市,2015,1533.343648,130.0,2,11015.0,855.0,0.232365356,2.993572395,0.197028689,2.538328666,0.213980935,2.7567251460000004,16.91007194,192741.0,2.800196025,164578.7212,20233.6,2807.19
福建省,省,三明市,地级市,,,123.67,67978.0,14191.89825,16060.29942,9.023980117,1.1294683840000002,1470.869006,1351.609357,59166.0,12.67,三明市,2015,1590.128655,40.0,2,22965.0,1151.0,0.064048291,1.277905305,0.058855186,1.174291361,0.01558894,0.311033884,1.538069518,35311.0,0.28528892,34112.28141,20139.7,2925.83
福建省,省,厦门市,地级市,,,1241.91,90379.0,122180.9478,147601.6695,9.446819395,0.5499575170000001,8256.52536,8256.52536,66930.0,19.57,厦门市,2015,3490.140058,134.0,2,1699.0,1699.0,4.859638234,4.859638234,4.859638234,4.859638234,2.432607416,2.432607416,39.87918321,70307.0,10.70884622,97236.32367,20222.0,2747.37
福建省,省,漳州市,地级市,,,389.75,55569.0,10331.42058,20101.13285,6.196846245,1.007223232,1324.026715,1303.965704,56931.0,18.95,漳州市,2015,1404.270758,70.0,2,12880.0,401.0,0.102797105,3.3018122560000003,0.101239573,3.251784798,0.08718944099999999,2.8004987530000003,9.695207244,131690.0,1.251544337,87130.01366,20155.9,2707.22
甘肃省,省,白银市,地级市,,0.126091906,85.55,25410.0,17728.93161,121001.421,11.55013564,1.057650718,3627.702177,3569.190851,51196.0,12.72,白银市,2015,1579.805787,27.0,2,21158.0,3478.0,0.171457708,1.043042604,0.168692261,1.026219336,0.029728708,0.180851064,0.675256193,13574.0,0.245842026,28674.03053,18929.4,4072.41
甘肃省,省,定西市,地级市,,0.101215747,153.5,10987.0,3891.527487,18160.46161,7.015559275,1.084114699,900.8165479,1189.077843,4958.0,5.82,定西市,2015,216.1959715,6.0,2,19609.0,3646.0,0.045938934,0.24706981600000005,0.060639392,0.326132157,0.013667194,0.073505211,0.705201428,13829.0,0.253854579,28367.23379,18902.7,3907.36
甘肃省,省,甘南藏族自治州,自治州,,,,,,,,,,,,,甘南藏族自治州,2015,,,2,,,,,,,,,0.108990265,3997.0,0.132405033,27386.2598,18740.8,3830.18
甘肃省,省,嘉峪关市,地级市,,0.206511731,68.14,78336.0,56883.47072999999,316156.6815,2871.007696,0.834703103,28853.93443,28441.73537,53998.0,20.0,嘉峪关市,2015,6182.985949,15.0,2,2935.0,2935.0,9.83098277,9.83098277,9.690540159,9.690540159,0.137989779,0.137989779,9.55781759,11737.0,1.958568654,14559.99938,18403.5,4489.57
甘肃省,省,金昌市,地级市,,0.123325656,51.71,47739.0,24665.13122,108441.5252,16.5639114,0.971508487,8930.478544,8930.478544,52683.0,23.04,金昌市,2015,1063.152208,5.0,2,8896.0,3019.0,1.003875736,2.9580916010000005,1.003875736,2.9580916010000005,0.053732014,0.158330573,1.202569818,9172.0,0.356296569,16145.22271,18717.2,4293.65
甘肃省,省,酒泉市,地级市,,0.127598737,5.77,48920.0,29722.15487,71836.02385,72.69805614,1.001573763,4669.34155,4938.72664,54778.0,13.52,酒泉市,2015,1346.925447,15.0,2,193974.0,3386.0,0.024071997,1.3790140430000002,0.025460766,1.458572546,0.00289214,0.165682221,0.129743042,21757.0,0.14754155300000002,150894.5821,18223.8,4566.89
甘肃省,省,兰州市,地级市,,0.169586653,246.06,56972.0,72218.79238,202006.4343,11.03357733,0.873299371,6131.272381000002,5805.718095,62201.0,9.89,兰州市,2015,3336.931429,123.0,2,13086.0,1632.0,0.468536786,3.756907096,0.443658727,3.557425303,0.15474553,1.240808824,4.295017416,56720.0,1.00568529,76764.9639,18838.8,4050.22
甘肃省,省,临夏回族自治州,自治州,,,,,,,,,,,,,临夏回族自治州,2015,,,2,,,,,,,,,1.067511067,8681.0,0.32457742,15123.03571,18800.7,3971.29
甘肃省,省,陇南市,地级市,,0.051525323,102.73,12172.0,2974.100331,26071.65874,11.95047587,1.103738845,540.7455147000002,540.7455147000002,46132.0,1.24,陇南市,2015,1467.737826,38.0,2,27839.0,4683.0,0.019424028,0.115469894,0.019424028,0.115469894,0.002514458,0.014947683,0.410415397,11451.0,0.16933163699999998,26420.30729,18963.2,3733.81
甘肃省,省,平凉市,地级市,,0.102261522,208.59,18490.0,11911.89861,46424.49771,19.10689808,1.239475593,1914.412277,2073.946633,53028.0,2.75,平凉市,2015,1010.384257,19.0,2,11170.0,1936.0,0.171388745,0.988849317,0.18567114,1.071253426,0.012623098,0.072830579,1.068463612,11892.0,0.315195586,20013.65896,19104.1,3917.4
甘肃省,省,庆阳市,地级市,,0.10848843,98.45,27366.0,10597.37979,48451.57962,12.21392925,1.200332877,1077.6996390000004,1167.507943,56002.0,8.1,庆阳市,2015,808.2747295,18.0,2,27119.0,996.0,0.039739653,1.08202775,0.04305129,1.17219673,0.011394225,0.310240964,2.173898605,58917.0,0.448253563,70107.30556000001,19193.4,4008.84
甘肃省,省,天水市,地级市,,0.067452993,257.06,16743.0,14149.70905,30204.18663,8.586575578,1.110117238,1693.127579,1451.25221,45546.0,4.63,天水市,2015,574.4539999,19.0,2,14277.0,5858.0,0.118591271,0.289028265,0.101649661,0.247738513,0.042305807,0.103106862,1.257695814,17936.0,0.313013041,25308.04342,19017.3,3848.13
甘肃省,省,武威市,地级市,,0.082095725,57.16,22931.0,20826.96921,63086.98345,26.97037415,1.047078632,1763.129669,1708.031866,52009.0,4.51,武威市,2015,1542.73846,28.0,2,33238.0,5081.0,0.0530456,0.34700446100000004,0.051387925,0.33616057200000005,0.013990011,0.091517418,0.500061736,16200.0,0.212659365,40811.45877,18803.2,4256.22
甘肃省,省,张掖市,地级市,,0.110476203,31.01,30704.0,15864.51423,100694.4556,38.63379113,1.06916962,5260.771558,3123.5831120000007,51569.0,13.07,张掖市,2015,1726.190667,21.0,2,41924.0,4240.0,0.125483531,1.240748009,0.074505847,0.73669413,0.015838183,0.156603774,0.289152868,11124.0,0.187852554,43247.22706000001,18530.4,4373.98
广东省,省,潮州市,地级市,,0.080115795,867.77,33954.0,7163.055802,34211.05297,8.368090711,1.017750845,,2835.376255,48471.0,,潮州市,2015,1454.99571,39.0,2,3146.0,1414.0,,,0.901263908,2.005216588,,,12.01258441,39137.0,1.706145489,28359.55032,20090.3,2643.57
广东省,省,东莞市,地级市,,0.222145841,792.68,75616.0,59047.90828,93448.37197,5.933688662000001,0.234806945,11185.87006,12582.59873,53221.0,73.04,东莞市,2015,1962.644586,163.0,2,2460.0,2460.0,4.547101652,4.547101652,5.114877531,5.114877531,5.790243902,5.790243902,56.16326531,137600.0,13.23463706,165207.9745,19795.0,2540.18
广东省,省,佛山市,地级市,,0.239950378,1024.22,108299.0,90240.14175,56044.7325,7.201883500000001,0.526563275,,,61810.0,,佛山市,2015,2003.5315,148.0,2,3798.0,3798.0,,,,,,,41.71522655,158351.0,7.636920787,147025.999,19699.4,2546.56
广东省,省,广州市,地级市,,0.168375169,1148.78,136188.0,104812.0906,165697.9081,64.03695196,0.642709545,9307.434033,,81171.0,13.15,广州市,2015,2076.678895,276.0,2,7434.0,7434.0,1.252008883,1.252008883,,,1.51062685,1.51062685,32.09182984,237640.0,6.724672824,253177.2071,19759.7,2583.4
广东省,省,河源市,地级市,,0.059958949,233.81,26401.0,7528.437031,16132.365069999998,10.61477031,1.194153512,,,51456.0,,河源市,2015,1173.262914,36.0,2,15654.0,362.0,,,,,,,2.138885338,33465.0,0.421109055,33706.41098,19902.8,2665.82
广东省,省,惠州市,地级市,,0.135708585,314.65,66231.0,50031.82548,41552.57006000001,14.34090984,0.7531561520000001,4577.11051,4513.832484000001,58607.0,20.47,惠州市,2015,2362.379618,112.0,2,11346.0,2697.0,0.40341182,1.697111794,0.397834698,1.673649419,0.262383219,1.103819058,12.61524406,144987.0,1.800778091,105006.9721,19858.7,2574.86
广东省,省,江门市,地级市,,0.114780953,411.36,49608.0,22522.91786,14838.10714,20.03587393,0.866833361,3321.964286,841.5642857,54106.0,13.8,江门市,2015,2236.789286,101.0,2,9505.0,1786.0,0.34949650600000004,1.8600024,0.088539115,0.471200608,0.20378748,1.084546473,11.72523962,113770.0,1.44590315,70739.36568999999,19672.4,2464.33
广东省,省,揭阳市,地级市,,0.04770836,1339.69,31255.0,6201.388889,9144.981481,3.375209259,1.160370815,2133.277778,1736.388889,44878.0,6.03,揭阳市,2015,1091.444444,66.0,2,5240.0,1031.0,0.40711408,2.069134605,0.331371925,1.68417933,0.241030534,1.225024248,13.5109558,71527.0,1.7931616190000002,48293.42873,20024.1,2591.03
广东省,省,茂名市,地级市,,0.054425385,687.72,40324.0,6056.829388,6583.510204,10.3739662,1.293396415,1975.053061,1991.511837,53036.0,,茂名市,2015,872.3151019999998,53.0,2,11429.0,2716.0,0.172810662,0.7271918490000001,0.174250751,0.733251781,,,4.568831396,52272.0,0.676331033,38987.1024,19495.2,2434.87
广东省,省,梅州市,地级市,,0.059806245999999987,343.89,22155.0,23452.79602,10849.2265,5.874740734,1.255255506,1246.506875,1223.423414,54018.0,7.65,梅州市,2015,1315.757257,57.0,2,15819.0,3047.0,0.078798083,0.409093165,0.07733885900000001,0.401517366,0.04677919,0.24286183100000006,2.148045397,34068.0,0.417836582,33924.98777,20016.5,2687.15
广东省,省,清远市,地级市,,0.089878481,220.11,33392.0,13565.5,12600.2625,7.46363375,1.091787963,9991.5125,3469.6375,59788.0,,清远市,2015,1539.1625,59.0,2,19036.0,3650.0,0.52487458,2.737400685,0.182267152,0.950585616,,,3.913913546,74517.0,0.586267434,57161.6611,19690.5,2691.32
广东省,省,汕头市,地级市,,0.090474094,2501.14,33732.0,21411.70267,18615.73476,2.853691123,0.992947418,4581.779679,4491.587165999998,52299.0,4.62,汕头市,2015,1659.542246,92.0,2,2199.0,2085.0,2.083574206,2.197496249,2.042558966,2.154238449,1.140518417,1.202877698,32.85246599,77269.0,4.916101066,58752.32384,20072.9,2592.23
广东省,省,汕尾市,地级市,,0.023631676,737.92,25283.0,9720.873508,11943.73537,3.725781894,1.190923124,564.0097257,564.0097257,48162.0,5.0,汕尾市,2015,729.8949391,22.0,2,4865.0,421.0,0.115932112,1.33969056,0.115932112,1.33969056,0.05364851,0.619952494,7.1377761139999985,38130.0,0.956897007,25904.158880000006,19971.4,2537.84
广东省,省,韶关市,地级市,,0.069942989,179.23,39380.0,15717.75652,35236.539130000005,18.88527826,1.130753896,3390.104348,3390.104348,54923.0,8.07,韶关市,2015,1540.9565220000004,45.0,2,18412.0,2871.0,0.18412472,1.180809595,0.18412472,1.180809595,0.040625679,0.260536398,1.956708311,36023.0,0.356048283,33713.49985,19780.6,2748.95
广东省,省,深圳市,地级市,,0.28410605,1777.67,157985.0,286322.9863,,5.9348193710000015,0.320474829,8124.942856999999,8079.804286,81034.0,33.35,深圳市,2015,2229.845429,247.0,2,1997.0,1997.0,4.06857429,4.06857429,4.0459711,4.0459711,5.927891838,5.927891838,54.01684605,115434.0,18.07198235,195394.2732,19822.6,2508.67
