省,省代码,市,市代码,市类型,省类型,数量,2002y1_pr,2002stock,2003y1_pr,2003stock,2004y1_pr,2004stock,2005y1_pr,2005stock,2006y1_pr,2006stock,2007y1_pr,2007stock,2008y1_pr,2008stock,2009y1_pr,2009stock,2010y1_pr,2010stock,2011y1_pr,2011stock,2012y1_pr,2012stock,2013y1_pr,2013stock,2014y1_pr,2014stock,2015y1_pr,2015stock,2016y1_pr,2016stock,2017y1_pr,2017stock,2018y1_pr,2018stock,2019y1_pr,2019stock,2020y1_pr,2020stock,2002y1_corrected,2003y1_corrected,2004y1_corrected,2005y1_corrected,2006y1_corrected,2007y1_corrected,2008y1_corrected,2009y1_corrected,2010y1_corrected,2011y1_corrected,2012y1_corrected,2013y1_corrected,2014y1_corrected,2015y1_corrected,2016y1_corrected,2017y1_corrected,2018y1_corrected,2019y1_corrected,2020y1_corrected
安徽省,340000,安庆市,340800,地级市,省,1,8.382,3.3071,10.747000000000002,3.9349,10.747000000000002,3.5713,10.747000000000002,5.3089,11.880999999999998,7.4495,13.428999999999998,6.7627,14.678999999999998,8.2929,15.614999999999998,12.1714,29.93200000000001,14.6788,32.74300000000001,17.6857,33.75,21.1146,30.334000000000003,25.9399,49.18600000000001,30.9036,35.609,36.2055,48.836999999999996,40.0674,66.915,46.5712,55.63200000000001,100.6946,57.50999999999999,57.6154,56.599,61.6378,3.334547227761685,3.6354640139637953,3.7679921128438445,4.356818754091757,5.440103617664851,7.155252716484941,8.55627470129421,9.838294155736595,20.37562633633235,15.00294931806344,18.094832770300147,18.50532466737409,32.317750103816245,26.59652667634183,40.44416719504664,50.634397955328026,47.84251872694781,48.129731037776025,49.94501428925384
安徽省,340000,蚌埠市,340300,地级市,省,1,7.928,3.0923,11.687000000000001,3.8883,12.158,3.4589,12.158,3.9402,12.357000000000001,4.7024,12.208,5.2391,13.102,6.3487,13.22,7.9701,13.523,9.8706,29.975,11.7533,29.975,13.6161,30.346000000000004,16.4439,32.748000000000005,18.8037,36.224,22.4366,38.014,27.8173,50.301,33.208,55.202,79.4492,53.75,44.3532,57.833999999999996,49.9693,3.1539358651508755,3.9534444897361936,4.262701042891547,4.928836178677544,5.658055753176044,6.504678320265707,7.637053691420175,8.329314680681255,9.205519007958783,13.734642696422181,16.0708922159925,18.51264529426169,21.517132525510803,27.05587301872578,31.48114281697285,38.06262947845707,47.472726466152075,44.9830124027206,51.0348231665702
安徽省,340000,亳州市,341600,地级市,省,1,7.928,2.0205,10.747000000000002,2.6669,10.747000000000002,3.6069,10.747000000000002,3.6069,10.747000000000002,9.5062,10.747000000000002,6.7047,10.747000000000002,8.1238,10.747000000000002,16.5988,12.498,19.9383,25.183000000000003,23.3301,25.468000000000004,26.0552,27.213,25.6057,29.962,29.8465,31.288,35.3242,31.659,42.8396,46.437,50.8451,47.105,97.2493,67.96900000000002,64.3974,61.54400000000002,70.6422,3.1539358651508755,3.6354640139637953,3.7679921128438445,4.356818754091757,4.920864706594072,5.7262268928485875,6.264342544778861,6.7711909889017745,8.507770210860672,11.538932678031687,13.654494844266791,16.601351624357193,19.686586195473144,23.36915180570595,26.218274857750917,35.138751219480945,40.509452197168464,56.88279758140498,54.308661980208825
安徽省,340000,池州市,341700,地级市,省,1,7.928,1.0977,12.623,1.2513,12.623,1.3405,12.623,2.0118,12.623,2.2858,10.808,2.2395,10.747000000000002,2.6036,10.747000000000002,3.5441,10.747000000000002,4.2915,25.183000000000003,5.2369,25.863000000000003,6.2923,25.468000000000004,7.1196,25.183000000000003,8.731,27.93200000000001,10.5624,29.258000000000006,12.7543,29.688000000000002,14.9621,30.743,33.983000000000004,31.288,18.6944,31.718000000000004,20.333,3.1539358651508755,4.270071857101049,4.425734106302023,5.1173465276728605,5.779852534785238,5.758728971611382,6.264342544778861,6.7711909889017745,7.315811046256973,11.538932678031687,13.866271405578452,15.53681046445188,16.546535617135046,20.862539895070913,24.22989626292923,22.464828610891107,26.438426682890352,26.18471613128041,27.98911576576536
安徽省,340000,滁州市,341100,地级市,省,1,8.931999999999997,4.2285,12.8,4.6741,13.307,5.0567,12.692000000000002,5.3319,10.819,8.2243,10.464,7.7761,12.329000000000002,8.7584,12.614,11.5913,14.067000000000002,13.4594,35.284,15.6942,35.284,15.961,36.903,18.4207,39.391,20.8604,40.725,24.1417,44.795,29.5161,57.19600000000001,35.7338,67.66200000000002,97.8435,69.11000000000001,47.8837,76.93200000000002,53.2756,3.553349539294603,4.329946904134789,4.665550483447756,5.145319031072167,4.953832256503327,5.575438560227749,7.186478015686106,7.9475019199783175,9.575836418321098,16.16724379985188,18.917276428659864,22.51275783609501,25.881927669243797,30.41769072127892,37.09680098085702,43.2800571688402,58.188102209209504,57.837692784223655,67.88759234793685
安徽省,340000,阜阳市,341200,地级市,省,1,8.854,4.8832,10.747000000000002,6.0527,10.747000000000002,7.01,13.024,9.513,10.631000000000002,14.2465,11.530999999999999,12.8124,12.094000000000001,14.8859,13.314000000000002,23.865,15.101,28.2858,36.61,33.5188,35.284,37.6374,36.731,43.084,35.364000000000004,48.4019,39.854,54.9953,39.648,62.8222,63.368000000000016,72.6618,62.01000000000001,141.8995,69.904,95.19,73.74600000000002,104.2034,3.52231939329539,3.6354640139637953,3.7679921128438445,5.279911366268822,4.86775032062916,6.143958528095007,7.0494983471252946,8.388539762374451,10.279711790222997,16.77482132163523,18.917276428659864,22.40782885070606,23.235980048618664,29.767136795723758,32.83433341419844,47.950392731573295,53.32748393475039,58.502186027902894,65.07615017536202
安徽省,340000,合肥市,340100,地级市,省,1,13.125,6.6613,15.540999999999995,9.0081,15.993,10.7689,20.904,12.6353,29.638,15.6147,35.57600000000001,18.279,40.948,22.513,64.638,29.6625,73.127,38.606,103.62299999999998,55.04,106.03199999999997,66.5553,112.292,82.0675,118.10600000000001,97.5744,128.384,116.8809,145.934,142.9899,200.014,169.7353,200.014,234.6325,252.50599999999997,217.5679,254.042,234.1024,5.221418797944657,5.2571644404030256,5.607285555104829,8.474452334189454,13.570725614035089,18.95563859123303,23.868270077566276,40.72543436685893,49.77978174184736,47.48039633465739,56.84833506075451,68.50398620520772,77.60176053676496,95.89060296036027,120.85466133140726,151.3500481601581,172.00844011812873,211.3205679955603,224.17589215481942
安徽省,340000,淮北市,340600,地级市,省,1,7.928,1.5574,10.747000000000002,1.765,10.747000000000002,1.7528,10.747000000000002,2.5834,10.747000000000002,3.7624,10.747000000000002,3.0056,11.687000000000001,3.5793,11.687000000000001,6.277,12.335,8.0759,25.183000000000003,9.9203,25.183000000000003,12.1237,25.468000000000004,13.4097,28.21700000000001,15.6716,29.54300000000001,17.8975,31.718000000000004,20.6599,33.474000000000004,24.2069,34.24399999999999,54.304,38.917,31.3456,36.121,34.6274,3.1539358651508755,3.6354640139637953,3.7679921128438445,4.356818754091757,4.920864706594072,5.7262268928485875,6.812261219022103,7.363441805833724,8.396811133858728,11.538932678031687,13.50169403420648,15.53681046445188,18.54003079492911,22.065803240730347,26.26713547295062,25.329684482651878,29.449223671368998,32.56937476607772,31.874482961574202
安徽省,340000,淮南市,340400,地级市,省,1,8.55,3.0262,12.357000000000001,3.4922,12.13,2.8988,12.13,3.7015,12.005,4.4207,12.005,4.9915,12.902999999999999,5.8869,13.074000000000002,7.3733,12.98,8.978,28.21700000000001,10.3471,29.295,11.8885,29.975,14.2483,36.62300000000001,15.7088,33.486999999999995,17.8035,31.731000000000005,26.0907,38.25,29.6177,42.013000000000005,67.6639,40.841,37.1345,39.854,39.8891,3.401381388375377,4.180090147999499,4.252883998213067,4.917485017877827,5.496881064730792,6.396515664710829,7.521058142298466,8.237326787838633,8.835882328130223,12.929121366637023,15.706314844620529,18.28631591298669,24.0632082717046,25.011595068961743,26.277901371214963,28.943670653684478,36.13042384374565,34.17955738678162,35.16861781098469
安徽省,340000,黄山市,341000,地级市,省,1,7.928,1.7779,12.623,2.1868,12.623,2.1754,12.8,2.3591,12.8,5.4109,10.808,3.2837,10.808,3.8221,10.808,8.617,10.747000000000002,9.5638,25.565000000000005,10.7651,25.183000000000003,11.4868,25.863000000000003,11.7135,27.93200000000001,12.5581,29.258000000000006,14.6978,29.258000000000006,16.6571,29.688000000000002,18.4899,29.973000000000006,28.5397,31.718000000000004,21.4756,32.488,22.9096,3.1539358651508755,4.270071857101049,4.425734106302023,5.189102079871079,5.860897761645493,5.758728971611382,6.299898969384007,6.809624286596294,7.315811046256973,11.713966323070329,13.50169403420648,15.77778109950208,18.352771030370338,21.852935423528024,24.22989626292923,22.464828610891107,25.776240541465466,26.54458023050218,28.6685917459545
