省,省代码,市,市代码,市类型,省类型,数量,2002y1_pr,2002register,2003y1_pr,2003register,2004y1_pr,2004register,2005y1_pr,2005register,2006y1_pr,2006register,2007y1_pr,2007register,2008y1_pr,2008register,2009y1_pr,2009register,2010y1_pr,2010register,2011y1_pr,2011register,2012y1_pr,2012register,2013y1_pr,2013register,2014y1_pr,2014register,2015y1_pr,2015register,2016y1_pr,2016register,2017y1_pr,2017register,2018y1_pr,2018register,2019y1_pr,2019register,2020y1_pr,2020register,2002y1_corrected,2003y1_corrected,2004y1_corrected,2005y1_corrected,2006y1_corrected,2007y1_corrected,2008y1_corrected,2009y1_corrected,2010y1_corrected,2011y1_corrected,2012y1_corrected,2013y1_corrected,2014y1_corrected,2015y1_corrected,2016y1_corrected,2017y1_corrected,2018y1_corrected,2019y1_corrected,2020y1_corrected
安徽省,340000,安庆市,340800,地级市,省,1,-0.10571026802062987,,0.46986746788024897,,0.6084721088409424,,0.7205148935317993,,0.8413082361221313,,1.0825883150100708,,1.3554767370224,,1.4121363162994385,,2.0605063438415527,,2.270227432250977,,2.320281505584717,,2.4187941551208496,,2.8853130340576167,,3.3886628150939937,,3.1279935836791988,,4.368458271026611,,5.219646453857422,,5.315471649169922,,14.611122131347654,,0.9687950125336646,1.1749742728471755,1.359952956996858,1.3282585203647614,1.470497517362237,1.705891216918826,2.0137366272509096,2.7875515316426753,3.751107440143824,4.57412386149168,5.0023635682463645,5.486302679181099,5.770570701062679,6.374214509129525,7.530683722496033,7.566576045453548,7.1229050907492635,6.9857780909538265,5.576565515191148
安徽省,340000,蚌埠市,340300,地级市,省,1,-0.7887889742851257,,-0.2749238610267639,,-0.18644779920578006,,-0.07293343544006348,,0.08249062299728394,,0.21662509441375727,,0.3902738392353058,,0.43919891119003296,,0.8335953354835509,,-0.011031150817871094,,0.03370499610900879,,0.2081437110900879,,0.8572466373443604,,1.7065181732177734,,2.052837610244751,,3.1984984874725337,,3.805922985076904,,3.3542721271514893,,14.388350486755373,,0.2857163062691688,0.43018294394016265,0.5650330489501357,0.5348101913928985,0.7116799042373896,0.8399279963225126,1.0485337294638157,1.8146141265332698,2.524196431785822,2.2928652784228323,2.7157870587706565,3.2756522351503374,3.7425043043494224,4.692069867253304,6.455527749061584,6.396616261899471,5.709181621968746,5.024578568935394,5.491541198795186
安徽省,340000,亳州市,341600,地级市,省,1,-0.4842309355735779,,0.01811671257019043,,0.12887758016586304,,0.2471164464950561,,0.3662256002426148,,0.4788531064987183,,0.6789703369140625,,0.7838465571403503,,1.1502523422241209,,1.5201904773712158,,1.608856201171875,,1.95790696144104,,2.1191034317016597,,2.585254669189453,,2.663909912109375,,5.081623554229736,,6.786831855773926,,6.496973991394043,,13.914817810058596,,0.5902743449807166,0.723223517537117,0.8803584283217788,0.854860073328018,0.9954148814827204,1.1021560084074735,1.3372302271425724,2.159261772483587,2.840853438526392,3.824086906611919,4.290938263833523,5.02541548550129,5.004361098706722,5.570806363224984,7.066600050926208,8.279741328656673,8.690090492665767,8.167280433177947,5.310809974222235
安徽省,340000,池州市,341700,地级市,省,1,-1.5503692626953125,,-1.1749449968338013,,-1.1295413970947266,,-1.079673171043396,,-1.0225460529327393,,-0.9058758020401,,-0.7865564823150635,,-0.7246274352073669,,-0.4834979474544525,,-2.5360240936279297,,-2.613988161087036,,-2.409636974334717,,-2.3803114891052246,,-2.038183689117432,,-1.985668063163757,,-1.0827654600143433,,-0.5658556222915649,,-1.0348080396652222,,10.54096508026123,,-0.475863982141018,-0.4698381918668747,-0.3780605489388108,-0.471929544210434,-0.3933567716926336,-0.28257290013134473,-0.12829659208655353,0.6507877801358699,1.2071031488478186,-0.23212766438722632,0.06809390157461159,0.6578715497255327,0.5049461778998374,0.9473680049180984,2.417022075653076,2.1153523144125934,1.3374030146002767,0.6354984021186825,4.0231257965672125
安徽省,340000,滁州市,341100,地级市,省,1,-0.2418862581253052,,0.2209518551826477,,0.3488157391548157,,0.3220244646072388,,0.4849289059638977,,0.6596291065216064,,0.8906550407409668,,0.9867351651191713,,1.5148919820785522,,1.3712358474731443,,1.3158423900604248,,1.710213541984558,,2.324794292449951,,2.913668155670166,,3.699927568435669,,5.17308521270752,,6.193004608154298,,6.978963851928711,,17.278228759765625,,0.8326190224289893,0.9260586601495743,1.1002965873107313,0.9297680914402009,1.1141181872040034,1.2829320084303617,1.5489149309694767,2.362150380462408,3.2054930783808233,3.675132276713848,3.9979244527220725,4.777722066044808,5.210051959455013,5.8992198497056965,8.102617707252502,8.371202987134456,8.096263245046138,8.649270293712615,6.594508881598526
安徽省,340000,阜阳市,341200,地级市,省,1,0.4893029928207398,,1.0910600423812866,,1.2478508949279783,,1.42732834815979,,1.6269178390502932,,1.888817548751831,,2.1266546249389653,,2.231863021850586,,2.762317657470703,,5.588726997375488,,5.5832839012146,,5.8671159744262695,,6.743450164794923,,7.511384010314941,,7.760243415832519,,10.546672821044922,,11.709534645080565,,12.640630722045898,,17.866872787475586,,1.5638082733750343,1.7961668473482133,1.9993317430838942,2.035071974992752,2.256107120290399,2.5121204506605865,2.7849145151674755,3.607278237193823,4.452918753772974,7.892623426616192,8.265365963876247,8.934624498486519,9.628707831799986,10.496935704350472,12.162933554649353,13.744790595471859,13.612793281972406,14.310937163829802,6.819174171241672
安徽省,340000,合肥市,340100,地级市,省,1,0.491654098033905,,1.3244361877441406,,1.5329992771148682,,2.1235611438751216,,2.690563201904297,,3.3867578506469727,,4.194386005401611,,4.80519962310791,,6.523482322692871,,8.095979690551758,,8.31911563873291,,10.19937801361084,,12.40774154663086,,13.576953887939453,,14.440526008605955,,17.756824493408203,,20.28728675842285,,20.204315185546875,,32.64447784423828,,1.5661593785881995,2.0295429927110673,2.284480125270784,2.7313047707080838,3.3197524831444025,4.010060752555728,4.852645895630121,6.180614838451147,8.214083418995141,10.399876119792461,11.001197701394558,13.26688653767109,15.292999213635921,16.562505581974982,18.843216147422787,20.95494226783514,22.190545395314693,21.87462162733078,12.459280524185848
安徽省,340000,淮北市,340600,地级市,省,1,-1.211516261100769,,-0.7662755250930786,,-0.6574991941452026,,-0.5599092245101929,,-0.4508533775806427,,-0.3305953145027161,,-0.1829494833946228,,-0.17439472675323486,,0.1265813410282135,,-1.60189950466156,,-1.6346399784088137,,-1.5515286922454834,,-0.9158941507339478,,-0.5018270015716553,,-0.4095531702041626,,0.3589439392089844,,1.1988425254821775,,0.7750000953674316,,12.261478424072266,,-0.13701098054647454,-0.06116872012615204,0.09398165401071312,0.04783440232276914,0.17833590365946295,0.29270758740603914,0.47531040683388714,1.201020488590002,1.8171824373304846,0.7019969245791433,1.047442084252834,1.5159798318147661,1.9693635162711143,2.483724692463875,3.9931369686126708,3.557061713635921,3.1021011623740193,2.4453065371513363,4.679786886336495
安徽省,340000,淮南市,340400,地级市,省,1,-1.0347492694854736,,-0.5603234171867371,,-0.4072238206863403,,-0.27642738819122314,,-0.08397635817527771,,0.029978930950164795,,0.2344379723072052,,0.24049150943756106,,0.6465470790863037,,-0.7749096155166626,,-0.8216650485992432,,-0.7561172246932983,,-0.057867646217346184,,0.4975320100784302,,1.4150933027267456,,2.742950439453125,,3.157240867614746,,2.739563465118408,,13.341968536376953,,0.03975601106882087,0.1447833877801895,0.3442570274695755,0.33131623864173887,0.5452129230648279,0.65328183285892,0.8926978625357151,1.6159067247807979,2.3371481753885748,1.5289868137240408,1.8604170140624046,2.311391299366951,2.827390020787716,3.4830837041139606,5.817783441543579,5.941068213880062,5.060499504506588,4.409869906902313,5.092173001900884
安徽省,340000,黄山市,341000,地级市,省,1,-1.4624099731445312,,-1.04397714138031,,-0.9815365672111512,,-0.8957229852676392,,-0.8238812088966371,,-0.7264114618301392,,-0.6551753282546997,,-0.690874457359314,,-0.5039552450180054,,-2.471639633178711,,-2.562817335128784,,-2.489102363586426,,-2.5127267837524414,,-2.233562469482422,,-2.155486822128296,,-1.40320086479187,,-1.267156720161438,,-1.3835312128067017,,10.721863746643066,,-0.38790469259023674,-0.3388703364133835,-0.23005571905523547,-0.28797935843467715,-0.19469192765653143,-0.1031085599213839,0.0030845619738102403,0.6845407579839229,1.1866458512842657,-0.16774320393800757,0.11926472753286355,0.5784061604738238,0.3725308832526206,0.7519892245531086,2.2472033166885375,1.7949169096350668,0.6361019167304036,0.286775228977203,4.092168629528323
