Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
55,1.2987,,甘孜藏族自治州,2004,,,3419.0,,,,2,100.0,100.0,-1.6801204681396484,-0.9234360751651582
56,,,果洛藏族自治州,2017,,,1765.0,,,,2,100.0,100.0,-1.8320887088775637,-2.301415700912476
57,1.8281,,海西蒙古族藏族自治州,2002,,,7240.0,,,,2,100.0,100.0,-1.329049825668335,0.5416052651405334
58,0.9207,,阿拉善盟,2002,,,5766.0,,,,2,100.0,100.0,-1.464479923248291,-0.2817663748065631
59,,,玉树藏族自治州,2019,,,5108.0,,,,2,100.0,100.0,-1.5249364376068115,-2.465021913051605
60,2.4004,,甘孜藏族自治州,2005,,,3777.0,,,,2,100.0,100.0,-1.647227764129639,-0.7494849385534016
61,,,果洛藏族自治州,2018,,,1893.0,,,,2,100.0,100.0,-1.8203282356262207,-2.958900389671326
62,0.2418,,海北藏族自治州,2002,,,915.0,,,,2,100.0,100.0,-1.910186052322388,-0.039530961513519536
63,1.7783,,甘孜藏族自治州,2006,,,4362.0,,,,2,100.0,100.0,-1.593478441238403,-0.6004583774294168
64,0.6137,,克孜勒苏柯尔克孜自治州,2003,,,2100.0,,,,2,100.0,100.0,-1.8013092279434204,-0.5078771696567534
65,2.8045,,甘孜藏族自治州,2007,,,4620.0,,,,2,100.0,100.0,-1.569773554801941,-1.7097553496133713
66,0.2219,,海南藏族自治州,2002,,,1366.0,,,,2,100.0,100.0,-1.8687485456466677,0.001906545162200679
67,,,海西蒙古族藏族自治州,2003,,,9427.0,,,,2,100.0,100.0,-1.1281099319458008,0.6113819766044617
68,,,海北藏族自治州,2003,,,1108.0,,,,2,100.0,100.0,-1.8924534320831297,-0.15296152353286718
69,,,克孜勒苏柯尔克孜自治州,2004,,,2255.0,,,,2,100.0,100.0,-1.7870678901672363,-0.7171996228218078
70,,,海西蒙古族藏族自治州,2004,,,9757.0,,,,2,100.0,100.0,-1.0977897644042969,0.6126539266109465
71,2.8943,,阿拉善盟,2003,,,7846.0,,,,2,100.0,100.0,-1.2733711004257202,-0.46293977141380316
72,,,克孜勒苏柯尔克孜自治州,2005,,,2296.0,,,,2,100.0,100.0,-1.7833008766174316,-0.5945621497154234
73,1.2589,,和田地区,2003,,,8339.0,,,,2,100.0,100.0,-1.228074550628662,0.06535750765800485
74,,,玉树藏族自治州,2020,,,6913.0,,,,2,100.0,100.0,-1.3590943813323977,-3.538009016513824
75,,,海北藏族自治州,2004,,,1166.0,,,,2,100.0,100.0,-1.8871244192123413,-0.1766807281970979
76,0.8867,,阿拉善盟,2004,,,8433.0,,,,2,100.0,100.0,-1.2194379568099976,-0.04787015125155447
77,2.9001,,甘孜藏族自治州,2008,,,5298.0,,,,2,100.0,100.0,-1.5074794292449951,-0.5762339118832632
78,,,果洛藏族自治州,2019,,,2657.0,,,,2,100.0,100.0,-1.750132441520691,-2.6902179169654845
79,,,海南藏族自治州,2003,,,1575.0,,,,2,100.0,100.0,-1.8495458364486692,-0.11005392789840673
80,,,海南藏族自治州,2004,,,1582.0,,,,2,100.0,100.0,-1.8489027023315432,-0.13845901131629978
81,,,克孜勒苏柯尔克孜自治州,2006,,,2542.0,,,,2,100.0,100.0,-1.7606985569000244,-0.9155699616670608
82,1.7904,,海西蒙古族藏族自治州,2005,,,11292.0,,,,2,100.0,100.0,-0.9567551612854004,0.6566096930205823
83,4.2562,,阿拉善盟,2005,,,9212.0,,,,2,100.0,100.0,-1.1478641033172607,-0.09859456221262608
84,,,克孜勒苏柯尔克孜自治州,2007,,,2704.0,,,,2,100.0,100.0,-1.745814085006714,-0.6733187738180162
85,,,和田地区,2004,,,9599.0,,,,2,100.0,100.0,-1.112306833267212,-0.04243856592178341
86,0.3347,,海北藏族自治州,2005,,,1343.0,,,,2,100.0,100.0,-1.8708617687225344,-0.25749691441655176
87,3.0472,,甘孜藏族自治州,2009,,,5938.0,,,,2,100.0,100.0,-1.4486767053604126,1.0427871817918049
88,,,克孜勒苏柯尔克孜自治州,2009,,,2846.0,,,,2,100.0,100.0,-1.7327673435211182,-0.4989310286760331
89,0.6078,,甘南藏族自治州,2002,,,1512.0,,,,2,100.0,100.0,-1.8553341627120967,-0.24870896680014432
90,0.8095,,海南藏族自治州,2005,,,1805.0,,,,2,100.0,100.0,-1.8284136056900024,-0.2150487513840198
91,,,大兴安岭地区,2016,,,2744.0,,,,2,100.0,100.0,-1.7421389818191528,1.0066797806666448
92,1.9624,,海西蒙古族藏族自治州,2006,,,12587.0,,,,2,100.0,100.0,-0.8377716541290283,0.8468903440237046
93,,,神农架林区,2016,,,136.0,,,,2,100.0,100.0,-1.981760025024414,2.0245744705200197
94,0.5474,,阿坝藏族羌族自治州,2002,,,3504.0,,,,2,100.0,100.0,-1.672310709953308,-0.38188865502675373
95,0.5969,,阿勒泰地区,2002,,,4972.0,,,,2,100.0,100.0,-1.5374319553375244,-0.14127019729614254
96,,,大兴安岭地区,2015,,,2840.0,,,,2,100.0,100.0,-1.733318567276001,0.54586348093473
97,5.1567,,巴音郭楞蒙古自治州,2002,,,20340.0,,,,2,100.0,100.0,-0.12543177604675293,1.270729981994629
98,,,克孜勒苏柯尔克孜自治州,2008,,,3030.0,,,,2,100.0,100.0,-1.7158615589141846,-1.0750369858264923
99,3.1195,,锡林郭勒盟,2002,,,8840.0,,,,2,100.0,100.0,-1.1820430755615234,0.0006704728802044979
100,,,海北藏族自治州,2016,,,1529.0,,,,2,100.0,100.0,-1.8537722826004028,-1.5670328706502914
101,0.6385,,海北藏族自治州,2007,,,1534.0,,,,2,100.0,100.0,-1.853312849998474,-0.3946407099068163
102,4.9532,,海西蒙古族藏族自治州,2007,,,13452.0,,,,2,100.0,100.0,-0.7582961320877075,0.7003760080039501
103,,,海西蒙古族藏族自治州,2008,,,13478.0,,,,2,100.0,100.0,-0.7559071779251099,0.6555111111700536
104,1.9158,,阿拉善盟,2006,,,10891.0,,,,2,100.0,100.0,-0.9935987591743468,-0.9222156410415966
105,5.1868,,巴音郭楞蒙古自治州,2003,,,21829.0,,,,2,100.0,100.0,0.011376500129699707,1.3048085584163667
106,,,巴音郭楞蒙古自治州,2004,,,22165.0,,,,2,100.0,100.0,0.04224777221679688,1.1121160395622254
107,4.2945,,海西蒙古族藏族自治州,2009,,,14551.0,,,,2,100.0,100.0,-0.6573207378387451,1.3467618966102601
108,,,神农架林区,2015,,,157.0,,,,2,100.0,100.0,-1.979830503463745,1.3717269832947678
109,,,和田地区,2005,,,12012.0,,,,2,100.0,100.0,-0.8906021118164062,0.29813661508560196
110,,,和田地区,2006,,,12028.0,,,,2,100.0,100.0,-0.8891321420669556,-0.04400354683399199
111,0.2277,,黄南藏族自治州,2002,,,886.0,,,,2,100.0,100.0,-1.9128506183624268,-0.042195527553558376
112,1.5183,,阿拉善盟,2007,,,11870.0,,,,2,100.0,100.0,-0.9036489725112916,-0.8841300090154013
113,0.1611,,海北藏族自治州,2006,,,1709.0,,,,2,100.0,100.0,-1.8372340202331543,-0.15257202208042142
114,,,巴音郭楞蒙古自治州,2005,,,23544.0,,,,2,100.0,100.0,0.16894936561584473,1.357688092517853
115,,,海北藏族自治州,2008,,,1744.0,,,,2,100.0,100.0,-1.8340182304382324,-0.422599941343069
116,,,阿勒泰地区,2004,,,5945.0,,,,2,100.0,100.0,-1.448033571243286,-0.3781653038978574
117,4.9566,,甘孜藏族自治州,2010,,,7656.0,,,,2,100.0,100.0,-1.2908281087875366,1.3720834871417003
118,1.8786,,阿拉善盟,2008,,,12333.0,,,,2,100.0,100.0,-0.8611088991165161,0.07919960568348561
119,,,神农架林区,2014,,,169.0,,,,2,100.0,100.0,-1.9787280559539795,0.9185016402076269
120,0.782,,阿勒泰地区,2003,,,6226.0,,,,2,100.0,100.0,-1.4222154617309568,-0.12878340344428985
121,,,海北藏族自治州,2014,,,1838.0,,,,2,100.0,100.0,-1.8253815174102783,-1.310885904431343
122,,,克孜勒苏柯尔克孜自治州,2010,,,3760.0,,,,2,100.0,100.0,-1.648789644241333,-0.665318765449524
123,0.93,,海南藏族自治州,2006,,,2360.0,,,,2,100.0,100.0,-1.7774206399917605,-0.0927586418390276
124,3.7103,,阿拉善盟,2009,,,13104.0,,,,2,100.0,100.0,-0.7902700901031494,0.40421813229719805
125,0.7176,,阿坝藏族羌族自治州,2003,,,4553.0,,,,2,100.0,100.0,-1.5759294033050537,-0.6869466065225147
126,8.3,,甘孜藏族自治州,2016,,,8491.0,,,,2,100.0,100.0,-1.214108943939209,2.711132118134271
127,,,和田地区,2007,,,14122.0,,,,2,100.0,100.0,-0.6967369318008423,0.3757583793878556
128,,,海北藏族自治州,2015,,,1971.0,,,,2,100.0,100.0,-1.8131616115570068,-1.6195628142356873
