,stock,register,city,year,PGDP,wage_average,P_baidu_index,DMSP_mean,P_road_area,Built_area,scale,stock_model_chose,pr_stock
123,0.22899748600000006,,嘉兴市,2016,83968.0,73836.0,2436.377202,33.84138381,,2197.090155,2,100111.0,0.14872531376770687
124,,,常州市,2018,149275.0,91268.0,3768.929078,33.61025876,,5674.567376,2,100111.0,0.24295496872467143
125,0.285837305,,珠海市,2016,134548.3,74931.0,5611.20713,33.55885363,,8507.314036,2,100111.0,0.2433196942133678
126,,,镇江市,2018,126906.0,79608.0,4167.53037,33.46654469,,4480.878519,2,100111.0,0.20461328998176045
127,0.13081136599999998,,厦门市,2011,70832.0,46413.94,1338.5574800000004,33.41747022,17.96,6860.107087,2,110111.0,0.18384059168842698
128,0.100841495,,汕头市,2016,37389.58,55867.0,1474.012288,33.38222789,,4637.745981,2,100111.0,0.12331018227081475
129,0.199989899,,嘉兴市,2015,76850.0,67689.0,2379.730114,33.31875544,15.02,2161.40625,2,110111.0,0.17084142739107938
130,0.136346298,,无锡市,2011,107437.0,51516.54,796.4079942000002,33.04163997,24.35,4512.978634,2,110111.0,0.20909153402486702
131,0.17019284399999998,,苏州市,2012,114029.0,57621.9,589.1498333,33.03675362,23.4,4152.556083,2,110111.0,0.21193550283326418
132,0.116841809,,无锡市,2010,92167.0,47004.39,,32.99893231,23.39,3677.129016,2,110011.0,0.18990129513274343
133,0.090474094,,汕头市,2015,33732.0,52299.0,1659.542246,32.85246599,4.62,4581.779679,2,110111.0,0.11511536726289243
134,,,镇江市,2017,125961.5643,75315.0,4177.777569,32.7937794,,4429.07246,2,100111.0,0.1991065389263511
135,0.153271886,,舟山市,2018,112490.0,98394.0,6902.795455,32.71948212,,5539.280303000001,2,100111.0,0.22365150407332873
136,0.104751235,,佛山市,2004,47500.0,19559.54,,32.68598525,,3519.5783130000004,2,100011.0,0.0863008073315974
137,,,镇江市,2020,131580.0,93129.0,3242.729858,32.59676578,,4614.654028,2,100111.0,0.2230500850055353
138,0.09197669,,佛山市,2003,40444.0,17641.59,,32.56849315,,5861.449275,2,100011.0,0.09820266976775997
139,,,常州市,2017,140434.9856,84744.0,3372.985304,32.31096863,,5642.855917,2,100111.0,0.2302448297874563
140,0.17138465100000005,,广州市,2014,128478.0,74246.13,1507.885509,32.29426063,14.99,7962.558683,2,110111.0,0.2481387005845136
141,0.168375169,,广州市,2015,136188.0,81171.0,2076.678895,32.09182984,13.15,9307.434033,2,110111.0,0.26809353346104225
142,,,南京市,2018,152886.0,111071.0,3427.9907810000004,32.00090978,,9758.426719,2,100111.0,0.3050070126459002
143,0.17363738899999998,,嘉兴市,2014,73458.0,60309.6,1907.715224,31.9329852,14.32,2105.065075,2,110111.0,0.157550817100948
144,0.138149367,,舟山市,2017,104882.0,93018.0,6361.695082,31.87114673,,5502.006557,2,100111.0,0.21291603672044096
145,0.082303326,,中山市,2002,30693.0,18799.21,,31.46604086,,2215.194213,2,100011.0,0.061686320795933
146,0.082690269,,汕头市,2014,31201.0,45938.13,1215.387791,31.30102041,4.64,4535.029070000001,2,110111.0,0.1051677038806716
147,0.167437656,,广州市,2016,141933.02,89096.0,2045.291211,31.24132343,,9090.991896,2,100111.0,0.26928571121911177
148,,,南京市,2017,141103.0,101502.0,3015.021368,31.10295679,,9599.828034,2,100111.0,0.2860216244295952
149,,,石河子市,2019,79537.0,,,31.00434783,,,2,1.0,0.15337028393809055
150,0.372074377,0.04194053,郑州市,2019,113139.0,88030.0,3013.788879,30.53895241,,5666.703361999998,2,100111.0,0.21582728595127476
151,0.07392699900000001,,佛山市,2005,41266.0,22116.88,,30.53055848,5.05,2254.02521,2,110011.0,0.07912302449738409
152,0.330479247,,宁波市,2019,143157.0,110878.0,2242.793,30.09615756,,4235.06125,2,100111.0,0.2454484616833657
153,0.156547262,,无锡市,2012,117357.0,56884.08,713.1336856,30.08306641,24.62,4898.9183619999985,2,110111.0,0.2229744547734225
154,0.110983254,,厦门市,2010,59323.0,40282.94,,29.93760635,16.61,6623.441747999998,2,110011.0,0.16655915235613944
155,0.317785495,,宁波市,2020,132614.0,111286.0,1786.011129,29.75740044,,4042.588065,2,100111.0,0.23714618942650392
156,0.09367114,,苏州市,2008,74675.57014,36088.71,,29.62562319,23.49,3544.30318,2,110011.0,0.16415812368975644
157,0.105432396,,厦门市,2008,62651.0,32343.5,,29.5150312,15.55,7911.696795000002,2,110011.0,0.16928464347240857
158,,,石河子市,2018,83653.0,,,29.5,,,2,1.0,0.1614794222310136
159,0.166955327,,广州市,2013,119695.0,73749.66,940.4607143,29.23065496,14.91,7958.9402599999985,2,110111.0,0.2368620967890438
160,0.146204138,,广州市,2011,97588.0,57473.59,558.77,29.06617151,14.97,7791.3,2,110111.0,0.20513238506297599
161,0.090904908,,厦门市,2007,56188.0,28959.18,,28.86159955,14.68,7276.143884999998,2,110011.0,0.15424355769884102
162,0.08174472299999999,,无锡市,2008,73053.20925,38846.0,,28.84774717,21.98,3437.798082,2,110011.0,0.16193609210258253
163,,,石河子市,2016,78200.0,,,28.64130435,,,2,1.0,0.15073619309804243
164,,,泰州市,2019,110731.0,79895.0,2201.669006,28.61357747,,3086.653606,2,100111.0,0.1812908465834358
165,0.288405242,,宁波市,2017,123955.0,91705.0,2380.842988,28.56236725,,4345.983232,2,100111.0,0.2141929865296955
166,0.331408977,,宁波市,2018,132603.0,102325.0,2813.166449,28.41098668,,4263.124486,2,100111.0,0.2298386162688466
167,0.323324758,0.024870747,郑州市,2020,96134.0,89464.0,2042.8475,28.26445183,,5135.157833,2,100111.0,0.20116190724190983
168,,,石河子市,2020,,,,27.83695652,,,2,0.0,
169,,,南通市,2019,128294.0,86797.0,1695.997441,27.79243561,,3296.253092000001,2,100111.0,0.20213718334724665
170,,,廊坊市,2019,65511.59,91534.0,2415.739881,27.76208294,,1453.538403,2,100111.0,0.14737539570905217
171,,,石河子市,2017,80625.0,,,27.66956522,,,2,1.0,0.15551380737412077
172,0.345554326,0.048813431,郑州市,2018,101352.0,80963.0,6231.642772,27.64025525,,5458.959208,2,100111.0,0.1979023315902939
173,,,常州市,2016,122721.447,81058.0,2743.68573,27.62834898,,5551.178105,2,100111.0,0.21403250390229106
174,0.3101413,0.046210038,郑州市,2017,93791.95,70486.0,4786.55327,27.57684127,,5113.141126,2,100111.0,0.1792748207959302
175,0.084072295,,苏州市,2007,67386.55595,31403.71,,27.49437681,22.7,2695.462238,2,110011.0,0.14568667872242294
176,0.07524115,,佛山市,2002,34850.0,15871.52,,27.47391992,,3396.398305,2,100011.0,0.07122150815065889
177,,,石河子市,2015,83701.0,,,27.46304348,,,2,1.0,0.1615739894414267
178,,,镇江市,2016,120602.7242,68874.0,3400.807889,27.44302143,,4376.965709,2,100111.0,0.18869920978151639
179,,,镇江市,2014,102652.0,58640.3,2242.551385,27.12624151,20.77,4232.420923,2,110111.0,0.2108288791326063
180,,,镇江市,2015,110351.0,63367.0,2806.068286,27.12023001,21.16,4350.982286,2,110111.0,0.22581340185033244
181,,,常州市,2015,112221.0,70850.0,2725.671347,27.00435081,15.22,5323.57685,2,110111.0,0.22464270796538924
182,,,泰州市,2017,102058.0,65509.0,3035.902532,26.97685265,,2626.809283,2,100111.0,0.15620246117348505
183,,,南京市,2014,107545.0,77286.26,1816.803288,26.94571645,20.8,8949.890023,2,110111.0,0.2578906377876843
184,0.150037414,,舟山市,2016,107463.0,80311.0,3466.548387,26.84525277,,5459.81371,2,100111.0,0.20207052145696328
185,,,常州市,2014,104423.0,67397.08,2301.568163,26.82825738,16.82,4347.406531000001,2,110111.0,0.21018694138103994
186,0.106303175,,舟山市,2015,95113.0,74717.0,2443.269725,26.77250308,16.81,5410.097248,2,110111.0,0.21701529180334939
187,,,南京市,2016,127263.8269,90191.0,2096.823053,26.73495072,,9381.162097,2,100111.0,0.263458455865775
188,,,石河子市,2014,81370.0,,,26.66521739,,,2,1.0,0.1569815692857407
189,,,南京市,2015,118171.0,81075.0,2066.776749,26.66474602,21.81,9178.920267,2,110111.0,0.27430443676841143
190,,,廊坊市,2020,60989.0,92653.0,2217.781818,26.54633235,,1349.1506060000004,2,100111.0,0.14456693523166178
191,0.072426585,,苏州市,2006,61500.0,28010.06,,26.45124638,21.65,2743.257261,2,110011.0,0.1359853190080188
192,,,石河子市,2012,64346.0,,,26.42826087,,,2,1.0,0.12344173199256236
193,,,泰州市,2018,109988.0,70851.0,3120.990215,26.27586803,,2776.605088,2,100111.0,0.1683288719618008
194,0.197070904,,珠海市,2013,104786.0,56240.09,1641.226506,26.26202661,42.67,7827.387951999999,2,110111.0,0.2837310671321133
195,,,泰州市,2020,117542.0,85944.0,2280.004896,26.20027577,,3386.80339,2,100111.0,0.19484754049014075
196,0.154588068,,珠海市,2011,89794.0,41055.6,2244.85,26.18986694,31.98,7953.182856999999,2,110111.0,0.24186999105599039
197,0.12369062,,厦门市,2009,68938.0,36454.99,,26.1020987,16.82,8399.342529000001,2,110011.0,0.18451655056561855
198,,,南通市,2017,105903.0,75315.0,2329.043984,26.09977692,,3096.258473,2,100111.0,0.1734755524239281
199,0.095751714,,舟山市,2014,88746.0,68967.25,2262.152941,25.99013564,15.26,5307.358824,2,110111.0,0.20248674682152742
200,0.158987476,,广州市,2012,105909.0,67514.99,622.9941176,25.91033086,14.96,7865.300735,2,110111.0,0.21935882727015277
201,,,厦门市,2006,50130.0,25543.42,,25.8332388,10.22,5441.461538000001,2,110011.0,0.12365037282355178
202,,,廊坊市,2017,61586.0,77665.0,3720.820833,25.65076395,,1475.497917,2,100111.0,0.13047483342716276
203,,,南通市,2018,115320.0,79218.0,2325.551601,25.58355303,,3187.373665,2,100111.0,0.1845794724808007
