,stock,register,city,year,PGDP,wage_average,P_baidu_index,DMSP_mean,P_road_area,Built_area,scale,stock_model_chose,pr_stock
1681,0.025779922,,江门市,2002,17344.0,11169.12,,6.53509224,,1942.20784,2,101011.0,0.02057756052503658
1682,0.097966034,,渭南市,2017,30697.0,55706.0,2009.258182,6.532296559,,1432.526667,2,101111.0,0.12007726562841313
1683,0.049274536,,成都市,2005,19627.0,19961.7,,6.528985002000001,11.04,3279.448101,2,111011.0,0.03401553553526542
1684,0.094751389,,铜陵市,2013,92599.0,49065.66,1088.439612,6.5229480739999985,11.08,9387.791654,2,111111.0,0.12958538489780072
1685,0.15560494,,银川市,2008,31436.0,33248.58,,6.507553747999999,14.52,6787.205479000001,2,111011.0,0.09502832018127863
1686,0.063978805,,嘉峪关市,2008,69414.4027,36646.03,,6.50732899,16.51,20231.21387,2,111011.0,0.1328379787392509
1687,,,石嘴山市,2020,72083.0,91602.0,2260.905904,6.504298698,,13698.42989,2,101111.0,0.21196396797258588
1688,0.044107376,,沈阳市,2004,27487.0,17331.27,,6.502408702,,4209.851053,2,101011.0,0.04540500432867452
1689,0.127365581,,内江市,2019,38743.0,61517.0,1354.65035,6.4870985710000015,,2438.370629,2,101111.0,0.1391691431371004
1690,0.05503937,,温州市,2007,28387.0,25994.64,,6.4865392439999985,11.18,2155.309259,2,111011.0,0.03393508199301968
1691,0.006691214,,揭阳市,2003,8302.0,10143.22,,6.482621836,,459.4796033,2,101011.0,0.011166015886356061
1692,0.02371216,,日照市,2004,13875.0,11817.76,,6.480662982999999,,1967.932849,2,101011.0,0.01610657471926202
1693,0.079530327,,台州市,2009,35489.0,36821.04,,6.4802891570000005,14.81,2018.001961,2,111011.0,0.08528485922212384
1694,0.15819775,,肇庆市,2020,56318.0,90002.0,2023.547186,6.477516779,,3169.411255,2,101111.0,0.16929874357400582
1695,0.012073218,,安阳市,2003,6869.0,10564.82,,6.477476255,,1310.0568119999996,2,101011.0,0.010347232059702585
1696,0.008091744,,揭阳市,2004,9067.0,10936.22,,6.476388364,,452.9054817,2,101011.0,0.011166015886356061
1697,0.07858596400000001,,菏泽市,2015,28350.0,45060.0,1122.1875,6.47553542,9.68,1181.25,2,111111.0,0.09367241026345675
1698,0.017933971,,三亚市,2002,7313.0,11049.83,,6.4734495339999985,,6114.548495,2,101011.0,0.01865916907237036
1699,0.15056794199999998,,贵阳市,2013,46479.0,50819.95,1378.802871,6.470829705,7.15,,2,11111.0,0.11344072684971228
1700,0.018641261,,绍兴市,2002,21414.0,16861.63,,6.46757638,,922.8689658,2,101011.0,0.029416156999443572
1701,0.075820779,,嘉峪关市,2009,76087.0,39384.72,,6.464983713,15.05,20917.38832,2,111011.0,0.1307212521431775
1702,0.241151503,,南宁市,2019,61738.0,90986.0,2422.97694,6.462377762000001,,4380.523282,2,101111.0,0.1511294695038407
1703,,,秦皇岛市,2016,73755.0,61988.0,4589.2,6.460071211,,7156.9666670000015,2,101111.0,0.156783919957076
1704,0.094130909,0.015250148,驻马店市,2018,33773.0,55723.0,1710.025316,6.45957052,,1282.518987,2,101111.0,0.12640099303903615
1705,0.030121568,,西安市,2002,11831.0,12138.68,,6.459151299,,2686.5780210000007,2,101011.0,0.01580037718474317
1706,0.041684276,,邢台市,2008,14315.0,22545.56,,6.452051488,18.69,1013.191151,2,111011.0,0.04734821535042055
1707,0.197832816,,长沙市,2012,89903.0,50905.25,786.65125,6.446380244,9.96,4438.960625,2,111111.0,0.12792852174604932
1708,0.046752548,,成都市,2004,18856.0,17555.98,,6.445064527,,3323.477626000001,2,101011.0,0.02903295486526273
1709,0.012486016,,汕尾市,2011,18682.0,30375.24,203.5984831,6.444777237,4.71,508.9962078,2,111111.0,0.06622331624892874
1710,0.058114879,,蚌埠市,2014,35542.0,45369.46,772.6521739,6.440362355,15.91,3925.073043,2,111111.0,0.1334675450122756
1711,,,泉州市,2002,16650.0,12149.95,,6.439550798,,668.7295082,2,101011.0,0.01924748393907054
1712,,,莆田市,2006,15051.0,15492.12,,6.4381303810000015,2.91,1669.646111,2,111011.0,0.026376227409239277
1713,0.032653985,,邢台市,2006,11598.0,15166.35,,6.436765889,14.33,747.8515474,2,111011.0,0.029447788625653927
1714,,,宁德市,2019,84251.0,82982.0,2269.6187760000007,6.434863064,,1444.302857,2,101111.0,0.1508996899044435
1715,,,阳泉市,2017,47789.95,56255.0,5120.182332,6.433465086,,4124.591323,2,101111.0,0.1302254713294045
1716,0.048395931,0.008946773,商丘市,2011,17779.0,26193.43,407.1526718,6.4299990660000015,4.04,827.8770992000002,2,111111.0,0.07585602443427455
1717,,,黄石市,2015,50053.0,41655.0,1668.433333,6.424846626,19.26,3581.027642,2,111111.0,0.13698399038550277
