,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
5677,7.9192,95.0443,,2020,0.02048066446274666,0.015351820706379317,105696.0,89.0,93.0,,2,安阳市,11111.0,11111.0,47.28255616128964
5678,,9.0858,,2006,0.008962370294469077,0.013533069973012086,55113.0,90.0,,268.79,2,镇江市,1111.0,101111.0,27.104005756133006
5679,,119.6802,,2020,0.020660637809125994,0.02429890092697618,124446.0,174.0,108.0,,2,聊城市,11111.0,11111.0,55.99042114330405
5681,,263.8992,,2017,0.11316693784810533,0.0810615246215825,244026.0,591.0,450.0,754.0,2,杭州市,11111.0,111111.0,257.7185334934046
5682,,57.8539,,2008,0.03541845221223165,0.019624907106817382,149911.0,242.0,,568.09,2,宁波市,1111.0,101111.0,75.25308297489173
5683,,55.9662,,2011,0.036498292290507675,0.02943247154535143,142849.0,141.0,42.0,764.9,2,南通市,11111.0,111111.0,86.21341543923336
5684,,97.0114,,2015,0.04000777254490475,0.025208276293659796,119975.0,199.0,117.0,443.11,2,绍兴市,11111.0,111111.0,87.86508299784737
5685,,16.5901,,2005,0.011481997143779798,0.038653342198928305,63433.0,104.0,,351.63,2,常州市,1111.0,101111.0,54.78217725661139
5686,2.6983,25.4737,,2018,0.007539692689607931,0.008810185004106857,31043.0,64.0,109.0,171.0,2,鹤壁市,11111.0,111111.0,20.37875614175136
5687,,169.7353,,2017,0.06277440086189091,0.0910450971956037,166890.0,461.0,207.0,743.0,2,合肥市,11111.0,111111.0,186.31971593564373
5688,4.602,40.7182,,2020,0.013911637319900852,0.011362302968670551,39248.0,,77.0,,2,漯河市,10111.0,10111.0,32.99636087505982
5689,,373.4616,,2020,0.08977040281879149,0.1183752493448586,147552.0,701.0,184.0,,2,西安市,11111.0,11111.0,255.31996347238737
5690,,85.0681,,2014,0.03820803908111138,0.025491844956389096,121011.0,192.0,77.0,443.0,2,绍兴市,11111.0,111111.0,85.24644305719285
5691,,152.4634,,2013,0.07186305485404744,0.07683732936989088,164125.0,470.0,70.0,773.7,2,青岛市,11111.0,111111.0,187.5217073256705
5693,,78.8863,,2013,0.0467567730341299,0.021854343489654635,166711.0,205.0,55.0,703.5,2,泉州市,11111.0,111111.0,95.52954565641411
5694,,271.3651,,2017,0.06700377450180534,0.10783431767512809,147539.0,661.0,287.0,906.0,2,西安市,11111.0,111111.0,208.8994688795647
5695,,88.7231,,2016,0.03946785250576674,0.04077521805452341,87498.0,271.0,103.0,432.0,2,淄博市,11111.0,111111.0,101.64812960832951
5701,,47.148,,2014,0.01742111757429793,0.02160010951617319,85551.0,99.0,58.0,263.8,2,湖州市,11111.0,111111.0,48.256956923897725
5704,,30.2721,,2016,0.00887238362127941,0.009514217546055461,56592.0,75.0,47.0,130.0,2,盘锦市,11111.0,111111.0,23.17794018520383
5705,,60.7493,,2011,0.014271584012659525,0.008507059881878984,94886.0,61.0,38.0,424.9,2,廊坊市,11111.0,111111.0,30.886636980903994
5706,,79.1722,,2015,0.036948225656456016,0.03835999530644972,88513.0,267.0,104.0,429.6,2,淄博市,11111.0,111111.0,95.33569979432839
5707,,31.1519,,2005,0.021470517867833012,0.07261313411819924,97709.0,513.0,,595.8,2,南京市,1111.0,101111.0,102.75319869536375
5709,,257.9958,,2019,0.058005107182838474,0.07970235068643172,191805.0,563.0,178.0,756.0,2,沈阳市,11111.0,111111.0,167.99952009079067
5710,,21.9783,,2014,0.011481997143779798,0.009201314194078304,57081.0,73.0,29.0,129.2,2,盘锦市,11111.0,111111.0,27.06744256252459
5713,,234.1024,,2020,0.08977040281879149,0.08714358352563852,171542.0,503.0,177.0,,2,合肥市,11111.0,11111.0,225.93056685455429
5715,10.7983,116.2111,,2020,0.02686971825921313,0.012261900105604882,124208.0,131.0,137.0,,2,新乡市,11111.0,11111.0,54.61836134152449
5716,,11.3581,,2007,0.01067211708507278,0.013992646771228537,57497.0,94.0,,268.78,2,镇江市,1111.0,101111.0,30.277680987750873
5717,,89.085,,2017,0.02686971825921313,0.0232232956545547,129787.0,101.0,129.0,640.0,2,聊城市,11111.0,111111.0,64.9331746191046
5718,,78.847,,2018,0.025879864854126775,0.026489224390816288,145930.0,158.0,150.0,399.0,2,江门市,11111.0,111111.0,66.41944037068694
5720,,71.9549,,2014,0.03604835892455933,0.037773301521492546,89980.0,262.0,91.0,428.0,2,淄博市,11111.0,111111.0,93.34087260796213
5723,,274.584,,2019,0.13836320634121255,0.091328665858333,254518.0,648.0,352.0,795.0,2,杭州市,11111.0,111111.0,307.7767880525382
5724,6.2095,76.3534,,2020,0.03082913187955855,0.01957601595807095,75240.0,130.0,96.0,,2,许昌市,11111.0,11111.0,67.84909750600417
