,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
646,,61.593,,2011,0.002494037339055776,196.0,0.0060465287226489734,24.0,0.0,256.1,2,普洱市（2007年前为思茅市、思茅地区）,11111.0,111111.0,8.00955951155689
649,,3.7458,,2007,0.002657084192208136,143.0,0.004592028523778731,17.0,,396.99,2,河池市,1111.0,101111.0,7.470617421556239
650,,4.5834,,2002,0.001081714500678564,,0.004979943763207222,29.0,,366.87,2,百色市,1101.0,101101.0,4.828080068193387
654,,3.3492,,2002,0.002225366828513577,,0.0030549234849926656,32.0,,568.13,2,永州市,1101.0,101101.0,5.802436644753609
655,,16.2342,,2012,0.011841943836538473,479.0,0.03497168691819537,28.0,5.0,266.4,2,呼伦贝尔市,11111.0,111111.0,41.62733811012265
659,,5.7898,,2005,0.0007792719916882837,201.0,0.0012801930697086596,19.0,,160.12,2,张家界市,1111.0,101111.0,2.1527549416810876
660,,8.5444,,2005,0.0027471554528706033,325.0,0.008182973723291253,40.0,,309.34,2,通辽市,1111.0,101111.0,9.697170023448024
661,,3.5661,,2007,0.0006845241236201498,109.0,0.0026928450016611943,22.0,,296.12,2,定西市,1111.0,101111.0,2.7918841578257343
662,,3.2812,,2006,0.001123713980656378,192.0,0.0020476538951821,19.0,,152.61,2,雅安市,1111.0,101111.0,3.220092320400044
663,,6.37,,2011,0.0020949257465247614,334.0,0.005343477838431483,36.0,11.0,130.9,2,张掖市,11111.0,111111.0,6.8797848174991145
664,,20.8482,,2007,0.0018236690189950922,116.0,0.003100410731642348,22.0,,545.97,2,昭通市,1111.0,101111.0,5.097936509639679
666,,10.554,,2006,0.003635239329779834,382.0,0.012184031938597312,72.0,,450.21,2,赤峰市,1111.0,101111.0,13.610768858266486
667,,24.533,,2008,0.002233887666597907,191.0,0.0031109637728650745,22.0,,549.52,2,昭通市,1111.0,101111.0,5.850125697711763
668,,9.118,,2008,0.003695327930802235,377.0,0.007634579477682683,35.0,,287.11,2,乌兰察布市（2003年前为乌兰察布盟）,1111.0,101111.0,11.106745033720367
669,,8.21,,2007,0.002879277485914602,340.0,0.00766369131553848,35.0,,284.26,2,乌兰察布市（2003年前为乌兰察布盟）,1111.0,101111.0,9.639192086498067
670,,5.6311,,2009,0.0032281612170713386,156.0,0.0046968311400596,18.0,,409.55,2,河池市,1111.0,101111.0,8.56952353959374
671,,3.2288,,2003,0.0020299211735460084,41.0,0.003866779863196196,31.0,,492.92,2,怀化市,1111.0,101111.0,5.913299849564508
