,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
1898,,83.4543,,2018,0.006426049117548209,635.0,0.008698253253338855,37.0,57.0,264.0,2,保山市,11111.0,111111.0,17.740188327913227
1901,,2.1056,,2006,0.002290191428145951,337.0,0.014911811145685462,59.0,,248.19,2,佳木斯市,1111.0,101111.0,14.869796592401233
1902,,5.58,,2006,0.0033586436929298217,190.0,0.015986765758510754,28.0,,568.9,2,绥化市,1111.0,101111.0,17.55076034147552
1903,,5.4109,,2006,0.001470879866221924,342.0,0.004406440557448027,31.0,,147.56,2,黄山市,1111.0,101111.0,5.80850562372069
1905,,12.1714,,2009,0.00671864258515788,885.0,0.006174620809214479,72.0,,615.88,2,安庆市,1111.0,101111.0,16.435183171817112
1906,,15.1828,,2009,0.0029270289140427,166.0,0.011563949792268841,21.0,,306.91,2,忻州市,1111.0,101111.0,13.581516728702304
1907,,9.9541,,2008,0.0053179100302874985,338.0,0.008555969145818649,32.0,,543.97,2,宜春市,1111.0,101111.0,15.663439675143273
1908,,122.3996,,2020,0.014811504051797538,685.0,0.012657463201727205,65.0,67.0,,2,怀化市,11111.0,11111.0,35.54112593659607
1910,,4.5904,,2002,0.0018562171986877952,,0.00853559085931959,94.0,,187.95,2,柳州市,1101.0,101101.0,9.48281708196875
1911,,7.5351,,2006,0.0015335645827658471,166.0,0.011582508588901912,20.0,,299.83,2,忻州市,1111.0,101111.0,11.1129442833837
1912,,9.8606,,2010,0.006353386678681016,645.0,0.005653155013622521,50.0,,300.4,2,荆门市,1111.0,101111.0,15.407252963950057
1913,,17.5551,,2009,0.005446454193205476,872.0,0.017885221484681895,65.0,,270.57,2,牡丹江市,1111.0,101111.0,22.643284663372484
1914,,20.1968,,2017,0.005195888101442308,425.0,0.005629137747391488,,63.0,376.0,2,巴中市,10111.0,110111.0,13.328167394083467
1915,,14.5367,,2011,0.008045042548506668,739.0,0.005846384837390371,56.0,20.0,354.4,2,乐山市,11111.0,111111.0,18.560212005452335
1916,,1.9969,,2003,0.0010152134493246672,175.0,0.007192443440247771,12.0,,334.13,2,河源市,1111.0,101111.0,7.012907483070174
1917,,56.5752,,2008,0.0068707902524535085,397.0,0.013333221737954886,37.0,,608.09,2,曲靖市,1111.0,101111.0,21.88633124737133
1918,,4.2163,,2005,0.0019572974289482864,335.0,0.0150351725585994,58.0,,245.03,2,佳木斯市,1111.0,101111.0,14.36612201729887
1919,,57.8522,,2013,0.010402157065503775,684.0,0.010285940110399367,60.0,8.0,622.6,2,永州市,11111.0,111111.0,25.97121816537429
