,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
67,,,海西蒙古族藏族自治州,2003,,,9427.0,,,,2,100.0,100.0,6.498889116706875
68,,,海北藏族自治州,2003,,,1108.0,,,,2,100.0,100.0,0.6798966980345584
69,,,克孜勒苏柯尔克孜自治州,2004,,,2255.0,,,,2,100.0,100.0,1.4822027810033223
70,,,海西蒙古族藏族自治州,2004,,,9757.0,,,,2,100.0,100.0,6.7297182425828055
71,2.8943,,阿拉善盟,2003,,,7846.0,,,,2,100.0,100.0,5.393007759101281
72,,,克孜勒苏柯尔克孜自治州,2005,,,2296.0,,,,2,100.0,100.0,1.5108815511879077
73,1.2589,,和田地区,2003,,,8339.0,,,,2,100.0,100.0,5.737852483515929
74,,,玉树藏族自治州,2020,,,6913.0,,,,2,100.0,100.0,4.74039086685206
75,,,海北藏族自治州,2004,,,1166.0,,,,2,100.0,100.0,0.7204666656127522
76,0.8867,,阿拉善盟,2004,,,8433.0,,,,2,100.0,100.0,5.803603810280588
77,2.9001,,甘孜藏族自治州,2008,,,5298.0,,,,2,100.0,100.0,3.61072711445925
78,,,果洛藏族自治州,2019,,,2657.0,,,,2,100.0,100.0,1.763394625252183
79,,,海南藏族自治州,2003,,,1575.0,,,,2,100.0,100.0,1.006554885258981
80,,,海南藏族自治州,2004,,,1582.0,,,,2,100.0,100.0,1.0114512606563493
81,,,克孜勒苏柯尔克孜自治州,2006,,,2542.0,,,,2,100.0,100.0,1.6829541722954193
82,1.7904,,海西蒙古族藏族自治州,2005,,,11292.0,,,,2,100.0,100.0,7.803423419005693
83,4.2562,,阿拉善盟,2005,,,9212.0,,,,2,100.0,100.0,6.3485004437877075
84,,,克孜勒苏柯尔克孜自治州,2007,,,2704.0,,,,2,100.0,100.0,1.7962702886345123
85,,,和田地区,2004,,,9599.0,,,,2,100.0,100.0,6.619200055042208
86,0.3347,,海北藏族自治州,2005,,,1343.0,,,,2,100.0,100.0,0.8442750149462058
87,3.0472,,甘孜藏族自治州,2009,,,5938.0,,,,2,100.0,100.0,4.05839572221863
88,,,克孜勒苏柯尔克孜自治州,2009,,,2846.0,,,,2,100.0,100.0,1.8955967609811248
89,0.6078,,甘南藏族自治州,2002,,,1512.0,,,,2,100.0,100.0,0.962487506682667
90,0.8095,,海南藏族自治州,2005,,,1805.0,,,,2,100.0,100.0,1.1674357911725084
91,,,大兴安岭地区,2016,,,2744.0,,,,2,100.0,100.0,1.8242495766194735
92,1.9624,,海西蒙古族藏族自治州,2006,,,12587.0,,,,2,100.0,100.0,8.709252867518813
93,,,神农架林区,2016,,,136.0,,,,2,100.0,100.0,0.0
94,0.5474,,阿坝藏族羌族自治州,2002,,,3504.0,,,,2,100.0,100.0,2.355856048333737
95,0.5969,,阿勒泰地区,2002,,,4972.0,,,,2,100.0,100.0,3.3826959173818154
96,,,大兴安岭地区,2015,,,2840.0,,,,2,100.0,100.0,1.8913998677833805
97,5.1567,,巴音郭楞蒙古自治州,2002,,,20340.0,,,,2,100.0,100.0,14.13233836120393
98,,,克孜勒苏柯尔克孜自治州,2008,,,3030.0,,,,2,100.0,100.0,2.0243014857119466
99,3.1195,,锡林郭勒盟,2002,,,8840.0,,,,2,100.0,100.0,6.088293065527568
100,,,海北藏族自治州,2016,,,1529.0,,,,2,100.0,100.0,0.9743787040762757
101,0.6385,,海北藏族自治州,2007,,,1534.0,,,,2,100.0,100.0,0.9778761150743959
102,4.9532,,海西蒙古族藏族自治州,2007,,,13452.0,,,,2,100.0,100.0,9.314304970193602
103,,,海西蒙古族藏族自治州,2008,,,13478.0,,,,2,100.0,100.0,9.332491507383827
104,1.9158,,阿拉善盟,2006,,,10891.0,,,,2,100.0,100.0,7.522931056956456
105,5.1868,,巴音郭楞蒙古自治州,2003,,,21829.0,,,,2,100.0,100.0,15.17386735644411
106,,,巴音郭楞蒙古自治州,2004,,,22165.0,,,,2,100.0,100.0,15.408893375517785
107,4.2945,,海西蒙古族藏族自治州,2009,,,14551.0,,,,2,100.0,100.0,10.083035907580411
108,,,神农架林区,2015,,,157.0,,,,2,100.0,100.0,0.014689126192104657
109,,,和田地区,2005,,,12012.0,,,,2,100.0,100.0,8.307050602734995
110,,,和田地区,2006,,,12028.0,,,,2,100.0,100.0,8.318242317928979
111,0.2277,,黄南藏族自治州,2002,,,886.0,,,,2,100.0,100.0,0.5246116497180235
112,1.5183,,阿拉善盟,2007,,,11870.0,,,,2,100.0,100.0,8.207724130388383
113,0.1611,,海北藏族自治州,2006,,,1709.0,,,,2,100.0,100.0,1.1002855000086011
114,,,巴音郭楞蒙古自治州,2005,,,23544.0,,,,2,100.0,100.0,16.373479328799327
115,,,海北藏族自治州,2008,,,1744.0,,,,2,100.0,100.0,1.1247673769954423
116,,,阿勒泰地区,2004,,,5945.0,,,,2,100.0,100.0,4.0632920976159985
117,4.9566,,甘孜藏族自治州,2010,,,7656.0,,,,2,100.0,100.0,5.260106141172716
118,1.8786,,阿拉善盟,2008,,,12333.0,,,,2,100.0,100.0,8.53158438881431
119,,,神农架林区,2014,,,169.0,,,,2,100.0,100.0,0.023082912587593034
120,0.782,,阿勒泰地区,2003,,,6226.0,,,,2,100.0,100.0,4.259846595710351
121,,,海北藏族自治州,2014,,,1838.0,,,,2,100.0,100.0,1.1905187037601013
122,,,克孜勒苏柯尔克孜自治州,2010,,,3760.0,,,,2,100.0,100.0,2.5349234914374894
123,0.93,,海南藏族自治州,2006,,,2360.0,,,,2,100.0,100.0,1.5556484119638456
124,3.7103,,阿拉善盟,2009,,,13104.0,,,,2,100.0,100.0,9.070885164724439
125,0.7176,,阿坝藏族羌族自治州,2003,,,4553.0,,,,2,100.0,100.0,3.089612875739346
