,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register
67,,,海西蒙古族藏族自治州,2003,,,9427.0,,,,2,100.0,100.0,0.8350008761989105
68,,,海北藏族自治州,2003,,,1108.0,,,,2,100.0,100.0,0.08735559699336357
69,,,克孜勒苏柯尔克孜自治州,2004,,,2255.0,,,,2,100.0,100.0,0.19043879632606728
70,,,海西蒙古族藏族自治州,2004,,,9757.0,,,,2,100.0,100.0,0.8646586406102376
71,2.8943,,阿拉善盟,2003,,,7846.0,,,,2,100.0,100.0,0.6929132230646431
72,,,克孜勒苏柯尔克孜自治州,2005,,,2296.0,,,,2,100.0,100.0,0.19412354887414127
73,1.2589,,和田地区,2003,,,8339.0,,,,2,100.0,100.0,0.7372201256548986
74,,,玉树藏族自治州,2020,,,6913.0,,,,2,100.0,100.0,0.6090626345926181
75,,,海北藏族自治州,2004,,,1166.0,,,,2,100.0,100.0,0.09256817376868773
76,0.8867,,阿拉善盟,2004,,,8433.0,,,,2,100.0,100.0,0.7456680949114584
77,2.9001,,甘孜藏族自治州,2008,,,5298.0,,,,2,100.0,100.0,0.4639193330038506
78,,,果洛藏族自治州,2019,,,2657.0,,,,2,100.0,100.0,0.2265673456998658
79,,,海南藏族自治州,2003,,,1575.0,,,,2,100.0,100.0,0.12932582723605984
80,,,海南藏族自治州,2004,,,1582.0,,,,2,100.0,100.0,0.12995493132963346
81,,,克孜勒苏柯尔克孜自治州,2006,,,2542.0,,,,2,100.0,100.0,0.2162320641625851
82,1.7904,,海西蒙古族藏族自治州,2005,,,11292.0,,,,2,100.0,100.0,1.0026121811295925
83,4.2562,,阿拉善盟,2005,,,9212.0,,,,2,100.0,100.0,0.8156783933248639
84,,,克孜勒苏柯尔克孜自治州,2007,,,2704.0,,,,2,100.0,100.0,0.23079133032814572
85,,,和田地区,2004,,,9599.0,,,,2,100.0,100.0,0.8504588624981476
86,0.3347,,海北藏族自治州,2005,,,1343.0,,,,2,100.0,100.0,0.10847552013476319
87,3.0472,,甘孜藏族自治州,2009,,,5938.0,,,,2,100.0,100.0,0.5214374215591516
88,,,克孜勒苏柯尔克孜自治州,2009,,,2846.0,,,,2,100.0,100.0,0.24355315622635315
89,0.6078,,甘南藏族自治州,2002,,,1512.0,,,,2,100.0,100.0,0.1236638903938974
90,0.8095,,海南藏族自治州,2005,,,1805.0,,,,2,100.0,100.0,0.1499963903106212
91,,,大兴安岭地区,2016,,,2744.0,,,,2,100.0,100.0,0.23438621086285205
92,1.9624,,海西蒙古族藏族自治州,2006,,,12587.0,,,,2,100.0,100.0,1.1189964384407096
93,,,神农架林区,2016,,,136.0,,,,2,100.0,100.0,0.0
94,0.5474,,阿坝藏族羌族自治州,2002,,,3504.0,,,,2,100.0,100.0,0.3026889410222721
95,0.5969,,阿勒泰地区,2002,,,4972.0,,,,2,100.0,100.0,0.43462105664599404
96,,,大兴安岭地区,2015,,,2840.0,,,,2,100.0,100.0,0.2430139241461472
97,5.1567,,巴音郭楞蒙古自治州,2002,,,20340.0,,,,2,100.0,100.0,1.815774158080162
98,,,克孜勒苏柯尔克孜自治州,2008,,,3030.0,,,,2,100.0,100.0,0.26008960668600223
99,3.1195,,锡林郭勒盟,2002,,,8840.0,,,,2,100.0,100.0,0.7822460043520951
100,,,海北藏族自治州,2016,,,1529.0,,,,2,100.0,100.0,0.1251917146211476
101,0.6385,,海北藏族自治州,2007,,,1534.0,,,,2,100.0,100.0,0.12564107468798588
102,4.9532,,海西蒙古族藏族自治州,2007,,,13452.0,,,,2,100.0,100.0,1.1967357300037338
103,,,海西蒙古族藏族自治州,2008,,,13478.0,,,,2,100.0,100.0,1.1990724023512929
104,1.9158,,阿拉善盟,2006,,,10891.0,,,,2,100.0,100.0,0.9665735037691616
105,5.1868,,巴音郭楞蒙古自治州,2003,,,21829.0,,,,2,100.0,100.0,1.9495935859846047
106,,,巴音郭楞蒙古自治州,2004,,,22165.0,,,,2,100.0,100.0,1.9797905824761377
107,4.2945,,海西蒙古族藏族自治州,2009,,,14551.0,,,,2,100.0,100.0,1.2955050726947899
108,,,神农架林区,2015,,,157.0,,,,2,100.0,100.0,0.0018873122807208178
109,,,和田地区,2005,,,12012.0,,,,2,100.0,100.0,1.0673200307543063
110,,,和田地区,2006,,,12028.0,,,,2,100.0,100.0,1.0687579829681888
111,0.2277,,黄南藏族自治州,2002,,,886.0,,,,2,100.0,100.0,0.0674040100257435
112,1.5183,,阿拉善盟,2007,,,11870.0,,,,2,100.0,100.0,1.0545582048560989
113,0.1611,,海北藏族自治州,2006,,,1709.0,,,,2,100.0,100.0,0.14136867702732603
114,,,巴音郭楞蒙古自治州,2005,,,23544.0,,,,2,100.0,100.0,2.1037240889101385
115,,,海北藏族自治州,2008,,,1744.0,,,,2,100.0,100.0,0.14451419749519404
116,,,阿勒泰地区,2004,,,5945.0,,,,2,100.0,100.0,0.5220665256527253
117,4.9566,,甘孜藏族自治州,2010,,,7656.0,,,,2,100.0,100.0,0.6758375405247881
118,1.8786,,阿拉善盟,2008,,,12333.0,,,,2,100.0,100.0,1.0961689470453244
119,,,神农架林区,2014,,,169.0,,,,2,100.0,100.0,0.002965776441132714
120,0.782,,阿勒泰地区,2003,,,6226.0,,,,2,100.0,100.0,0.5473205614090372
121,,,海北藏族自治州,2014,,,1838.0,,,,2,100.0,100.0,0.15296216675175392
122,,,克孜勒苏柯尔克孜自治州,2010,,,3760.0,,,,2,100.0,100.0,0.3256961764443925
123,0.93,,海南藏族自治州,2006,,,2360.0,,,,2,100.0,100.0,0.19987535772967138
124,3.7103,,阿拉善盟,2009,,,13104.0,,,,2,100.0,100.0,1.165460269351789
125,0.7176,,阿坝藏族羌族自治州,2003,,,4553.0,,,,2,100.0,100.0,0.3969646830449453
126,8.3,,甘孜藏族自治州,2016,,,8491.0,,,,2,100.0,100.0,0.7508806716867825
127,,,和田地区,2007,,,14122.0,,,,2,100.0,100.0,1.2569499789600647
128,,,海北藏族自治州,2015,,,1971.0,,,,2,100.0,100.0,0.16491514452965242
129,3.4,,锡林郭勒盟,2003,,,11523.0,,,,2,100.0,100.0,1.0233726162175214
130,,,神农架林区,2002,,,188.0,,,,2,100.0,100.0,0.004673344695118216
131,,,黄南藏族自治州,2003,,,1049.0,,,,2,100.0,100.0,0.08205314820467174
132,,,阿勒泰地区,2005,,,6907.0,,,,2,100.0,100.0,0.6085234025124122
133,,,阿拉善盟,2015,,,14169.0,,,,2,100.0,100.0,1.2611739635883445
134,,,巴音郭楞蒙古自治州,2006,,,27964.0,,,,2,100.0,100.0,2.5009583879951864
135,,,大兴安岭地区,2018,,,3929.0,,,,2,100.0,100.0,0.3408845467035268
136,2.4347,,锡林郭勒盟,2004,,,11891.0,,,,2,100.0,100.0,1.05644551713682
137,,,海南藏族自治州,2015,,,2605.0,,110.0,,2,10100.0,10100.0,5.886136153267658
138,,,阿拉善盟,2014,,,14356.0,,,,2,100.0,100.0,1.2779800300880966
139,1.8132,,阿坝藏族羌族自治州,2004,,,5016.0,,,,2,100.0,100.0,0.43857542523417103
140,,,阿拉善盟,2016,,,14483.0,,,,2,100.0,100.0,1.2893937757857892
141,1.2547,,海南藏族自治州,2007,,,2639.0,,,,2,100.0,100.0,0.22494964945924795
142,0.2454,,黄南藏族自治州,2005,,,1100.0,,,,2,100.0,100.0,0.08663662088642231
143,6.5087,,甘孜藏族自治州,2011,,,9159.0,,,,2,100.0,100.0,0.810915176616378
144,,,和田地区,2008,,,15139.0,,,,2,100.0,100.0,1.348349816554973
145,,,克孜勒苏柯尔克孜自治州,2011,,,4274.0,,,,2,100.0,100.0,0.3718903913153688
146,,,海南藏族自治州,2016,,,2673.0,,118.0,,2,10100.0,10100.0,6.3048855538300215
147,1.4018,,甘南藏族自治州,2003,,,2255.0,,,,2,100.0,100.0,0.19043879632606728
148,0.6312,,海北藏族自治州,2009,,,2116.0,,,,2,100.0,100.0,0.17794658646796283
149,,,和田地区,2009,,,15254.0,,,,2,100.0,100.0,1.3586850980922536
150,,,黄南藏族自治州,2004,,,1119.0,,,,2,100.0,100.0,0.08834418914040781
151,,,海西蒙古族藏族自治州,2010,,,18827.0,,,,2,100.0,100.0,1.6797978018548956
152,1.8003,,酒泉市,2002,95.0705,,10574.0,22.0,,96.2,2,1101.0,101101.0,0.4369489685884551
153,2.0105,,阿坝藏族羌族自治州,2005,,,5250.0,,,,2,100.0,100.0,0.45960547636220295
154,,,巴音郭楞蒙古自治州,2009,,,29831.0,,,,2,100.0,100.0,2.668749436952604
155,,,巴音郭楞蒙古自治州,2007,,,29979.0,,,,2,100.0,100.0,2.6820504949310178
156,,,海北藏族自治州,2017,,,2205.0,,,,2,100.0,100.0,0.1859451956576844
157,8.0,,甘孜藏族自治州,2015,,,9613.0,,,,2,100.0,100.0,0.8517170706852948
158,,,海北藏族自治州,2018,,,2209.0,,,,2,100.0,100.0,0.18630468371115502
159,,,大兴安岭地区,2017,,,4248.0,,,,2,100.0,100.0,0.36955371896780964
160,5.5322,,阿坝藏族羌族自治州,2008,,,5346.0,,,,2,100.0,100.0,0.46823318964549815
161,0.3929,,神农架林区,2009,,,210.0,,,,2,100.0,100.0,0.0066505289892066916
162,1.1366,,甘南藏族自治州,2005,,,2394.0,,,,2,100.0,100.0,0.20293100618417176
163,7.4,,甘孜藏族自治州,2014,,,9811.0,,,,2,100.0,100.0,0.8695117293320911
164,0.7421,,海南藏族自治州,2009,,,2859.0,,,,2,100.0,100.0,0.2447214924001327
165,10.9005,,阿坝藏族羌族自治州,2009,,,5466.0,,,,2,100.0,100.0,0.4790178312496171
166,,,海南藏族自治州,2014,,,2879.0,,84.0,,2,10100.0,10100.0,4.566611480377327
167,,,大兴安岭地区,2014,,,4386.0,,,,2,100.0,100.0,0.38195605681254646
168,1.4218,,甘南藏族自治州,2004,,,2442.0,,,,2,100.0,100.0,0.20724486282581933
169,2.4309,,迪庆藏族自治州,2002,,,1579.0,,,,2,100.0,100.0,0.12968531528953048
170,,,巴音郭楞蒙古自治州,2008,,,32350.0,,,,2,100.0,100.0,2.8951370386257347
171,,,果洛藏族自治州,2020,,,5106.0,,,,2,100.0,100.0,0.4466639064372602
172,2.3857,,阿坝藏族羌族自治州,2006,,,5718.0,,,,2,100.0,100.0,0.501665578618267
173,,,海南藏族自治州,2008,,,3007.0,,,,2,100.0,100.0,0.25802255037854605
174,7.5511,,阿坝藏族羌族自治州,2007,,,5727.0,,,,2,100.0,100.0,0.5024744267385758
175,2.4817,,甘孜藏族自治州,2012,,,10409.0,,,,2,100.0,100.0,0.9232551933259505
176,,,海西蒙古族藏族自治州,2011,,,21023.0,,,,2,100.0,100.0,1.8771567432102725
177,0.3619,,神农架林区,2008,,,227.0,,,,2,100.0,100.0,0.008178353216456878
178,6.95,,阿拉善盟,2011,,,16884.0,,,,2,100.0,100.0,1.5051764798815361
179,,,阿勒泰地区,2006,,,8247.0,,,,2,100.0,100.0,0.728951900425074
180,3.7991,,阿拉善盟,2010,,,17098.0,,,,2,100.0,100.0,1.524409090742215
181,,,神农架林区,2005,,,234.0,,,,2,100.0,100.0,0.008807457310030483
182,0.6656,,黄南藏族自治州,2007,,,1313.0,,,,2,100.0,100.0,0.10577935973373347
183,1.3324,,甘南藏族自治州,2006,,,2677.0,,,,2,100.0,100.0,0.22836478596721896
184,0.515,,黄南藏族自治州,2009,,,1317.0,,,,2,100.0,100.0,0.10613884778720409
185,0.2651,,黄南藏族自治州,2006,,,1318.0,,,,2,100.0,100.0,0.10622871980057175
