省,省类型,市,市类型,register,stock,person_density,PGDP,autobus,taxi,GDP,passenger_volume,POP,Built_area,Construction_land_area,wage_average,road_area,P_road_area,city,year,baidu_index,scale,all_area,downtown_area,DMSP_mean,DMSP_sum,VNL_mean,VNL_sum,location_x,location_y
福建省,省,三明市,地级市,,,123.67,67978.0,357.0,404.0,1710.0,2270.0,284.12,37.0,34.0,59166.0,358.0,12.67,三明市,2015,40.0,2,22965.0,1151.0,1.538069518,35311.0,0.28528892,34112.28141,20139.7,2925.83
福建省,省,厦门市,地级市,,,1241.91,90379.0,4691.0,5667.0,3470.0,3627.0,211.15,317.0,317.0,66930.0,4133.0,19.57,厦门市,2015,134.0,2,1699.0,1699.0,39.87918321,70307.0,10.70884622,97236.32367,20222.0,2747.37
福建省,省,漳州市,地级市,,,389.75,55569.0,515.0,1002.0,2770.0,3089.0,502.08,66.0,65.0,56931.0,1123.0,18.95,漳州市,2015,70.0,2,12880.0,401.0,9.695207244,131690.0,1.251544337,87130.01366,20155.9,2707.22
甘肃省,省,白银市,地级市,,21.55,85.55,25410.0,303.0,2068.0,434.2749,1974.0,180.76,62.0,61.0,51196.0,629.0,12.72,白银市,2015,27.0,2,21158.0,3478.0,0.675256193,13574.0,0.245842026,28674.03053,18929.4,4072.41
甘肃省,省,定西市,地级市,,28.09,153.5,10987.0,108.0,504.0,304.9178,1947.0,300.87,25.0,33.0,4958.0,268.0,5.82,定西市,2015,6.0,2,19609.0,3646.0,0.705201428,13829.0,0.253854579,28367.23379,18902.7,3907.36
甘肃省,省,甘南藏族自治州,自治州,,6.82,,,,,,,,,,,,,甘南藏族自治州,2015,,2,,,0.108990265,3997.0,0.132405033,27386.2598,18740.8,3830.18
甘肃省,省,嘉峪关市,地级市,,5.01,68.14,78336.0,138.0,767.0,190.0441,69651.0,20.25,70.0,69.0,53998.0,405.0,20.0,嘉峪关市,2015,15.0,2,2935.0,2935.0,9.55781759,11737.0,1.958568654,14559.99938,18403.5,4489.57
甘肃省,省,金昌市,地级市,,5.8,51.71,47739.0,116.0,510.0,224.5163,779.0,45.69,42.0,42.0,52683.0,478.0,23.04,金昌市,2015,5.0,2,8896.0,3019.0,1.202569818,9172.0,0.356296569,16145.22271,18717.2,4293.65
甘肃省,省,酒泉市,地级市,,14.21,5.77,48920.0,331.0,800.0,544.7963,8096.0,111.54,52.0,55.0,54778.0,561.0,13.52,酒泉市,2015,15.0,2,193974.0,3386.0,0.129743042,21757.0,0.14754155300000002,150894.5821,18223.8,4566.89
甘肃省,省,兰州市,地级市,,62.51,246.06,56972.0,2662.0,7446.0,2100.0,4067.0,321.9,226.0,214.0,62201.0,2025.0,9.89,兰州市,2015,123.0,2,13086.0,1632.0,4.295017416,56720.0,1.00568529,76764.9639,18838.8,4050.22
甘肃省,省,临夏回族自治州,自治州,,19.43,,,,,,,,,,,,,临夏回族自治州,2015,,2,,,1.067511067,8681.0,0.32457742,15123.03571,18800.7,3971.29
甘肃省,省,陇南市,地级市,,13.34,102.73,12172.0,77.0,675.0,315.1353,3094.0,285.76,14.0,14.0,46132.0,70.0,1.24,陇南市,2015,38.0,2,27839.0,4683.0,0.410415397,11451.0,0.16933163699999998,26420.30729,18963.2,3733.81
甘肃省,省,平凉市,地级市,,19.23,208.59,18490.0,224.0,873.0,347.6994,3593.0,233.08,36.0,39.0,53028.0,141.0,2.75,平凉市,2015,19.0,2,11170.0,1936.0,1.068463612,11892.0,0.315195586,20013.65896,19104.1,3917.4
甘肃省,省,庆阳市,地级市,,24.16,98.45,27366.0,236.0,1079.0,609.4314,2720.0,267.31,24.0,26.0,56002.0,309.0,8.1,庆阳市,2015,18.0,2,27119.0,996.0,2.173898605,58917.0,0.448253563,70107.30556000001,19193.4,4008.84
甘肃省,省,天水市,地级市,,22.31,257.06,16743.0,468.0,999.0,553.7728,2840.0,367.17,56.0,48.0,45546.0,604.0,4.63,天水市,2015,19.0,2,14277.0,5858.0,1.257695814,17936.0,0.313013041,25308.04342,19017.3,3848.13
甘肃省,省,武威市,地级市,,14.9,57.16,22931.0,378.0,1145.0,416.1872,4895.0,190.04,32.0,31.0,52009.0,465.0,4.51,武威市,2015,28.0,2,33238.0,5081.0,0.500061736,16200.0,0.212659365,40811.45877,18803.2,4256.22
