Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
56,,,果洛藏族自治州,2017,,,1765.0,,,,2,100.0,100.0,-66.47067836713045,-21.663783897449257
57,1.8281,,海西蒙古族藏族自治州,2002,,,7240.0,,,,2,100.0,100.0,-62.26490540388021,0.47809435957906743
58,0.9207,,阿拉善盟,2002,,,5766.0,,,,2,100.0,100.0,-63.39719934868949,-16.463369293204593
59,,,玉树藏族自治州,2019,,,5108.0,,,,2,100.0,100.0,-63.9026602819897,-18.06364138114599
60,2.4004,,甘孜藏族自治州,2005,,,3777.0,,,,2,100.0,100.0,-64.92510481424287,-33.79678271225556
61,,,果洛藏族自治州,2018,,,1893.0,,,,2,100.0,100.0,-66.37235162022705,-26.12611171806907
62,0.2418,,海北藏族自治州,2002,,,915.0,,,,2,100.0,100.0,-67.12362942078572,-4.380629657326438
63,1.7783,,甘孜藏族自治州,2006,,,4362.0,,,,2,100.0,100.0,-64.47572085378599,-33.621165872278
64,0.6137,,克孜勒苏柯尔克孜自治州,2003,,,2100.0,,,,2,100.0,100.0,-66.21333883421924,-7.428520353234433
65,2.8045,,甘孜藏族自治州,2007,,,4620.0,,,,2,100.0,100.0,-64.27753100455885,-33.52176626037159
66,0.2219,,海南藏族自治州,2002,,,1366.0,,,,2,100.0,100.0,-66.77718127349334,-4.03418151003406
67,,,海西蒙古族藏族自治州,2003,,,9427.0,,,,2,100.0,100.0,-60.584900751710656,0.8676822783992506
68,,,海北藏族自治州,2003,,,1108.0,,,,2,100.0,100.0,-66.97537112272047,-5.522788092610568
69,,,克孜勒苏柯尔克孜自治州,2004,,,2255.0,,,,2,100.0,100.0,-66.09427128914092,-7.339197559908513
70,,,海西蒙古族藏族自治州,2004,,,9757.0,,,,2,100.0,100.0,-60.33140210735037,0.9862804142614507
71,2.8943,,阿拉善盟,2003,,,7846.0,,,,2,100.0,100.0,-61.7993897115095,-25.991625289796943
72,,,克孜勒苏柯尔克孜自治州,2005,,,2296.0,,,,2,100.0,100.0,-66.06277600302343,-7.777925805565594
73,1.2589,,和田地区,2003,,,8339.0,,,,2,100.0,100.0,-61.42067810038942,-2.635859619404613
74,,,玉树藏族自治州,2020,,,6913.0,,,,2,100.0,100.0,-62.51609951510994,-14.395823614468135
75,,,海北藏族自治州,2004,,,1166.0,,,,2,100.0,100.0,-66.93081681552988,-5.613134293918058
76,0.8867,,阿拉善盟,2004,,,8433.0,,,,2,100.0,100.0,-61.34846939563225,-27.700237036053522
77,2.9001,,甘孜藏族自治州,2008,,,5298.0,,,,2,100.0,100.0,-63.756706517054994,-32.915922526910094
78,,,果洛藏族自治州,2019,,,2657.0,,,,2,100.0,100.0,-65.78546384964747,-19.946444948803766
79,,,海南藏族自治州,2003,,,1575.0,,,,2,100.0,100.0,-66.61663213206515,-5.164049101955243
80,,,海南藏族自治州,2004,,,1582.0,,,,2,100.0,100.0,-66.61125488809387,-5.293572366482046
81,,,克孜勒苏柯尔克孜自治州,2006,,,2542.0,,,,2,100.0,100.0,-65.87380428631849,-8.48085477430353
82,1.7904,,海西蒙古族藏族自治州,2005,,,11292.0,,,,2,100.0,100.0,-59.15224932221994,1.9896256888072301
83,4.2562,,阿拉善盟,2005,,,9212.0,,,,2,100.0,100.0,-60.75005895939994,-28.5395863055313
84,,,克孜勒苏柯尔克孜自治州,2007,,,2704.0,,,,2,100.0,100.0,-65.7493594972689,-8.88034606486854
85,,,和田地区,2004,,,9599.0,,,,2,100.0,100.0,-60.45277418555924,-1.6977004563268352
86,0.3347,,海北藏族自治州,2005,,,1343.0,,,,2,100.0,100.0,-66.79484936082754,-5.652974349800374
87,3.0472,,甘孜藏族自治州,2009,,,5938.0,,,,2,100.0,100.0,-63.26507278253807,-30.826550503314486
88,,,克孜勒苏柯尔克孜自治州,2009,,,2846.0,,,,2,100.0,100.0,-65.64027826242295,-8.697071159199552
89,0.6078,,甘南藏族自治州,2002,,,1512.0,,,,2,100.0,100.0,-66.66502732780667,-22.199959394244793
90,0.8095,,海南藏族自治州,2005,,,1805.0,,,,2,100.0,100.0,-66.43995125872314,-5.298076247695974
91,,,大兴安岭地区,2016,,,2744.0,,,,2,100.0,100.0,-65.7186323888616,-42.53760446783165
92,1.9624,,海西蒙古族藏族自治州,2006,,,12587.0,,,,2,100.0,100.0,-58.15745918753335,2.665064280386858
93,,,神农架林区,2016,,,136.0,,,,2,100.0,100.0,-67.72203985701805,-32.62237643587535
94,0.5474,,阿坝藏族羌族自治州,2002,,,3504.0,,,,2,100.0,100.0,-65.13481732912274,-25.262050604633778
95,0.5969,,阿勒泰地区,2002,,,4972.0,,,,2,100.0,100.0,-64.00713245057455,-3.4651953835955496
96,,,大兴安岭地区,2015,,,2840.0,,,,2,100.0,100.0,-65.64488732868405,-43.02131769711534
97,5.1567,,巴音郭楞蒙古自治州,2002,,,20340.0,,,,2,100.0,100.0,-52.20177740048694,8.340159666492056
98,,,克孜勒苏柯尔克孜自治州,2008,,,3030.0,,,,2,100.0,100.0,-65.49893356374933,-8.772402146719969
99,3.1195,,锡林郭勒盟,2002,,,8840.0,,,,2,100.0,100.0,-61.035821067587904,-14.101991012103007
100,,,海北藏族自治州,2016,,,1529.0,,,,2,100.0,100.0,-66.65196830673355,-14.67348026063361
101,0.6385,,海北藏族自治州,2007,,,1534.0,,,,2,100.0,100.0,-66.64812741818264,-5.80107531051199
102,4.9532,,海西蒙古族藏族自治州,2007,,,13452.0,,,,2,100.0,100.0,-57.492985468225314,3.3540666394453353
103,,,海西蒙古族藏族自治州,2008,,,13478.0,,,,2,100.0,100.0,-57.47301284776057,3.452386621205477
104,1.9158,,阿拉善盟,2006,,,10891.0,,,,2,100.0,100.0,-59.4602885840032,-27.797439772284005
105,5.1868,,巴音郭楞蒙古自治州,2003,,,21829.0,,,,2,100.0,100.0,-51.05796079002491,7.726857690959903
106,,,巴音郭楞蒙古自治州,2004,,,22165.0,,,,2,100.0,100.0,-50.79985307940353,7.955220649828874
107,4.2945,,海西蒙古族藏族自治州,2009,,,14551.0,,,,2,100.0,100.0,-56.648758164734545,4.649047327193919
108,,,神农架林区,2015,,,157.0,,,,2,100.0,100.0,-67.70590812510422,-34.4818639259961
109,,,和田地区,2005,,,12012.0,,,,2,100.0,100.0,-58.599161370888396,-0.3143111734305606
