Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
56,,,果洛藏族自治州,2017,,,1765.0,,,,2,100.0,100.0,1.1394565031875472,0.5315619363498251
57,1.8281,,海西蒙古族藏族自治州,2002,,,7240.0,,,,2,100.0,100.0,4.969121546129118,2.6573213942224165
58,0.9207,,阿拉善盟,2002,,,5766.0,,,,2,100.0,100.0,3.938084783883297,1.7136258691035453
59,,,玉树藏族自治州,2019,,,5108.0,,,,2,100.0,100.0,3.477825496530684,1.8508304861933893
60,2.4004,,甘孜藏族自治州,2005,,,3777.0,,,,2,100.0,100.0,2.5468146888310983,1.8001839569557339
61,,,果洛藏族自治州,2018,,,1893.0,,,,2,100.0,100.0,1.2289902247394229,0.5269654764682045
62,0.2418,,海北藏族自治州,2002,,,915.0,,,,2,100.0,100.0,0.5448966335071205,0.29139264725496383
63,1.7783,,甘孜藏族自治州,2006,,,4362.0,,,,2,100.0,100.0,2.9560117756111564,2.1205871177370814
64,0.6137,,克孜勒苏柯尔克孜自治州,2003,,,2100.0,,,,2,100.0,100.0,1.3737830400615976,0.3704628266283324
65,2.8045,,甘孜藏族自治州,2007,,,4620.0,,,,2,100.0,100.0,3.1364781831141566,2.3230418869212532
66,0.2219,,海南藏族自治州,2002,,,1366.0,,,,2,100.0,100.0,0.8603631055375585,0.4600936535604691
67,,,海西蒙古族藏族自治州,2003,,,9427.0,,,,2,100.0,100.0,6.498889116706875,3.5172417325462444
68,,,海北藏族自治州,2003,,,1108.0,,,,2,100.0,100.0,0.6798966980345584,0.36796458551662353
69,,,克孜勒苏柯尔克孜自治州,2004,,,2255.0,,,,2,100.0,100.0,1.4822027810033225,0.4184143727923081
70,,,海西蒙古族藏族自治州,2004,,,9757.0,,,,2,100.0,100.0,6.7297182425828055,3.4494963031301205
71,2.8943,,阿拉善盟,2003,,,7846.0,,,,2,100.0,100.0,5.393007759101281,2.4768751733456065
72,,,克孜勒苏柯尔克孜自治州,2005,,,2296.0,,,,2,100.0,100.0,1.5108815511879077,0.43908158753025767
73,1.2589,,和田地区,2003,,,8339.0,,,,2,100.0,100.0,5.737852483515929,1.5473047692628363
74,,,玉树藏族自治州,2020,,,6913.0,,,,2,100.0,100.0,4.740390866852059,2.6905574844984645
75,,,海北藏族自治州,2004,,,1166.0,,,,2,100.0,100.0,0.7204666656127522,0.3692943760756703
76,0.8867,,阿拉善盟,2004,,,8433.0,,,,2,100.0,100.0,5.803603810280587,3.267918965874594
77,2.9001,,甘孜藏族自治州,2008,,,5298.0,,,,2,100.0,100.0,3.61072711445925,2.795845507549693
78,,,果洛藏族自治州,2019,,,2657.0,,,,2,100.0,100.0,1.763394625252183,0.9384440176374769
79,,,海南藏族自治州,2003,,,1575.0,,,,2,100.0,100.0,1.006554885258981,0.5447541548954951
80,,,海南藏族自治州,2004,,,1582.0,,,,2,100.0,100.0,1.0114512606563493,0.5184462794227371
81,,,克孜勒苏柯尔克孜自治州,2006,,,2542.0,,,,2,100.0,100.0,1.682954172295419,0.4808404515932986
82,1.7904,,海西蒙古族藏族自治州,2005,,,11292.0,,,,2,100.0,100.0,7.803423419005692,4.071311321770299
83,4.2562,,阿拉善盟,2005,,,9212.0,,,,2,100.0,100.0,6.348500443787708,3.259015004402093
84,,,克孜勒苏柯尔克孜自治州,2007,,,2704.0,,,,2,100.0,100.0,1.7962702886345123,0.5365317060320247
85,,,和田地区,2004,,,9599.0,,,,2,100.0,100.0,6.619200055042207,1.8685489427718787
86,0.3347,,海北藏族自治州,2005,,,1343.0,,,,2,100.0,100.0,0.8442750149462058,0.4404869814787336
87,3.0472,,甘孜藏族自治州,2009,,,5938.0,,,,2,100.0,100.0,4.05839572221863,3.673371430904155
88,,,克孜勒苏柯尔克孜自治州,2009,,,2846.0,,,,2,100.0,100.0,1.8955967609811248,0.7300683909780817
89,0.6078,,甘南藏族自治州,2002,,,1512.0,,,,2,100.0,100.0,0.962487506682667,0.5655107159643762
90,0.8095,,海南藏族自治州,2005,,,1805.0,,,,2,100.0,100.0,1.1674357911725084,0.6090909462203865
91,,,大兴安岭地区,2016,,,2744.0,,,,2,100.0,100.0,1.8242495766194733,1.2316317394352692
92,1.9624,,海西蒙古族藏族自治州,2006,,,12587.0,,,,2,100.0,100.0,8.709252867518812,4.329883583676325
93,,,神农架林区,2016,,,136.0,,,,2,100.0,100.0,0.0,0.0
94,0.5474,,阿坝藏族羌族自治州,2002,,,3504.0,,,,2,100.0,100.0,2.3558560483337367,1.7830671206252853
95,0.5969,,阿勒泰地区,2002,,,4972.0,,,,2,100.0,100.0,3.3826959173818154,1.0372424375873055
96,,,大兴安岭地区,2015,,,2840.0,,,,2,100.0,100.0,1.8913998677833803,1.2123387869663595
97,5.1567,,巴音郭楞蒙古自治州,2002,,,20340.0,,,,2,100.0,100.0,14.13233836120393,4.333425601533069
98,,,克孜勒苏柯尔克孜自治州,2008,,,3030.0,,,,2,100.0,100.0,2.0243014857119466,0.6691210986949864
99,3.1195,,锡林郭勒盟,2002,,,8840.0,,,,2,100.0,100.0,6.0882930655275675,2.649271681114965
100,,,海北藏族自治州,2016,,,1529.0,,,,2,100.0,100.0,0.9743787040762756,0.5750517373704429
101,0.6385,,海北藏族自治州,2007,,,1534.0,,,,2,100.0,100.0,0.977876115074396,0.529283509255869
102,4.9532,,海西蒙古族藏族自治州,2007,,,13452.0,,,,2,100.0,100.0,9.314304970193602,5.041444355687518
103,,,海西蒙古族藏族自治州,2008,,,13478.0,,,,2,100.0,100.0,9.332491507383828,5.746099083812707
104,1.9158,,阿拉善盟,2006,,,10891.0,,,,2,100.0,100.0,7.522931056956455,4.156555279052844
105,5.1868,,巴音郭楞蒙古自治州,2003,,,21829.0,,,,2,100.0,100.0,15.17386735644411,4.091878868660088
106,,,巴音郭楞蒙古自治州,2004,,,22165.0,,,,2,100.0,100.0,15.408893375517785,4.349811334705877
107,4.2945,,海西蒙古族藏族自治州,2009,,,14551.0,,,,2,100.0,100.0,10.083035907580413,7.161311955579977
108,,,神农架林区,2015,,,157.0,,,,2,100.0,100.0,0.014689126192104657,0.010262260036365317
109,,,和田地区,2005,,,12012.0,,,,2,100.0,100.0,8.307050602734995,2.4141356173654347
110,,,和田地区,2006,,,12028.0,,,,2,100.0,100.0,8.318242317928979,2.3766228804436853
111,0.2277,,黄南藏族自治州,2002,,,886.0,,,,2,100.0,100.0,0.5246116497180235,0.2805449107076032
112,1.5183,,阿拉善盟,2007,,,11870.0,,,,2,100.0,100.0,8.207724130388383,4.357153091296892
113,0.1611,,海北藏族自治州,2006,,,1709.0,,,,2,100.0,100.0,1.1002855000086011,0.5470168562463144
114,,,巴音郭楞蒙古自治州,2005,,,23544.0,,,,2,100.0,100.0,16.37347932879933,4.758343426346423
115,,,海北藏族自治州,2008,,,1744.0,,,,2,100.0,100.0,1.1247673769954425,0.6925294053943061
116,,,阿勒泰地区,2004,,,5945.0,,,,2,100.0,100.0,4.063292097615999,1.1470359091791027
117,4.9566,,甘孜藏族自治州,2010,,,7656.0,,,,2,100.0,100.0,5.260106141172716,4.8908533385764965
118,1.8786,,阿拉善盟,2008,,,12333.0,,,,2,100.0,100.0,8.53158438881431,4.557335664948116
119,,,神农架林区,2014,,,169.0,,,,2,100.0,100.0,0.023082912587593037,0.014865634716627187
120,0.782,,阿勒泰地区,2003,,,6226.0,,,,2,100.0,100.0,4.259846595710351,1.1487365652579145
121,,,海北藏族自治州,2014,,,1838.0,,,,2,100.0,100.0,1.1905187037601013,0.6688295734314517
122,,,克孜勒苏柯尔克孜自治州,2010,,,3760.0,,,,2,100.0,100.0,2.5349234914374894,0.8792243960051244
123,0.93,,海南藏族自治州,2006,,,2360.0,,,,2,100.0,100.0,1.5556484119638456,0.7734046333705042
124,3.7103,,阿拉善盟,2009,,,13104.0,,,,2,100.0,100.0,9.070885164724439,5.03123750259233
125,0.7176,,阿坝藏族羌族自治州,2003,,,4553.0,,,,2,100.0,100.0,3.089612875739346,2.2230271711418936
126,8.3,,甘孜藏族自治州,2016,,,8491.0,,,,2,100.0,100.0,5.844173777858781,4.7529698025872165
127,,,和田地区,2007,,,14122.0,,,,2,100.0,100.0,9.782958043941699,2.922092071870676
128,,,海北藏族自治州,2015,,,1971.0,,,,2,100.0,100.0,1.2835498363100974,0.6988563917296866
129,3.4,,锡林郭勒盟,2003,,,11523.0,,,,2,100.0,100.0,7.965003807118844,3.658129390257642
130,,,神农架林区,2002,,,188.0,,,,2,100.0,100.0,0.03637307438044963,0.018456723092963385
131,,,黄南藏族自治州,2003,,,1049.0,,,,2,100.0,100.0,0.6386272482567406,0.3456292866015198
132,,,阿勒泰地区,2005,,,6907.0,,,,2,100.0,100.0,4.736193973654316,1.3763988097997104
133,,,阿拉善盟,2015,,,14169.0,,,,2,100.0,100.0,9.81583370732403,6.729771093531369
134,,,巴音郭楞蒙古自治州,2006,,,27964.0,,,,2,100.0,100.0,19.465190651137547,5.561441432642693
135,,,大兴安岭地区,2018,,,3929.0,,,,2,100.0,100.0,2.6531359831739514,1.5056462361114749
136,2.4347,,锡林郭勒盟,2004,,,11891.0,,,,2,100.0,100.0,8.222413256580488,4.62991291356585
137,,,海南藏族自治州,2015,,,2605.0,,110.0,,2,10100.0,10100.0,59.266267528971156,32.26879759936068
138,,,阿拉善盟,2014,,,14356.0,,,,2,100.0,100.0,9.946636878653727,6.703219293394272
139,1.8132,,阿坝藏族羌族自治州,2004,,,5016.0,,,,2,100.0,100.0,3.413473134165273,2.426526178302112
140,,,阿拉善盟,2016,,,14483.0,,,,2,100.0,100.0,10.035471118005976,7.469695929335058
141,1.2547,,海南藏族自治州,2007,,,2639.0,,,,2,100.0,100.0,1.7508039456589504,0.9476370698622602
142,0.2454,,黄南藏族自治州,2005,,,1100.0,,,,2,100.0,100.0,0.6743008404375661,0.35180567534838375
143,6.5087,,甘孜藏族自治州,2011,,,9159.0,,,,2,100.0,100.0,6.311427887207633,5.881950746383091
144,,,和田地区,2008,,,15139.0,,,,2,100.0,100.0,10.494331440959344,3.4688403053631247
145,,,克孜勒苏柯尔克孜自治州,2011,,,4274.0,,,,2,100.0,100.0,2.894457342044241,1.0874308957593568
146,,,海南藏族自治州,2016,,,2673.0,,118.0,,2,10100.0,10100.0,63.504275086807404,37.478491233794905
147,1.4018,,甘南藏族自治州,2003,,,2255.0,,,,2,100.0,100.0,1.4822027810033225,0.7621832185151166
148,0.6312,,海北藏族自治州,2009,,,2116.0,,,,2,100.0,100.0,1.384974755255582,0.9836557524834099
