省,省代码,市,市代码,市类型,省类型,数量,2002y1_pr,2002stock,2003y1_pr,2003stock,2004y1_pr,2004stock,2005y1_pr,2005stock,2006y1_pr,2006stock,2007y1_pr,2007stock,2008y1_pr,2008stock,2009y1_pr,2009stock,2010y1_pr,2010stock,2011y1_pr,2011stock,2012y1_pr,2012stock,2013y1_pr,2013stock,2014y1_pr,2014stock,2015y1_pr,2015stock,2016y1_pr,2016stock,2017y1_pr,2017stock,2018y1_pr,2018stock,2019y1_pr,2019stock,2020y1_pr,2020stock,2002y1_corrected,2003y1_corrected,2004y1_corrected,2005y1_corrected,2006y1_corrected,2007y1_corrected,2008y1_corrected,2009y1_corrected,2010y1_corrected,2011y1_corrected,2012y1_corrected,2013y1_corrected,2014y1_corrected,2015y1_corrected,2016y1_corrected,2017y1_corrected,2018y1_corrected,2019y1_corrected,2020y1_corrected
安徽省,340000,安庆市,340800,地级市,省,1,7.948124117300668,3.3071,8.881502021705717,3.9349,10.060811345307268,3.5713,11.007168791185006,5.3089,12.084504476754432,7.4495,14.250942454238078,6.7627,16.636678626699158,8.2929,16.435183171817116,12.1714,23.094116523728466,14.6788,27.42812932597508,17.6857,30.240069822816142,21.1146,32.85228780989386,25.9399,31.486467067170963,30.9036,30.22087232374829,36.2055,32.04269487912441,40.0674,39.38482284386187,46.5712,43.447502984792145,100.6946,54.36983981392365,57.6154,55.776564582306,61.6378,3.727637814046924,4.462882561539425,4.738694181268368,5.423862530467324,6.126388654352031,7.519965823653591,9.078736732500461,10.988540071314397,14.379105903561712,17.51108707718729,20.976348325289823,23.911844611106723,25.662567367572702,27.58551942299241,33.29423890782275,38.39393638413558,45.213482963841884,52.16722514372761,59.23906201206089
安徽省,340000,蚌埠市,340300,地级市,省,1,6.101665170812447,3.0923,6.7415356479866615,3.8883,7.613183945256305,3.4589,8.43623275238479,3.9402,9.632998216511206,4.7024,10.795511060959189,5.2391,12.16105804416958,6.3487,12.231047265775409,7.9701,16.469287001381314,9.8706,19.532441986911444,11.7533,21.186422239140548,13.6161,24.58491132017341,16.4439,28.12073465214048,18.8037,30.202280082274033,22.4366,32.66636709595704,27.8173,39.01855688480294,33.208,41.91617449685071,79.4492,49.98708459259854,44.3532,48.3200646723019,49.9693,2.861656094406604,3.387566856131597,3.5858490159582646,4.157015086441224,4.88356730675626,5.696596873362912,6.636363354070402,8.177660789603097,10.254283670288741,12.470201244785622,14.696188707857035,17.894357393544475,22.919378217209143,27.568548482087373,33.94227091217596,38.03688534476612,43.61991164799847,47.96202278956944,51.31967752021313
安徽省,340000,亳州市,341600,地级市,省,1,5.793235341608025,2.0205,5.953613597813899,2.6669,6.855884194334585,3.6069,7.9298500274843295,3.6069,8.81069790427653,9.5062,9.75370565498762,6.7047,11.104527910570486,8.1238,11.48228528561872,16.5988,15.73086313685286,19.9383,19.04225405212904,23.3301,20.524390425452133,26.0552,22.987479631635075,25.6057,22.17181167389695,29.8465,23.93450340797589,35.3242,25.70660863969912,42.8396,38.09604551436068,50.8451,43.13738644388661,97.2493,53.492172448365345,64.3974,47.530236563293954,70.6422,2.717003761685747,2.9916424315269983,3.229156916285548,3.907491313364982,4.466692017162454,5.1468549125795455,6.059808432975383,7.677039595618631,9.794518303691477,12.157247943882512,14.236963249459654,16.73165181473596,18.070798782495427,21.847341187486503,26.71067376788099,37.13758352460008,44.89076133484641,51.32511357567666,50.48081846392709
安徽省,340000,池州市,341700,地级市,省,1,1.9232696711945203,1.0977,2.296948157758669,1.2513,2.7253923519311583,1.3405,3.1877130212729696,2.0118,3.5587094791491336,2.2858,4.566822906291382,2.2395,5.614679384540243,2.6036,5.862616179078086,3.5441,8.4161486933898,4.2915,9.671124116424613,5.2369,10.084161263516423,6.2923,11.779930710178892,7.1196,11.2467264982669,8.731,12.132086908649907,10.5624,12.678803615510983,12.7543,15.348533077931465,14.9621,16.304172586454015,33.983000000000004,19.86701966567384,18.6944,20.557756590849408,20.333,0.9020056364430682,1.1541977756654878,1.2836738943319348,1.5707687909548154,1.8041316811237351,2.409830247246315,3.0639646959239393,3.9197368312271164,5.240152540065071,6.174387415353814,6.994986468990115,8.57413262362113,9.166473831780444,11.074131662208911,13.174020419712107,14.96237789160812,16.966876778516045,19.06217291390026,21.83394095054236
安徽省,340000,滁州市,341100,地级市,省,1,10.14793121473472,4.2285,11.015456171492133,4.6741,12.141247041219009,5.0567,11.929656944871335,5.3319,13.514086687505937,8.2243,15.108995783481312,7.7761,17.27796198149199,8.7584,17.68824918441122,11.5913,23.48659813604609,13.4594,27.932533137849816,15.6942,29.453119751277818,15.961,35.2065453790881,18.4207,36.926640585743755,20.8604,38.60082088457868,24.1417,40.75364406700224,29.5161,53.423644495582714,35.7338,56.966076264401295,97.8435,80.28984368174353,47.8837,77.84991668784603,53.2756,4.759338376215408,5.535177173298963,5.718590154699811,5.878425281934008,6.851132995608109,7.972745120987879,9.428688960330083,11.826338223452066,14.623477004007022,17.83311629641804,20.43047197937131,25.62541297793872,30.096498272358808,35.234710727335035,42.34542590907769,52.07955400240549,59.28153614717445,77.03716557626444,82.68268361167716
安徽省,340000,阜阳市,341200,地级市,省,1,9.512249509117618,4.8832,9.68540262620172,6.0527,10.948813084631333,7.01,12.390421170312885,9.513,13.988458852626689,14.2465,16.086200591946486,12.8124,17.849355874065175,14.8859,18.130727290170807,23.865,23.81959201367743,28.2858,27.844695403333468,33.5188,29.620134372567268,37.6374,32.6227792316637,43.084,31.874900761318674,48.4019,35.327224500429566,54.9953,38.941602503965015,62.8222,56.76997709207889,72.6618,61.860058598732856,141.8995,87.24121142642313,95.19,81.8500951267619,104.2034,4.461206247352665,4.866836079789842,5.156947593509706,6.105470207396913,7.09162181796127,8.488398509243805,9.740502083467861,12.122178455044747,14.830809214649461,17.77703758249999,20.546323460274323,23.74479464821486,25.97915435787032,32.24658200389576,40.462608470087225,55.341695902583076,64.37444072620389,83.70692159236879,86.93118511722558
安徽省,340000,合肥市,340100,地级市,省,1,17.69600787555721,6.6613,19.768645462769342,9.0081,21.68202456028695,10.7689,26.455414280603172,12.6353,31.135167793722356,15.6147,37.00884883914959,18.279,44.47822642718008,22.513,47.70292502252086,29.6625,64.5465543009008,38.606,80.709541722268,55.04,87.72414783068533,66.5553,101.63297227802877,82.0675,112.1980847426767,97.5744,120.75400812292123,116.8809,131.901288475612,142.9899,155.7227571809775,169.7353,168.36845028701862,234.6325,200.6968483785504,217.5679,205.0323187467643,234.1024,8.299355563788296,9.933583630948146,10.212345714033633,13.036097925514401,15.784357487700365,19.528903392659604,24.27203873571673,31.894107759489085,40.18866619335854,51.52782372657389,60.8507947308803,73.97450839771494,91.44534704637073,110.22388767584972,137.05317319042788,151.80491369660788,175.21200381446948,192.56627775311523,217.76031449181897
安徽省,340000,淮北市,340600,地级市,省,1,4.646356150719624,1.5574,5.162311277162381,1.765,6.0561703431623615,1.7528,7.066870129018562,2.5834,8.02049369115846,3.7624,9.169799544034696,3.0056,10.195877845166327,3.5793,9.982790880782414,6.277,13.134476262378676,8.0759,14.917112700721312,9.9203,15.902583702859992,12.1237,17.837138839879962,13.4097,21.105017196147454,15.6716,20.530666106915948,17.8975,20.843536935714525,20.6599,26.20118914405814,24.2069,27.624974456012374,54.304,30.819619833098532,31.3456,30.484071750810017,34.6274,2.1791220958982906,2.5940194484875705,2.8524875560159964,3.4822516877508582,4.066088241047348,4.838738167831717,5.563952564693192,6.674479771246821,8.17792813033184,9.52361192183715,11.030997513490648,12.982928151429832,17.201324125519857,18.74032895517219,21.657657105296206,25.54199096372099,28.747827288962394,29.57106462295677,32.3764618769514
安徽省,340000,淮南市,340400,地级市,省,1,6.340693126741987,3.0262,7.085679483214655,3.4922,8.011097598505442,2.8988,9.245369341333273,3.7015,11.310299479664595,4.4207,12.27829671819977,4.9915,13.821232648657448,5.8869,13.254309823366508,7.3733,17.82508273398968,8.978,20.301763997629518,10.3471,21.058155950631047,11.8885,22.745545609257842,14.2483,26.196863738233237,15.7088,26.64421506110025,17.8035,26.039863244559477,26.0907,32.726266301217905,29.6177,33.83717990476441,67.6639,38.235144802106475,37.1345,36.99270240036581,39.8891,2.9737592314471835,3.5604963355312247,3.7732684047711196,4.555723029426748,5.7338958782156535,6.479036175328997,7.5423307350799655,8.86181267887725,11.098443714373655,12.961363604419207,14.607215423009082,16.5555578762346,21.35135641186233,24.32075766061827,27.056944843806676,31.902903091388776,35.212535866653276,36.68617406490335,39.28913528288843
安徽省,340000,黄山市,341000,地级市,省,1,2.9244858457435536,1.7779,3.8443931758385186,2.1868,4.428222327122086,2.1754,5.124245790775814,2.3591,5.80850562372069,5.4109,6.748557840797603,3.2837,7.322064717786289,3.8221,6.6087058952592725,8.617,8.600190663285924,9.5638,9.855475713577574,10.7651,10.772080838244877,11.4868,12.330563203860116,11.7135,9.996286689720618,12.5581,10.335034955089638,14.6978,10.845600809798725,16.6571,13.455716782346927,18.4899,13.818706146253474,28.5397,16.5374862692203,21.4756,17.166251730578036,22.9096,1.3715719412973886,1.9317763169135471,2.085715620210273,2.525009406937757,2.944693596692647,3.561092502107133,3.9956952588138783,4.418571353321835,5.354742720343993,6.292083989997965,7.472169250109285,8.974915628534607,8.147321833639266,9.43378815928137,11.269215208723477,13.117183139110866,14.380385338707805,15.867524577418113,18.23189826045606
