省,省代码,市,市代码,市类型,省类型,数量,2002y1_pr,2002register,2003y1_pr,2003register,2004y1_pr,2004register,2005y1_pr,2005register,2006y1_pr,2006register,2007y1_pr,2007register,2008y1_pr,2008register,2009y1_pr,2009register,2010y1_pr,2010register,2011y1_pr,2011register,2012y1_pr,2012register,2013y1_pr,2013register,2014y1_pr,2014register,2015y1_pr,2015register,2016y1_pr,2016register,2017y1_pr,2017register,2018y1_pr,2018register,2019y1_pr,2019register,2020y1_pr,2020register,2002y1_corrected,2003y1_corrected,2004y1_corrected,2005y1_corrected,2006y1_corrected,2007y1_corrected,2008y1_corrected,2009y1_corrected,2010y1_corrected,2011y1_corrected,2012y1_corrected,2013y1_corrected,2014y1_corrected,2015y1_corrected,2016y1_corrected,2017y1_corrected,2018y1_corrected,2019y1_corrected,2020y1_corrected
安徽省,340000,安庆市,340800,地级市,省,1,1.7821502832239602,,1.966352329359943,,2.1223912561599945,,2.191428966987852,,2.3674338212706267,,2.6135933012845296,,2.9100283349185814,,2.9072513785552627,,3.6562219554863393,,6.81154949435995,,6.8921725121124675,,7.000500486077766,,7.460458411329693,,7.940175916094457,,7.664513896005392,,9.248535212488251,,9.921304422550591,,10.098251862847178,,7.629737374142886,,0.6594849144419965,0.8436386428317504,1.083556191899861,1.0301194169411476,1.2564097159363448,1.5087947681528315,1.8561120112745917,2.880618728902144,3.971504674153967,4.150346857161522,4.700977266777154,5.370178137427326,5.678238678361841,6.312699496787673,7.649955858316429,7.9962224209481905,7.230991903618165,7.016184064906714,5.929106454233556
安徽省,340000,蚌埠市,340300,地级市,省,1,0.9977343450738524,,1.0578290303355893,,1.2258403672726803,,1.3071513680186266,,1.3890691507450916,,1.511655365136167,,1.6684083594370858,,1.7054269679448408,,2.1485176188828667,,4.266597128006398,,4.28731362699487,,4.4532539336017045,,5.100621434332838,,5.952963860546843,,6.324983321113456,,7.248420421160874,,8.177593998326136,,7.694413126489046,,6.178937238967157,,0.36921170755955957,0.4538481909754351,0.6258350887867503,0.614449304705497,0.7371863835952515,0.8726597611979836,1.0641658565667382,1.6898039505197613,2.3337882299764385,2.5996813200371025,2.924268633819987,3.4161510255160423,3.8821402540260412,4.732800930858144,6.312969598283777,6.266936391168434,5.960115068999261,5.3460162709449826,4.801682530780402
安徽省,340000,亳州市,341600,地级市,省,1,1.3084078581626664,,1.4452108449189605,,1.5697088553881666,,1.7042774204231192,,1.817520204368957,,2.016586590289991,,2.1585202272067097,,2.1037896860071204,,2.569341779763395,,5.917531837236268,,5.999850894866983,,6.3446438616648,,6.476198739709346,,6.9629803451022045,,7.238515936036941,,9.923208671346103,,11.506618416920169,,11.321922681125322,,6.318569170005488,,0.48417647631527255,0.6200494680472782,0.8013921772431545,0.8011253337795086,0.9645676357086777,1.1641502507147192,1.3767753640823672,2.08451736092902,2.7909008293431325,3.605612743937724,4.0923471679291,4.867061694151035,4.929107588982808,5.535797063585644,7.2247670422076915,8.579540634545214,8.386423908297239,7.866380694234378,4.9101911914247625
安徽省,340000,池州市,341700,地级市,省,1,0.4010185940902562,,0.4666668204538859,,0.5179123578595677,,0.5696970564579829,,0.5830938687769149,,0.6387473028776806,,0.722319793328972,,0.7795372657536891,,1.0132993395026844,,1.8668926556557377,,1.7829662860239517,,2.0118953142159786,,2.035882640459986,,2.395998689911681,,2.4554552284260733,,3.4076267272722744,,3.9519459147402287,,3.5066641300176222,,2.7513208411530834,,0.14839697622741244,0.2002175079124681,0.26441267159926835,0.2677960401510192,0.30945101630804245,0.3687408397779096,0.460719377983925,0.772396107254803,1.100677998258105,1.1375168120666774,1.2161163933866308,1.543351972145711,1.5495331407664694,1.9048973075585272,2.450791317544834,2.9462115473209027,2.880315702043237,2.4364019955304164,2.1380649630526247
安徽省,340000,滁州市,341100,地级市,省,1,1.6827953182587847,,1.8831359678229127,,2.021282564673112,,1.9573346627270136,,2.1240208196692993,,2.311345882877773,,2.5700051479508765,,2.6102543778401266,,3.1582470449581463,,5.886621285707773,,5.761950298710778,,6.173572834055363,,6.747622744643027,,7.343455298690062,,8.162160810363908,,10.005662859354386,,10.851289053844587,,11.955898364463975,,9.930369173468886,,0.6227185983875989,0.807935713473537,1.031936610261684,0.9200793052847449,1.127229141827204,1.334311108680761,1.6392340125728089,2.5863424482205137,3.4305884746309943,3.5867786283674494,3.93008116365866,4.735830806553433,5.135691447249449,5.83828709320652,8.146657538230421,8.650829980555665,7.908797064408444,8.306861893098523,7.71693874534582
安徽省,340000,阜阳市,341200,地级市,省,1,2.258001314371838,,2.447336661593079,,2.614093479119614,,2.6668229826229943,,3.0441905710874235,,3.2993130371928903,,3.516012884708206,,3.5915454819301544,,4.171788230970105,,10.014742070810275,,9.99194437654586,,10.24994115180992,,11.036724512697623,,11.874436082350426,,12.09629103975478,,14.29525847339707,,16.354351245320114,,17.579713528144215,,10.939320275454447,,0.8355736424902233,1.04999889842266,1.3345876578053437,1.2535866675709957,1.6155681211917743,1.904652206817518,2.24262893553087,3.5586441741041277,4.531529174266013,6.10208489467584,6.815253576792276,7.862867803928445,8.400174969845347,9.44056497913984,12.073315249868719,12.359585998426825,11.919620284510463,12.214243375686047,8.500999611066073
安徽省,340000,合肥市,340100,地级市,省,1,1.896553654998525,,2.0100260142128707,,2.2072659266638053,,2.715071085151892,,3.251629956704036,,3.870821534536861,,4.741662420050855,,5.3387271217568975,,7.166219387503478,,11.99836907795289,,12.256153166455038,,14.163881582498705,,16.453173546418938,,17.612105492523234,,18.452313096670565,,21.418861590125825,,24.567567250370985,,24.765153477738405,,23.792976122916976,,0.7018198951430283,0.8623762859624597,1.1268877286713883,1.2762665298865423,1.7256573060361031,2.2345769239966105,3.024388616996742,5.2898202917262545,7.784175616246769,7.310729142462908,8.359613360284934,10.865304183138536,12.522695156533219,14.002199781829145,18.417264628737083,18.518606173103514,17.905697911581395,17.20662918249763,18.489638814292693
安徽省,340000,淮北市,340600,地级市,省,1,0.6157817105773108,,0.6830003930764816,,0.7878532941030544,,0.9309483796366018,,0.9522309572761908,,1.0824782704302658,,1.2281822289940612,,1.228014059449127,,1.5774159128741554,,2.7342042305341647,,2.704336710453209,,2.8020542315800867,,3.4822252851520514,,3.863972597872916,,3.9480009579900663,,4.7842431931597975,,5.636202535057782,,5.206823565467189,,4.359759465226168,,0.22787009184229962,0.293032696157841,0.4022271165395872,0.43760852689270785,0.5053540317739721,0.6249011849937046,0.7833751169758487,1.2167645099758146,1.713439377405424,1.6659786359082338,1.8445599519178129,2.1494935118200273,2.650360770176293,3.0719845670864534,3.940502094067015,4.136425045639273,4.107860535507842,3.6176590785201044,3.387990531860502
安徽省,340000,淮南市,340400,地级市,省,1,0.643200132518054,,0.7817487034865068,,0.9194073438713029,,1.0733991171531057,,1.2703277292879236,,1.3633787982378671,,1.5779631905492555,,1.5766112655294386,,2.052236744718683,,3.589521718569016,,3.4860667643836294,,3.5136420778839064,,4.25929993654257,,4.800497650586047,,5.689471624047902,,7.1070353939328275,,7.4932514562001336,,7.086747817314514,,5.249473414924746,,0.23801628199132266,0.3353994120979895,0.4693901359791765,0.5045699812149235,0.6741696799127774,0.787061551152884,1.0064769460087049,1.562168298614458,2.229204879613667,2.1871323398165834,2.377758331068224,2.695362125454078,3.241801013955328,3.8165526083319645,5.678664997110173,6.144695831043766,5.461342410621096,4.923815308151321,4.0793916198530065
安徽省,340000,黄山市,341000,地级市,省,1,0.465440037809206,,0.5792028499317985,,0.6231978366491189,,0.6778483318635842,,0.7628164777273936,,0.8411801606710457,,0.912736525471986,,0.8592064822076928,,1.0349022506983547,,1.941797778546117,,1.83989764807032,,1.915615133353064,,1.8547460237698352,,2.1334346153183548,,2.1906659298861566,,2.9746247347655626,,3.0905276552155763,,2.9824635554262686,,2.641359009052929,,0.17223613878241592,0.24849967065657985,0.31816465164934055,0.31863443392993884,0.40483076041325156,0.48560280012604135,0.5821734474984039,0.8513354926575227,1.1241437680700819,1.183157270472037,1.2549478414208017,1.469494149642043,1.4116680276260158,1.696150282420187,2.186504961871234,2.5718408863191287,2.252484098963541,2.0721916581160524,2.05261308227965
