省,省代码,市,市代码,市类型,省类型,数量,2002y2_pr,2002stock,2002POP,2003y2_pr,2003stock,2003POP,2004y2_pr,2004stock,2004POP,2005y2_pr,2005stock,2005POP,2006y2_pr,2006stock,2006POP,2007y2_pr,2007stock,2007POP,2008y2_pr,2008stock,2008POP,2009y2_pr,2009stock,2009POP,2010y2_pr,2010stock,2010POP,2011y2_pr,2011stock,2011POP,2012y2_pr,2012stock,2012POP,2013y2_pr,2013stock,2013POP,2014y2_pr,2014stock,2014POP,2015y2_pr,2015stock,2015POP,2016y2_pr,2016stock,2016POP,2017y2_pr,2017stock,2017POP,2018y2_pr,2018stock,2018POP,2019y2_pr,2019stock,2019POP,2020y2_pr,2020stock,2020POP,2002y2_corrected,2003y2_corrected,2004y2_corrected,2005y2_corrected,2006y2_corrected,2007y2_corrected,2008y2_corrected,2009y2_corrected,2010y2_corrected,2011y2_corrected,2012y2_corrected,2013y2_corrected,2014y2_corrected,2015y2_corrected,2016y2_corrected,2017y2_corrected,2018y2_corrected,2019y2_corrected,2020y2_corrected
安徽省,340000,安庆市,340800,地级市,省,1,0.015495295938114727,0.005479866999999999,603.4999999999999,0.017699803339113973,0.00650719,604.7003208152481,0.02102778061547429,0.005981622,597.0453853183063,0.02527720709363664,0.009058641,586.0592006547538,0.02971809634573432,0.013201417,564.2955012559945,0.03781306374498211,0.012185621,554.9737725753686,0.04320649126081536,0.014822588000000001,559.4772149888853,0.0480136579390424,0.022493067999999998,541.1178205308244,0.057133898957128976,0.027700922000000003,529.9029334477397,0.0605495051564841,0.033186781,532.9139911763422,0.0677912478214455,0.039732709,531.4160675211003,0.06957166024846607,0.048584337000000005,533.9148744172056,0.07664947110023007,0.057809799,534.5737295195779,0.08628895382497738,0.079297694,456.57695894022703,0.0918319149385939,0.087189805,459.54225986664267,0.09981657607466438,0.100572004,463.0632582322357,0.11455984881668012,0.21548644399999997,467.2897196261682,0.1302096588861093,0.122430304,470.59754023806704,0.15212432588145064,0.146443427,420.8983709358598,0.006295715225700533,0.007699593143206292,0.00820555207909247,0.009581191970643516,0.012344707788688661,0.016095144126755518,0.018458356258113037,0.022872565906708647,0.030054327711350658,0.03444831502267697,0.04057865370967871,0.04559735875543463,0.0556076198652015,0.06802489764139308,0.08070363780996467,0.09778578527878001,0.11167220231716292,0.12834189153369469,0.1545810704881078
安徽省,340000,蚌埠市,340300,地级市,省,1,0.02576349941490754,0.0090466,341.81901509705244,0.031218007375952844,0.011710993000000001,332.0213750199394,0.03656022736228296,0.010371715,333.4935492031369,0.04105327325769264,0.011978927,328.92762810353935,0.04640975268016132,0.014580557,322.51167804527483,0.05502464910684693,0.01639102,319.632332957787,0.057846302384184665,0.017793609,356.7966549295774,0.06304748060459604,0.022171829,359.46966626131604,0.0749173482690747,0.031341969,314.93235425011125,0.0802321168942059,0.037047693,317.2478246726844,0.0897492846937144,0.042825225999999994,317.94578377799206,0.09704194351988298,0.051256125,320.81824534654726,0.10470532783534199,0.058114879,323.5608575769512,0.1150967169636075,0.06868651,326.6522068623096,0.12376166803767237,0.083762093,332.0989129136304,0.13232056449346455,0.099051965,335.25836523695193,0.14408954820627112,0.235383355,337.53108838972014,0.15642344548564113,0.130193867,340.6704261687807,0.16512841195924427,0.151851417,329.06706323466597,0.010467670716426125,0.013580148374037376,0.014266691056492545,0.015561026605833335,0.019278315431672563,0.023421261600797317,0.024712667621547207,0.030034321842576095,0.03940901246445065,0.04564630595353219,0.05372235002769049,0.06360141898580447,0.07596156874344723,0.09073516415774951,0.1087641136390129,0.12962847270824296,0.14045756297067022,0.15417965952437204,0.16779516714869952
安徽省,340000,亳州市,341600,地级市,省,1,0.01649864214327564,0.00379481,532.4377894411856,0.017626541011470428,0.005148939,517.9513849632561,0.020182584522364683,0.006902539,522.5468713654338,0.02253473573494744,0.0069320530000000005,520.3220106027882,0.0258208640786113,0.018529978,513.0173450111627,0.028251721425530143,0.013421958999999999,499.5321651414759,0.03284185277122891,0.015850876,512.5142639786991,0.040566362670960296,0.032576702,509.5297864810664,0.0472887988244182,0.041274046,483.07112576542625,0.049390633340412916,0.047899718,487.0613244209544,0.05458060899819038,0.053307678,488.77011337249013,0.07089116851395108,0.052017672,492.2500155559704,0.062420547709985064,0.060018617999999996,497.2873543812258,0.06855588637383242,0.070344179,502.16237813648706,0.07378926524061402,0.084092095,509.4367085536849,0.08313539324432201,0.098971092,513.736877373241,0.0919053416073657,0.18649832600000002,521.4486495294741,0.09914873458116062,0.12259057,525.3046767124932,0.10725021757608724,0.141112673,500.6084743887598,0.006703373266289655,0.007667723291051888,0.007875735980766208,0.008541672673109749,0.010725822347219664,0.01202535534384453,0.014030452391250253,0.019324851378017927,0.02487547818172947,0.02809971926414456,0.032670996669577394,0.04646216622944352,0.045284827657788025,0.05404523924063402,0.06484741323562683,0.0814439848825835,0.08958873469210937,0.09772651467007175,0.10898226399316188
安徽省,340000,池州市,341700,地级市,省,1,0.0176423640313362,0.007100028,154.60503231763622,0.02022683171364516,0.008080954,154.84557013945857,0.023531425067602176,0.008877656,150.99705930403528,0.028099574886850512,0.013471647,149.33586337760912,0.03458802316295835,0.015929789,143.49216854180455,0.042213419292980316,0.015518299999999999,144.31348489131543,0.0520645470273128,0.019144038000000002,136.0005654909168,0.06291597890266709,0.02495839,142.00034692107545,0.07198405847935335,0.030635241,140.0837679269883,0.07754869338387069,0.037181059,140.84859714134464,0.08070499636767164,0.044422538,141.64656781242576,0.08666848603564101,0.050120347999999995,142.05009065486618,0.09320675007921422,0.061227022,142.6004356577605,0.09769354586709914,0.073708334,143.29994212658497,0.10493099018110448,0.08860370699999999,143.94770155673402,0.11392479780924135,0.10347298099999999,144.59910139422854,0.12506160309365585,0.232523648,146.1485756961485,0.1418005374505139,0.126315275,147.99793656723054,0.1555192940884973,0.151720681,134.01600789599496,0.007168065733822218,0.008798875998074556,0.00918253511477947,0.010650995590100795,0.014367644345981251,0.01796815704185944,0.02224262904493217,0.02997167755606843,0.03786600464909405,0.04411963090995612,0.048308597429425455,0.056802641139279554,0.06761958631780078,0.07701557572842553,0.0922153548935509,0.11160697205411892,0.1219092447052008,0.13976650697481338,0.1580308660200028
安徽省,340000,滁州市,341100,地级市,省,1,0.015124105187039563,0.009847499999999999,429.39831804281346,0.017909205876888903,0.010786983,433.3093006488825,0.021229779433090876,0.012111397,417.5158487907959,0.025394819478355948,0.012907202,413.0949383026945,0.028983792046927536,0.020034424,410.5084353291432,0.035698884079389606,0.019307206,402.75636030385897,0.041547055421446204,0.021256478999999998,412.03438168422724,0.04716746041153104,0.028168301,411.5015712041137,0.05767223561013984,0.034232314,393.1782060701973,0.06418330833590294,0.039873558999999996,393.5991762310256,0.0750236852034857,0.040529712,393.80985801217037,0.08167830793201977,0.046430304000000006,396.7387348038145,0.08934912329103824,0.052688887999999996,395.91649761141286,0.09622069811472143,0.060140476,401.42182999325854,0.10324418268499444,0.073378687,402.24349895190073,0.11223205676257997,0.088255786,404.8890350988182,0.12202277415117717,0.23916756399999997,409.1002068228823,0.1428548210898145,0.115890072,413.1820698859845,0.15717691308738976,0.133781537,398.2283438695178,0.00614490098681692,0.007790685361189236,0.0082843769369402,0.009625772324475586,0.012039682463671542,0.015195242794849222,0.017749424405126953,0.022469457509038344,0.030337510663747454,0.036515687767202536,0.0449078640640263,0.053532071766179835,0.06482095716955524,0.07585447325637484,0.09073295630355932,0.10994867020656214,0.11894701383655881,0.14080566764567587,0.15971525487645635
安徽省,340000,阜阳市,341200,地级市,省,1,0.013276458517572259,0.0054658530000000006,893.401192504259,0.014348578397278485,0.007287443,830.5656836461127,0.016779142364619932,0.008223413,852.4441566850113,0.0309595820024185,0.011021963000000001,863.094921563414,0.023258066914434303,0.016879971,843.9884006245818,0.02872471952887367,0.015571823,822.7938427138423,0.03271682970430385,0.017806244,835.9932768391111,0.036478529885128265,0.02861604,833.9728320526893,0.044380210550661416,0.037337452,757.5717884130983,0.048229322143856085,0.044008647000000005,761.6412247812891,0.05357316198514063,0.049337352,762.858127922644,0.05897269188425167,0.056249007000000004,765.9512970590362,0.06423106505742825,0.062243216,777.6253022283213,0.07217599904699802,0.069809388,787.7923205756466,0.07755895837223582,0.079164947,793.5608207686204,0.050940322943295854,0.090415346,803.6445536445538,0.09592388844710792,0.17406069899999999,815.2299782296541,0.11049654134022358,0.11540470300000001,824.8364023740678,0.117436899785502,0.12756202,816.8842117503416,0.005394204948797562,0.006241776460775847,0.0065476299678566986,0.011735066196088021,0.009661252741367839,0.012226687155948922,0.013977040965271362,0.017377504959874713,0.023345464183866814,0.02743901668969804,0.03206795653110595,0.03865078077792773,0.046598320875299235,0.056899113150635214,0.06816029143655018,0.049903930561981946,0.09350598825296906,0.10891154500250551,0.11933345688443309
安徽省,340000,合肥市,340100,地级市,省,1,0.04644138928381383,0.014965098000000001,445.1223851628208,0.049438157159856465,0.019912235,452.3902052238806,0.05505042176988338,0.024337312000000003,442.4851804607189,0.07706616995275964,0.02845855,443.9895968790637,0.08107133319478868,0.033343951000000004,468.29182896406843,0.08823115802581885,0.037885792,482.47639038966963,0.10855186900349634,0.046764655,481.41059103300273,0.11617153272639985,0.058738813,504.98977996873873,0.12986710367073395,0.069079003,558.8673621460507,0.12180073830202293,0.073396747,749.896992171405,0.1336652096627209,0.088284965,753.8690152585988,0.14294919673039105,0.108172697,758.6711071399561,0.15320811527243303,0.127504123,765.2646663416508,0.16403609725047374,0.150958084,774.2606221444009,0.17893122498222713,0.18275796800000002,782.4003593800694,0.1903468454570289,0.21448722399999998,791.3538934611558,0.20771964773420867,0.29245050899999997,802.2981430183647,0.22727859766402786,0.267331066,813.8519152763723,0.22807886520424536,0.253830209,922.2795060270967,0.018869065991673192,0.021506097473953108,0.02148201520023302,0.029211525071751804,0.03367651503265736,0.03755562401590764,0.04637472315109581,0.055341358122337134,0.06831440815150557,0.06929586281802011,0.08000965360928652,0.09368909386147005,0.11114934665619441,0.12931595795668466,0.15724817220151577,0.18647419587335046,0.202483773910558,0.22401844363051837,0.23176224403755358
安徽省,340000,淮北市,340600,地级市,省,1,0.030727263123177088,0.007786749,200.0064352243861,0.03231160047022367,0.008715150999999999,202.52086836875094,0.03782752391534997,0.008654664,202.52664351574663,0.042064041337453145,0.012672863000000001,203.85290674990247,0.051789453620113404,0.018441988,204.01270994098954,0.06143999257476233,0.014257648999999999,210.80614728991767,0.07187638682623816,0.017460416,204.99512054769508,0.0792573085115353,0.030544962999999998,205.50033156498674,0.09120403935483552,0.039030237,206.91393607960913,0.10157207205297183,0.046882781,211.59794089609153,0.11109983458801537,0.05721516,211.89663650332935,0.1086278218920142,0.06288041400000001,213.2571826888108,0.11003969758094632,0.072874754,215.0484090137017,0.1099546164040312,0.082514542,216.9011609664261,0.1075212495594287,0.09418603699999999,219.35204655887117,0.12912013014332785,0.109139452,221.79788766202594,0.13737411086129192,0.242319955,224.1004048951367,0.14648225650743762,0.138309558,226.63365090023925,0.1650908005866928,0.175180635,197.66682550608002,0.012484440378634623,0.014055872410558048,0.014761221033574065,0.015944152913028177,0.02151300891007145,0.02615195484573281,0.030706496081246697,0.03775629873524664,0.04797635269782559,0.057787206130653565,0.06650241527968281,0.07119481909648454,0.07983154463207547,0.08668144872000741,0.09449172422377694,0.12649315191816493,0.13391139792608475,0.1443810700151827,0.16775694836812086
安徽省,340000,淮南市,340400,地级市,省,1,0.04660358440787486,0.014472734,209.09663230240548,0.05284503929851485,0.016551196,210.99381264694964,0.05822882583123306,0.012630978000000001,229.49925101647767,0.06689905813267874,0.01622004,228.2053501861311,0.07440471205908797,0.019200142,230.24309225426546,0.08299889942811298,0.02276376,219.27396587407011,0.09001714664145014,0.024506904,240.21393772505826,0.09739994714113147,0.032128019,229.49749650412738,0.10751075399100683,0.039102815,229.59984022520638,0.11062900948697456,0.044331898,233.40078947368423,0.12009928979993673,0.05092849,233.43515781301332,0.123534211761331,0.060682121,234.80227526721495,0.1253094848501745,0.06639412900000001,236.59923263691138,0.1055194738081366,0.052156928,341.344874611713,0.10596496909008364,0.075767666,344.35137549124687,0.1184911111128286,0.085332505,347.0857891290111,0.13317888582050635,0.194530719,347.831440268415,0.14362571756759435,0.10609041,350.0269251480883,0.16261570080887494,0.129660413,307.64285878274444,0.018934965624449723,0.02298812559889606,0.022722305867647116,0.025357734984328858,0.030907243108214796,0.03532851126972855,0.03845645673972124,0.04639902073538827,0.056554225983503376,0.06293995235146707,0.07188933156100248,0.08096448686339111,0.09090946224457136,0.08318505540734006,0.09312403527366925,0.1160803826816906,0.12982191959349446,0.14156550614752977,0.16524187675808713
安徽省,340000,黄山市,341000,地级市,省,1,0.025373470373262246,0.012106596,146.85382513661202,0.0267986600896137,0.014885425,146.9088075880759,0.03797729402836399,0.015053742,144.5089236833461,0.04275571055050144,0.016595581,142.15230140394524,0.047197540495346524,0.038790513,139.49029090097463,0.05562045437487796,0.023756352999999997,138.2240806001959,0.06201503939970018,0.025797262999999997,148.15912728997452,0.06701423401457261,0.058048252,148.44547021856405,0.07844142194463988,0.070467059,135.72015269185204,0.08566096599406428,0.079476185,135.45063825222584,0.09823111285419504,0.08502409400000001,135.10052775481657,0.10703134149669527,0.086488266,135.43455723542115,0.11510750871674458,0.092373909,135.9485605532622,0.12453863736162295,0.107399972,136.85105944218176,0.131969860081161,0.12101156699999999,137.6488247225868,0.14463545731984942,0.133840961,138.1482904341145,0.15467518499969973,0.204514064,139.54883797525682,0.1633800248958695,0.15188605,141.39284047499697,0.1742844888103028,0.172334097,132.93712855802315,0.010309202508670783,0.011657687688378278,0.01481966497897664,0.016206326478558995,0.019605557468471018,0.023674866326537432,0.026493604483887462,0.03192398892273358,0.04126279221793559,0.0487349307658932,0.05879942382128224,0.07014848371981829,0.08350813771410208,0.09817859277916902,0.1159776293126792,0.14169281625726715,0.15077637349514472,0.1610364516222147,0.1770991108336233
