省,省代码,市,市代码,市类型,省类型,数量,2002y1_pr,2002stock,2003y1_pr,2003stock,2004y1_pr,2004stock,2005y1_pr,2005stock,2006y1_pr,2006stock,2007y1_pr,2007stock,2008y1_pr,2008stock,2009y1_pr,2009stock,2010y1_pr,2010stock,2011y1_pr,2011stock,2012y1_pr,2012stock,2013y1_pr,2013stock,2014y1_pr,2014stock,2015y1_pr,2015stock,2016y1_pr,2016stock,2017y1_pr,2017stock,2018y1_pr,2018stock,2019y1_pr,2019stock,2020y1_pr,2020stock,2002y1_corrected,2003y1_corrected,2004y1_corrected,2005y1_corrected,2006y1_corrected,2007y1_corrected,2008y1_corrected,2009y1_corrected,2010y1_corrected,2011y1_corrected,2012y1_corrected,2013y1_corrected,2014y1_corrected,2015y1_corrected,2016y1_corrected,2017y1_corrected,2018y1_corrected,2019y1_corrected,2020y1_corrected
安徽省,340000,安庆市,340800,地级市,省,1,,,9.227832233309133,3.9349,10.43236026995041,3.5713,11.833198857319994,5.3089,12.138166814405105,7.4495,14.095757532538054,6.7627,16.313649690118147,8.2929,18.490200591407753,12.1714,22.0721236450407,14.6788,25.729953168493385,17.6857,27.98800250516717,21.1146,29.543767773743586,25.9399,31.584557410807594,30.9036,30.30732890741348,36.2055,33.27512333574212,40.0674,,,39.46886141845884,100.6946,46.8091772990221,57.6154,49.08577753098035,61.6378,,4.643446251453406,4.9281624200611915,5.682720354624334,6.081614057750657,7.389086939402858,8.844099411854296,10.94068376913592,14.173293383211373,16.49058441191359,18.988123634404577,21.562874572818174,24.974111358500284,26.89256605276924,33.40107482225207,19.989615341987044,44.49312112092805,50.87047960848823,54.83779564767937
安徽省,340000,蚌埠市,340300,地级市,省,1,,,9.535937456267392,3.8883,9.0437449443341,3.4589,10.65047427435578,3.9402,13.12637098732292,4.7024,14.311189705761821,5.2391,16.21211757202455,6.3487,17.228856616798566,7.9701,19.209155595564305,9.8706,22.217504706857707,11.7533,25.02699181391027,13.6161,28.267060372990546,16.4439,31.86792411715276,18.8037,34.253154198915894,22.4366,36.51998010034451,27.8173,48.570521284143645,33.208,42.90995479270313,79.4492,51.635652363331644,44.3532,52.49360129004373,49.9693,,4.7984848354270655,4.272191797254482,5.114734204592919,6.576736301647697,7.5020178729706615,8.789055926002089,10.194344351016417,12.334880063108999,14.239421051071345,16.9792615486591,20.631054306714784,25.198171223817063,30.393810507817854,36.65821387139747,49.42041519311808,48.372254665354795,56.11571388747148,58.644958379997846
安徽省,340000,亳州市,341600,地级市,省,1,,,7.062983054658178,2.6669,7.772026586032735,3.6069,8.457422614833519,3.6069,9.389849312393654,9.5062,9.059212296885445,6.7047,11.775001435107832,8.1238,14.823793750839824,16.5988,15.424223044151905,19.9383,18.061519055576888,23.3301,20.841621928992094,26.0552,22.856251376029434,25.6057,24.967426284852518,29.8465,26.157454943886023,35.3242,22.329793760206105,42.8396,,,29.936240993027376,97.2493,37.42906954716965,64.3974,39.827385032209406,70.6422,,3.554093893346658,3.67144235416489,4.061553280771923,4.70461812327732,4.748897468594656,6.38356745700517,8.771264480613402,9.904440638722756,11.575808266844849,14.139747695683427,16.681910222166472,19.741903496158898,23.21026333266609,22.414315482009535,19.989615341987044,33.747028633187966,40.676526036781226,44.49447704478734
安徽省,340000,池州市,341700,地级市,省,1,,,1.7842080216926464,1.2513,2.0888828424952517,1.3405,2.440624203932425,2.0118,3.648342095858157,2.2858,5.4451141714628974,2.2395,7.010176486047895,2.6036,7.967787524045581,3.5441,9.70986032534727,4.2915,11.160922723722217,5.2369,12.105540472882454,6.2923,12.793340941133714,7.1196,13.75832556561404,8.731,14.224838658736177,10.5624,14.966609426778893,12.7543,15.57975362575702,14.9621,16.450439417042812,33.983000000000004,18.783848044361953,18.6944,19.35077790603076,20.333,,0.8978136837204755,0.9867713209586687,1.172074010494299,1.827937357997324,2.854363940003825,3.800418601289826,4.714553701529758,6.235045676362571,7.15314703781728,8.212858317343056,9.337373898739207,10.87879593540142,12.622109140290297,15.023260357454536,15.852370376818657,18.54452769019236,20.41359011301441,21.618359895894475
安徽省,340000,滁州市,341100,地级市,省,1,,,6.729661788678653,4.6741,7.829402459154153,5.0567,7.7228923801439615,5.3319,8.797179392358107,8.2243,10.004919024970816,7.7761,11.536259022084904,8.7584,13.60606301659522,11.5913,16.595818391640833,13.4594,21.12964902022194,15.6942,25.315545482128144,15.961,28.56562246236589,18.4207,32.81810641764616,20.8604,35.238442758428604,24.1417,37.33735727602944,29.5161,,,44.484429844275255,97.8435,61.079827150862506,47.8837,64.02460295767365,53.2756,,3.386366593596292,3.698546251501491,3.708805898928067,4.407671329547595,5.244643030113463,6.254138317927864,8.050731092483534,10.656763562126507,13.542203457593006,17.17502731387476,20.848963441890177,25.949486440134717,31.268085431506428,37.478684946067474,19.989615341987044,50.147155350448166,66.37929313987001,71.5271972864396
安徽省,340000,阜阳市,341200,地级市,省,1,,,9.239949927292331,6.0527,9.977950345400505,7.01,10.929121474422567,9.513,11.657820235578447,14.2465,13.663098173425658,12.8124,16.105800725591642,14.8859,17.70275766053476,23.865,20.087572909453996,28.2858,23.222194045289093,33.5188,25.69732512392729,37.6374,28.783879927750483,43.084,33.54871571155765,48.4019,34.066691919803645,54.9953,38.120625958469866,62.8222,65.73532752532321,72.6618,44.181558916378115,141.8995,59.35483495726101,95.19,62.24032923004924,104.2034,,4.64954387647301,4.713502855444724,5.248550439295937,5.840944889905824,7.162284115060279,8.731418501092993,10.474752420780165,12.898942973541654,14.883336499912504,17.434041119459582,21.008261280497337,26.52718387715681,30.228357155835077,38.264918421572524,66.88557366209776,49.80572992304445,64.50463553482726,69.53383703064584
安徽省,340000,合肥市,340100,地级市,省,1,,,28.12779342766387,9.0081,30.791758919820477,10.7689,36.44515535138753,12.6353,42.180228816362536,15.6147,49.93703430350193,18.279,55.215696344744565,22.513,64.45390463161122,29.6625,76.39561263838692,38.606,92.89961544925644,55.04,102.04144041153124,66.5553,114.77834585053795,82.0675,125.44398200740558,97.5744,136.71404447887016,116.8809,149.62448568142375,142.9899,181.9884209946169,169.7353,182.86551192795116,234.6325,209.94985744282346,217.5679,221.6074043046977,234.1024,,14.153908919354548,14.545777295799294,17.502251812041465,21.13365852117778,26.177315203724223,29.934019477167297,38.13748719352402,49.056332255429055,59.5402929950214,69.22878779967115,83.7723574800861,99.189358114439,121.31031021311534,150.19083749324764,185.1728803419308,206.14370616847006,228.16572642632804,247.5760222725143
安徽省,340000,淮北市,340600,地级市,省,1,,,6.429600247047008,1.765,7.342721482180816,1.7528,7.441719115193405,2.5834,9.309033623526393,3.7624,10.103670873944841,3.0056,11.860240742642722,3.5793,12.398358022937055,6.277,13.889976053027302,8.0759,16.231724752210162,9.9203,17.4909306118485,12.1237,19.11577575318627,13.4097,20.2099451361837,15.6716,21.133536949124466,17.8975,22.19802146231697,20.6599,24.354221322989286,24.2069,26.093705057470842,54.304,28.430662918296534,31.3456,29.33911681427669,34.6274,,3.235375591000318,3.4686421033302293,3.5737765585800605,4.664126850005424,5.296409385757101,6.429778140938933,7.336129952452619,8.919246233452915,10.403074790864158,11.866511476739175,13.95187905905491,15.980132753341229,18.752396163620624,22.282044405599507,24.780374961306965,29.41535017457711,30.897391103500993,32.77716221015855
安徽省,340000,淮南市,340400,地级市,省,1,,,8.450766290492822,3.4922,9.67103233997918,2.8988,10.429579758943728,3.7015,11.55973022730263,4.4207,12.905000093450589,4.9915,15.091697544882765,5.8869,16.095082859996644,7.3733,17.615335807936738,8.978,19.25288010564944,10.3471,22.17779734114488,11.8885,24.316133279721203,14.2483,23.98044951390125,15.7088,26.780507380414857,17.8035,28.314469052993587,26.0907,30.58307570248989,29.6177,33.27432889718588,67.6639,36.648158611208686,37.1345,37.55661250718885,39.8891,,4.252426578785541,4.568517277759656,5.008652850422113,5.79179862405066,6.764884215934635,8.181643955578524,9.523488452098848,11.311431852447642,12.339363483313118,15.046259831321708,17.747422604389065,18.961494656946993,23.7631157088975,28.421643696073986,31.118222723152726,37.51004444094999,39.8278609643302,41.95760860849031
安徽省,340000,黄山市,341000,地级市,省,1,,,2.9945612369037637,2.1868,3.5965191376324905,2.1754,4.894163974832924,2.3591,5.342251460264842,5.4109,6.344181112836275,3.2837,7.002885460078471,3.8221,7.440605867181244,8.617,8.883820620304313,9.5638,10.646275842247906,10.7651,11.625292592871993,11.4868,12.57555773374793,11.7135,13.474174482240247,12.5581,14.131220911737065,14.6978,15.651323098042429,16.6571,16.542195458841363,18.4899,18.482371266568986,28.5397,21.25069317747532,21.4756,21.807190938015808,22.9096,,1.5068635621761888,1.698966484906064,2.3503505327680387,2.676640721581479,3.325660624755661,3.796465926093726,4.402619400539966,5.704616286149102,6.823304702477453,7.887039920009564,9.178422203041842,10.654115858156223,12.539039416377108,15.71056577582774,16.831653154370024,20.835117959111486,23.094466007066146,24.362622748597058
安徽省,340000,六安市,341500,地级市,省,1,,,6.6617259936626825,8.1141,7.294624828037351,6.9972,9.55726723070763,9.0031,8.164340618809247,11.7815,8.201922867514092,11.6759,10.234339729178735,13.8356,11.3139546973968,17.9767,13.287196992219705,21.1088,20.54809347817998,24.5021,22.682152423138863,26.8503,24.756434471059986,29.8359,26.47133455870935,34.3169,26.61160070707532,39.927,28.431819571782604,41.0119,43.41572891524343,48.0751,32.30044798482265,97.5654,37.456238119497705,59.6339,38.368003088224825,63.8273,,3.352181293654694,3.4459216338154595,4.589737541081678,4.090598641360696,4.299500824871642,5.548330367445275,6.694486623366809,8.532180420870706,13.16947869227931,15.388433469857501,18.068781729461065,20.931053377721543,23.61323995167015,28.539438404720244,44.17542353212613,36.4121916062373,40.70605183459171,42.86408036286396
安徽省,340000,马鞍山市,340500,地级市,省,1,,,7.327910832887801,2.442,9.705060303052695,2.2743,11.486792648171635,2.7568,12.603676648446555,3.2366,14.420542752195585,3.7001,15.988485524182238,4.4048,16.861412659494597,5.4778,19.798699658496183,6.8423,25.25585978402151,10.5814,27.51490688647011,12.2878,28.772268953382437,13.8925,29.715829108381897,16.1436,31.49316291508987,18.2851,25.37174733016532,21.3093,37.21396426682078,24.7827,40.7502398726635,36.8277,44.2184573797285,30.9677,45.982705783159844,33.6473,,3.6874055821185583,4.5845918116628965,5.516363848709798,6.314849536716713,7.5593414446426666,8.667818551143414,9.976927123990189,12.713447214174293,16.186733218537285,18.66715760272524,20.999786871075905,23.49649594928163,27.944790730057004,25.467783316549074,37.8651395213365,45.937614950132144,48.05498118637683,51.37109667811189
安徽省,340000,宿州市,341300,地级市,省,1,,,7.388310178437086,2.8295,8.888577308285289,4.1022,10.121267152757706,1.9704,9.720920126341449,13.8898,11.589257836539705,6.3341,13.302520959659667,7.454,14.288198066806178,16.1947,13.025257074982026,17.6286,20.140415582882675,19.1595,22.942658200300393,20.4771,25.204039273556127,20.2907,28.626060649874848,25.1331,31.28336423903761,30.1775,33.08387555497434,36.6783,57.803308518509795,44.095,39.302627790758216,85.9003,44.62301823651409,59.1532,45.87491481141854,65.8373,,3.7177985398132924,4.1988918638742945,4.860590239129413,4.870495306133827,6.075163645492182,7.211679791479786,8.454351585149782,8.363979510279218,12.908193850396904,15.56517048077161,18.395471483060913,22.63480906591807,27.75863032077927,33.209103139065164,58.81475905537051,44.305726484603525,48.49464293655106,51.25067443814057
安徽省,340000,铜陵市,340700,地级市,省,1,,,4.040720615361601,1.4126,4.744167518058804,1.2716,5.755562454306734,1.7789,6.860103531316747,1.9589,7.79800600537276,2.0336,8.499298000198518,2.4797,8.764059912652673,3.2504,10.53158284286372,3.9877,12.151632525421144,4.9481,12.973168703045038,5.8244,13.825512329483773,6.9642,14.338793974094946,7.8107,17.40033682121249,8.9352,18.890984490247536,13.8919,22.107227456299725,16.1172,23.56214167405126,25.4324,19.939098186435107,20.0085,26.43822383123969,21.7957,,2.0332910829093924,2.2411062762390115,2.7640245301183137,3.437133688438734,4.087765002673819,4.6077142682708745,5.185709455345268,6.762702847355653,7.788102861702402,8.801490253473018,10.090716612339333,11.337776014968187,15.439820141669655,18.96248978728808,22.494062875452524,26.56152687702651,21.66907316540002,29.536333917295757
