省,省代码,市,市代码,市类型,省类型,数量,2002y1_pr,2002stock,2003y1_pr,2003stock,2004y1_pr,2004stock,2005y1_pr,2005stock,2006y1_pr,2006stock,2007y1_pr,2007stock,2008y1_pr,2008stock,2009y1_pr,2009stock,2010y1_pr,2010stock,2011y1_pr,2011stock,2012y1_pr,2012stock,2013y1_pr,2013stock,2014y1_pr,2014stock,2015y1_pr,2015stock,2016y1_pr,2016stock,2017y1_pr,2017stock,2018y1_pr,2018stock,2019y1_pr,2019stock,2020y1_pr,2020stock,2002y1_corrected,2003y1_corrected,2004y1_corrected,2005y1_corrected,2006y1_corrected,2007y1_corrected,2008y1_corrected,2009y1_corrected,2010y1_corrected,2011y1_corrected,2012y1_corrected,2013y1_corrected,2014y1_corrected,2015y1_corrected,2016y1_corrected,2017y1_corrected,2018y1_corrected,2019y1_corrected,2020y1_corrected
安徽省,340000,安庆市,340800,地级市,省,1,6.546415584651951,3.3071,7.3338559325980315,3.9349,8.877412789045133,3.5713,10.355088732756164,5.3089,11.763082043821996,7.4495,13.997114998730568,6.7627,16.418774759719454,8.2929,18.01422982468264,12.1714,22.48209345044543,14.6788,27.121533260904908,17.6857,29.87900092782463,21.1146,31.037779256557712,25.9399,33.56994218019398,30.9036,31.252385522727817,36.2055,33.645070291451106,40.0674,37.22870841073541,46.5712,41.82094822672647,100.6946,52.20715927687086,57.6154,55.286615933533675,61.6378,3.9887363516113123,4.768932323015027,5.096733706924225,5.690138125707775,6.980630778512568,8.637943594981138,10.048683789873147,12.204318126026378,15.925380663592048,18.95014650909496,22.076882151373173,24.753994649245605,29.071195071546615,30.151613254029787,35.94786063220325,42.73948506671566,50.203595918756854,58.458176933299185,64.21987141251375
安徽省,340000,蚌埠市,340300,地级市,省,1,5.891515557484395,3.0923,6.8821200151374615,3.8883,8.329856079973155,3.4589,9.465111728321698,3.9402,10.65440520265568,4.7024,12.169679120850928,5.2391,14.026282393791229,6.3487,15.069874683820373,7.9701,17.201190816839713,9.8706,20.18434254083005,11.7533,22.630236609033734,13.6161,25.158220205497702,16.4439,28.29124883821511,18.8037,30.81271328473805,22.4366,33.892090350912945,27.8173,37.08946902728621,33.208,40.286847703659475,79.4492,47.15369108768751,44.3532,47.64725366368359,49.9693,3.5897052312591584,4.475185344884602,4.782368384290645,5.2010943121172115,6.322702554256548,7.510190623172249,8.584421102386898,10.209570242558794,12.18460870777267,14.103046633054753,16.72094284150159,20.064787599771776,24.49990558156706,29.727427162098966,36.21178763826896,42.57963478440209,48.36199820219456,52.79963236542885,55.346134896732316
安徽省,340000,亳州市,341600,地级市,省,1,5.2808097591729135,2.0205,5.489285568295282,2.6669,6.2886823174523006,3.6069,7.06809786562753,3.6069,7.719524416096981,9.5062,7.465208860285012,6.7047,8.791121649965696,8.1238,10.667542370926682,16.5988,12.22902706964994,19.9383,14.428255078077528,23.3301,15.396066850622006,26.0552,17.174904379998846,25.6057,19.230286158902867,29.8465,20.47665100745761,35.3242,22.872599798395683,42.8396,25.179457978748513,50.8451,27.79744749075525,97.2493,36.928195965706905,64.3974,38.19427742752505,70.6422,3.217601690571049,3.5694771778301986,3.6104820065424743,3.883931290150926,4.581040031323043,4.6069531518276134,5.380377215207172,7.227068932987175,8.662534548164523,10.08119802704104,11.375787104692582,13.697741955361401,16.653213079912955,19.75542191701186,24.438083283119397,28.906645280242703,33.36920563907484,41.349788869804,44.365739224089296
安徽省,340000,池州市,341700,地级市,省,1,1.204885096591458,1.0977,1.4232338269968188,1.2513,1.750059529427126,1.3405,2.2002586890648024,2.0118,2.7993862306528405,2.2858,3.660496430536869,2.2395,4.378338490839839,2.6036,5.781148719870553,3.5441,6.9555766097775455,4.2915,8.392892546607598,5.2369,9.314824440058679,6.2923,10.18001855401838,7.1196,11.240760373546212,8.731,11.773246053760069,10.5624,12.628409009987367,12.7543,13.36439560762108,14.9621,14.587936255772025,33.983000000000004,17.535688973272404,18.6944,18.250268942657804,20.333,0.7341374714365267,0.9254757474311458,1.0047507764606929,1.2090457335690172,1.6612552398971614,2.258977060592478,2.67964812620596,3.9166247348802967,4.92704140251182,5.864216519888541,6.882501925705387,8.119012727437639,9.734372964296384,11.358568500294178,13.492743013018279,15.342659224054406,17.511962022069326,19.63532248920906,21.199161948170385
安徽省,340000,滁州市,341100,地级市,省,1,5.817859189555797,4.2285,6.5197223463164695,4.6741,7.5846396304221715,5.0567,7.588889783516053,5.3319,8.550021346453146,8.2243,9.986449276331061,7.7761,11.67314010339612,8.7584,13.077995446254857,11.5913,15.921748848128932,13.4594,19.44866387630202,15.6942,22.14665223114099,15.961,24.771801581610816,18.4207,27.089358239076983,20.8604,29.074307020174647,24.1417,31.252385522727817,29.5161,34.83602364201212,35.7338,38.85957277074998,97.8435,60.404274985397045,47.8837,63.36565044137353,53.2756,3.544826346244089,4.239531689766579,4.3545219060838525,4.170107297331234,5.073886413921324,6.162868960561606,7.1442416045373065,8.8601077276214,11.278305189659186,13.589018965728238,16.363633862303388,19.756601744430856,23.459081743543976,28.050251084471878,33.391411861022796,39.992623321903736,46.648638342243636,67.63677326125612,73.60432275702156
安徽省,340000,阜阳市,341200,地级市,省,1,5.89415086872696,4.8832,6.031081772536135,6.0527,7.357561471678171,7.01,14.657532120327165,9.513,9.847583620015037,14.2465,11.303739231250887,12.8124,12.993859912246812,14.8859,14.81525602673233,23.865,17.285482378620006,28.2858,20.198306304308872,33.5188,22.684921904203637,37.6374,24.99718591538219,43.084,28.258994225899247,48.4019,30.34054766296864,54.9953,32.95853717497537,62.8222,36.56365183897427,72.6618,40.769632212054304,141.8995,59.385213583040745,95.19,61.74572332993608,104.2034,3.5913109285472555,3.921786993381176,4.224150937280303,8.05433777528441,5.843905964079954,6.975799077222407,7.952553791553938,10.037070661829212,12.244317347052133,14.112803285128827,16.761348503651917,19.936355667740997,24.47197344747048,29.271892169127426,35.21433870531542,41.975983547841864,48.941552693496135,66.49569466992904,71.72264653145503
安徽省,340000,合肥市,340100,地级市,省,1,15.180534204226678,6.6613,16.574077159766652,9.0081,18.596873442455767,10.7689,27.824158026277036,12.6353,32.00406458773871,15.6147,37.02543734558206,18.279,46.349554313453034,22.513,54.847262057495634,29.6625,68.90301740578272,38.606,88.88136448504694,55.04,99.88983819849916,66.5553,110.54422749086828,82.0675,120.9303589505247,97.5744,130.89805594544225,116.8809,145.03963788209978,142.9899,159.1917591148948,169.7353,175.29665410695958,234.6325,206.80905331652409,217.5679,219.38404134633504,234.1024,9.249511864055776,10.777502724048738,10.676907109077137,15.289420157281146,18.992348898561648,22.849254249868746,28.36703846136438,37.15803789591128,48.80803397939163,62.10249482273231,73.80622234843099,88.16388547630349,104.72434049043518,126.28756149514054,154.9666754613898,182.7561068294618,210.43335366250128,231.5713093307782,254.83228964776941
安徽省,340000,淮北市,340600,地级市,省,1,3.8018831143999683,1.5574,4.0793158905680285,1.765,4.894653826778357,1.7528,5.6644688965000345,2.5834,6.719383879944942,3.7624,7.7004021402225,3.0056,9.389596058399805,3.5793,9.82961122798076,6.277,11.562581600276015,8.0759,14.223125202721643,9.9203,15.544165459452193,12.1237,17.149538887376217,13.4097,18.230555465062448,15.6716,18.513363690989546,17.8975,19.25968066750173,20.6599,21.834299167883387,24.2069,23.06952223288517,54.304,24.900581259410465,31.3456,25.72675171177505,34.6274,2.3164904804604816,2.652626610763963,2.81013711263394,3.1126348852910084,3.987521106309021,4.752096367854836,5.746657901476146,6.659385588445573,8.190452274567544,9.93787127799659,11.485213639462748,13.677511858888781,15.787457462472702,17.861285553256923,20.577882895135744,25.066319597562426,27.693608617855105,27.88204922786325,29.88370076363729
安徽省,340000,淮南市,340400,地级市,省,1,6.443902511032274,3.0262,7.335512276217303,3.4922,8.345965437341892,2.8988,9.29442549940992,3.7015,10.200899419877892,4.4207,11.012573555350022,4.9915,13.178882732677698,5.8869,14.29770265196382,7.3733,16.128110831327813,8.978,18.228730796496826,10.3471,19.837976995024786,11.8885,20.779494563295227,14.2483,20.198738040500782,15.7088,22.46452653597517,17.8035,23.783859655890232,26.0907,25.319095314637362,29.6177,26.67100336482595,67.6639,30.061511762654728,37.1345,31.74610727969976,39.8891,3.92627505229801,4.770009381345128,4.791617149291124,5.107301951305091,6.0535761115693,6.796114000300889,8.065792193543698,9.686437518234092,11.424483442328572,12.736636824526663,14.657808716521249,16.57256123197539,17.491881595223955,21.673280446224705,25.41171306225702,29.066952421874735,32.01697552184686,33.66092309646645,36.875668603069784
安徽省,340000,黄山市,341000,地级市,省,1,2.155439594295365,1.7779,2.380849017394953,2.1868,3.533358113060792,2.1754,4.074086569786368,2.3591,4.55174838604846,5.4109,5.209873065024542,3.2837,6.239956320804429,3.8221,6.675962377212339,8.617,7.6021355292687725,9.5638,9.105245228151448,10.7651,10.371721324212283,11.4868,11.569499117131992,11.7135,12.44258490127692,12.5581,13.008190657267553,14.6978,14.002295257548747,16.6571,14.829597709925432,18.4899,16.115731570877927,28.5397,18.874854359510515,21.4756,19.492869468168163,22.9096,1.3133111016699006,1.5481771035078329,2.028584884065997,2.238717206241182,2.701169197096829,3.21513323829767,3.8190028700689327,4.522844964331861,5.385036870640014,6.3619460380371855,7.663417861080051,9.227184615001985,10.775139585218426,12.550015855505825,14.960663006170627,17.024747753161137,19.345990706218803,21.13483267470846,22.64254285723766
