Unnamed: 0,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
5920,,117.7453,,2012,0.06457413432568429,11424.0,124729.0,0.0997536945812808,61.0,638.5,2,南京市,11111.0,111111.0,178.88101930695655,146.03124710163848
5921,,248.6086,,2020,0.06160457411042523,3659.0,232682.0,0.0417179802955665,149.0,,2,温州市,11111.0,11111.0,147.56458922020713,212.2294878745217
5922,,16.1763,,2006,0.011931930509728142,724.0,87120.0,0.009390394088669951,,335.55,2,嘉兴市,1111.0,101111.0,29.147190247554764,18.240866949703147
5923,,249.2586,,2019,0.050986146674044316,4275.0,303927.0,0.02693965517241379,129.0,918.0,2,潍坊市,11111.0,111111.0,118.85178728576518,164.81594552073926
5924,,42.3699,,2017,0.017691077593866934,646.0,100566.0,0.02032019704433497,87.0,703.0,2,揭阳市,11111.0,111111.0,45.97930445820426,47.93683349581073
5925,,30.3595,,2017,0.009592277006796756,1329.0,72738.0,0.013854679802955664,86.0,130.0,2,盘锦市,11111.0,111111.0,26.155990219497305,36.6856006582923
5926,,8.277000000000001,,2004,0.004699523411861559,2511.0,37162.0,0.015478756157635469,,86.17,2,珠海市,1111.0,101111.0,16.56913567991657,6.294913588740297
5927,,16.2659,,2007,0.007433513814444514,2423.0,44776.0,0.0250923645320197,,500.82,2,汕头市,1111.0,101111.0,26.47134626047112,12.995863587632813
5932,,31.3456,,2019,0.009502290333607088,1511.0,52901.0,0.01293103448275862,47.0,219.0,2,淮北市,11111.0,111111.0,25.567741834789533,31.009041711568752
5933,,19.0404,,2008,0.008555482053641011,2452.0,45461.0,0.02540024630541872,,506.57,2,汕头市,1111.0,101111.0,28.963627090891126,12.890762397711907
5934,,281.215,,2020,0.09067026955068816,12610.0,197833.0,0.12145935960591132,188.0,,2,济南市,11111.0,11111.0,243.13299951557772,297.7877847099355
5935,,124.0014,,2017,0.04549695960947454,2733.0,160638.0,0.03371305418719212,135.0,446.0,2,绍兴市,11111.0,111111.0,110.2353156536251,136.1914746558572
5936,,18.9608,,2003,0.016881197535159917,4355.0,90898.0,0.02693965517241379,,442.54,2,无锡市,1111.0,101111.0,47.13596642022042,32.0340283945145
5937,,19.8003,,2010,0.017691077593866934,1823.0,74486.0,0.01600985221674877,,270.71,2,镇江市,1111.0,101111.0,44.11718973776291,14.371329410401742
5938,,120.7608,,2020,0.032808838689731265,6586.0,116950.0,0.04433497536945813,105.0,,2,淄博市,11111.0,11111.0,88.14354230996612,142.79832750432388
5939,,20.2996,,2007,0.014091610666280188,783.0,90076.0,0.010314039408866995,,336.81,2,嘉兴市,1111.0,101111.0,34.0875860726518,22.53719662543876
5940,,18.0226,,2009,0.009142343640848415,3338.0,38315.0,0.017395320197044338,,102.65,2,珠海市,1111.0,101111.0,26.739465445365287,12.330807046817617
5941,,9.7788,,2003,0.0066199578001376975,1155.0,34583.0,0.015240147783251232,,141.76,2,厦门市,1111.0,101111.0,20.50434003421324,12.014536044968308
5945,,463.0403,,2019,0.15276107405155953,12962.0,282577.0,0.14547413793103448,306.0,1500.0,2,成都市,11111.0,111111.0,384.07206188400033,390.9943518548019
5953,,83.0524,,2010,0.045946892975422884,9576.0,131536.0,0.09451970443349754,,632.42,2,南京市,1111.0,101111.0,137.45055304006013,107.70469271269897
5955,,113.6259,,2019,0.03253887867016225,5538.0,119893.0,0.04356527093596059,98.0,434.0,2,淄博市,11111.0,111111.0,87.24335041890488,133.20750865387896
5956,,99.7069,,2011,0.05512553364076908,10458.0,132249.0,0.09729064039408868,63.0,636.4,2,南京市,11111.0,111111.0,157.94845456803287,125.58647514367948
5957,,23.4541,,2004,0.020930597828695,4583.0,94130.0,0.02817118226600985,,447.19,2,无锡市,1111.0,101111.0,56.183070276511835,38.85322218509322
5960,,51.1157,,2018,0.019130864364901627,1493.0,106712.0,0.02062807881773399,97.0,705.0,2,揭阳市,11111.0,111111.0,49.13989348061836,54.61813721807751
5963,,161.14600000000004,,2020,0.05377573354292405,3834.0,167616.0,0.03833128078817734,109.0,,2,绍兴市,11111.0,11111.0,129.63902832994074,194.30392698425533
5965,,153.3721,,2019,0.05179602673275134,3464.0,168047.0,0.03648399014778325,110.0,448.0,2,绍兴市,11111.0,111111.0,124.67805552540408,155.79827092977345
5969,,83.553,,2019,0.014991477398176875,2804.0,93628.0,0.02324507389162561,94.0,424.0,2,枣庄市,11111.0,111111.0,41.56616825153639,87.53032648651046
5970,,22.7729,,2008,0.016161304149642567,864.0,94172.0,0.01108374384236453,,338.07,2,嘉兴市,1111.0,101111.0,38.772253998834145,26.69813209460097
5971,,28.5989,,2003,0.02497999812223009,2816.0,176851.0,0.02216748768472906,,590.97,2,苏州市,1111.0,101111.0,62.104481566348134,47.002543540642215
5972,,59.6619,,2009,0.04468707955076752,5379.0,96190.0,0.03263546798029557,,465.65,2,无锡市,1111.0,101111.0,108.06677275771028,80.76470185475381
5974,,259.7759,,2019,0.08473114912017005,12232.0,210342.0,0.10945197044334977,213.0,797.0,2,济南市,11111.0,111111.0,225.45690902130585,271.4210672562799
5976,,29.0591,,2008,0.019580797730849968,2606.0,90647.0,0.017857142857142856,,358.74,2,常州市,1111.0,101111.0,48.8889387405435,22.255597625015174
5977,5.8525,59.8662,,2019,0.024620051429471414,1415.0,84312.0,0.017241379310344827,96.0,373.0,2,焦作市,11111.0,111111.0,59.21945525024808,82.48235003775235
5979,6.234,69.1534,,2019,0.01400162399309052,991.0,88899.0,0.009082512315270935,93.0,434.0,2,濮阳市,11111.0,111111.0,33.36632949362678,56.629224281131044
5981,,57.4269,,2012,0.025789878180937108,1121.0,96734.0,0.013084975369458128,34.0,344.5,2,嘉兴市,11111.0,111111.0,59.88375404979407,61.922668227486575
5982,,35.5096,,2004,0.03082913187955855,3230.0,182562.0,0.02647783251231527,,598.85,2,苏州市,1111.0,101111.0,76.26614340093305,58.936295309514435
5984,,29.3944,,2005,0.02497999812223009,4717.0,100117.0,0.02894088669950739,,452.84,2,无锡市,1111.0,101111.0,65.0306618413274,45.66170195709364
5985,,77.0208,,2005,0.04612686632180222,8325.0,158332.0,0.1123768472906404,,750.53,2,广州市,1111.0,101111.0,145.54347591397212,135.2800805448211
